BANGLADESH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2023,,,,,,,,,,,,,,,,,,,,,,,,
https://kidb.adb.org,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,POPULATION,,,,,,,,,,,,,,,,,,,,,,,
,Total populationa as of 1 July (million),129.3,131.1,132.9,134.8,136.7,138.6,140.6,142.6,144.7,146.7,148.6,150.6,152.7,154.7,156.8,158.9,160.8,162.7,164.6,166.5,168.22,171.684,169.82
,Population density (persons/km²),876,881,901,913,926,939,953,966,980,993,1007,1021,1035,1049,1063,1077,1090,1103,1116,1125,1140,1163.9593220339,1151
,Populationa (% annual change),1.41,1.39,1.37,1.43,1.41,1.42,1.41,1.4,1.39,1.36,1.36,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.22
,Urban population (% of total population),23.05,23.07,23.15,23.2,23.72,24.21,24.59,24.75,25.09,25.51,25.94,25.9,26.8,27.3,33.535,34.308,35.083,35.858,36.632,37.405,38.177,38.946,39.711
,,,,,,,,,,,,,,,,,,,,,,,,
,LABOR FORCE fiscal year ending 30 June (million),40.7,…,…,46.3,…,…,49.5,…,…,…,56.7,…,…,60.673,…,…,62.131,63.5,…,…,…,…,73.41
,Employed,39,…,…,44.3,…,…,47.4,…,…,…,54.1,…,…,58.073,…,…,59.531,60.8,…,…,…,…,70.78
,"     Agriculture, forestry, and fishing",19.8,…,…,22.9,…,…,22.8,…,…,…,25.7,…,…,26.19,…,…,25.398,24.693,…,…,…,…,32.2
