Consumer Price Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Base Year: 2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Descriptor,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
"Prices, Consumer Price Index, General, Index",111.45,111.05604053507865,112.46,112.89,117.06,118.83,120.24,119.1,118.4,119.6,120.09,121.6,122.3,122.04,123.38,126.06,129.34,130.61,133.32,132.66,131.3,131.48716159330635,131.28544984698814,132.97626358903256,133.50483738751262,133.08126917849265,133.84615916085468,136.831860365527,140.06242382115946,141.52657836319193,144.20734486775703,143.64727915539305,142.43706077445256,142.7712410269778,143.2783515624339
"Food, Index",111.26,109.62339278793054,112.25,112.74,120.08,122.47,123.9,120.04,117.48,118.3,119.07,121.5,122.63,121.42,123.94,128.64,133.72,135.21,139.58,136.61,132.65,130.9742189410565,130.0825040047883,132.3465083673686,133.21190146019262,131.84644764714912,133.09848428598357,138.35793453982944,143.87727678188043,145.538190414969,149.46112105509619,146.65564867522042,142.8820337913864,141.83755401430182,142.17585109974473
"Non-Food, Index",111.6,112.22144473856461,112.63,113.02,114.61,115.87,117.27,118.33,119.16,120.66,120.92,121.69,122.02,122.54,122.93,123.96,125.77,126.87,128.22,129.44,130.19,131.90442084232214,132.2640003272834,133.48854540007463,133.7431295718478,134.08574931399508,134.4543641042891,135.5904573332019,136.9591866960844,138.26328523534352,139.93359867642155,141.20008549524513,142.07509222677243,143.53075973733687,144.17519356432925
01. Food and Nonalcoholic Beverages,111.26,109.62339278793054,112.25,112.74,120.08,122.47,123.9,120.04,117.48,118.3,119.07,121.5,122.63,121.42,123.94,128.64,133.72,135.21,139.58,136.61,132.65,130.9742189410565,130.0825040047883,132.3465083673686,133.21190146019262,131.84644764714912,133.09848428598357,138.35793453982944,143.87727678188043,145.538190414969,149.46112105509619,146.65564867522042,142.8820337913864,141.83755401430182,142.17585109974473
"02. Alcoholic Beverages, Tobacco and Narcotics",115.81,117.10903725698097,117.77,117.9,116.06,119.31,119.33,119.44,119.52,120.66,121.61,122.77,124.17,124.59,129.44,135.38,137.1,137.38,137.94,139.5,139.99,153.11547778176623,153.19606542967165,151.52887850178297,151.89952732679734,151.34427171193119,152.1612563867168,153.4907589063602,154.334922613528,154.75788725063848,155.42096164416373,156.38569690155398,156.99014783244695,165.97476608543272,166.10330037858623
03. Clothing and Footwear,108.03,108.19583233445901,108.4,108.88,112.53,113.16,114.28,115.92,116.22,117.37,117.4,117.96,118.3,118.34,118.43,118.8,122.64,122.86,124.15,126.33,127.48,129.32839810335938,129.52775879507857,135.30975134144336,135.75472091022093,136.5088938008803,136.66730082002843,137.56601713565638,139.67975233775428,139.93911958106017,140.99097846541343,142.03925991383878,142.9189740001357,143.5547381435725,143.8083324901448
"04. Housing, Water, Electricity, Gas, and Other Fuels",111.71,112.4039137164502,113.39,113.84,113.8,115,116.76,118.07,118.51,119.76,120.38,122.03,122.78,123.12,123.23,123.93,125.86,126.48,127.72,129.4,129.97,130.55604713418867,130.8206214250942,132.0478119717495,132.4123036076526,132.28570667122258,132.66799996586963,133.5985729298397,135.4504442491424,136.13412933411092,137.7022611609048,139.25278375599527,140.32743962838757,141.62174829966926,141.83277496084833
"05. Furnishings, Household Equipment, and Routine Maintenance of the House",113.8,113.92990159988226,114.03,114.22,119.77,120.89,122.68,124.56,124.95,125.92,125.95,126.26,126.7,126.85,126.96,127.09,129.17,130.8,132.51,133.36,133.64,135.4352140569407,136.28027793125796,137.01756456857,137.35240637135,137.96598182830505,138.17624692019933,138.86514332660042,139.65307654593394,140.95616121828027,142.83063795054983,143.30389609382428,143.7484239722728,144.368403440134,144.4819734163988
