ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,3359693,Women who have heard of HIV or AIDS,19.6,1,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_HRD,135163010,I,360001,1360010,Region,Barishal,0,,0,1,HAKAIDWHRD,BDDHS1997360001,1996-97,DHS,588.0,922.0,,,1.0
BGD,Chattogram/Sylhet,6665289,Women who have heard of HIV or AIDS,19.3,1,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_HRD,135163010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,HAKAIDWHRD,BDDHS1997360002,1996-97,DHS,2320.0,2239.0,,,
BGD,Chattogram,6782724,Women who have heard of HIV or AIDS,20.4,1,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_HRD,135163010,I,360003,1360030,Region,..Chattogram,0,,0,1,HAKAIDWHRD,BDDHS1997360003,1996-97,DHS,1821.0,1348.0,,,1.0
BGD,Sylhet,1657459,Women who have heard of HIV or AIDS,15.0,1,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_HRD,135163010,I,360004,1360040,Region,..Sylhet,0,,0,1,HAKAIDWHRD,BDDHS1997360004,1996-97,DHS,499.0,891.0,,,1.0
BGD,Dhaka before 2015,3646911,Women who have heard of HIV or AIDS,25.6,1,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_HRD,135163010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,HAKAIDWHRD,BDDHS1997360005,1996-97,DHS,2831.0,2484.0,,,1.0
BGD,Khulna,5369920,Women who have heard of HIV or AIDS,17.8,1,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_HRD,135163010,I,360006,1360060,Region,Khulna,0,,0,1,HAKAIDWHRD,BDDHS1997360006,1996-97,DHS,1089.0,1066.0,,,1.0
BGD,Rajshahi/Rangpur,5897303,Women who have heard of HIV or AIDS,10.1,1,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_HRD,135163010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,HAKAIDWHRD,BDDHS1997360007,1996-97,DHS,2155.0,2270.0,,,1.0
BGD,Barishal,1642492,Number of women,588.0,0,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_NUM,135163020,D,360001,1360010,Region,Barishal,0,,0,1,HAKAIDWNUM,BDDHS1997360001,1996-97,DHS,,922.0,,,1.0
BGD,Chattogram/Sylhet,6636110,Number of women,2320.0,0,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_NUM,135163020,D,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,HAKAIDWNUM,BDDHS1997360002,1996-97,DHS,,2239.0,,,
BGD,Chattogram,6818506,Number of women,1821.0,0,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_NUM,135163020,D,360003,1360030,Region,..Chattogram,0,,0,1,HAKAIDWNUM,BDDHS1997360003,1996-97,DHS,,1348.0,,,1.0
BGD,Sylhet,1657460,Number of women,499.0,0,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_NUM,135163020,D,360004,1360040,Region,..Sylhet,0,,0,1,HAKAIDWNUM,BDDHS1997360004,1996-97,DHS,,891.0,,,1.0
BGD,Dhaka before 2015,3758834,Number of women,2831.0,0,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_NUM,135163020,D,360005,1360050,Region,Dhaka before 2015,0,,0,1,HAKAIDWNUM,BDDHS1997360005,1996-97,DHS,,2484.0,,,1.0
BGD,Khulna,5369919,Number of women,1089.0,0,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_NUM,135163020,D,360006,1360060,Region,Khulna,0,,0,1,HAKAIDWNUM,BDDHS1997360006,1996-97,DHS,,1066.0,,,1.0
BGD,Rajshahi/Rangpur,5927250,Number of women,2155.0,0,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_NUM,135163020,D,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,HAKAIDWNUM,BDDHS1997360007,1996-97,DHS,,2270.0,,,1.0
BGD,Barishal,3359663,Number of women (unweighted),922.0,0,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_UNW,135163030,U,360001,1360010,Region,Barishal,0,,0,1,HAKAIDWUNW,BDDHS1997360001,1996-97,DHS,588.0,,,,1.0
BGD,Chattogram/Sylhet,1658924,Number of women (unweighted),2239.0,0,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_UNW,135163030,U,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,HAKAIDWUNW,BDDHS1997360002,1996-97,DHS,2320.0,,,,
BGD,Chattogram,2583096,Number of women (unweighted),1348.0,0,BD,Bangladesh,1997,BD1997DHS,HA_KAID_W_UNW,135163030,U,360003,1360030,Region,..Chattogram,0,,0,1,HAKAIDWUNW,BDDHS1997360003,1996-97,DHS,1821.0,,,,1.0
