ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,4952731,Children ever breastfed,96.4,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_EVR,104266010,I,360001,1360010,Region,Barishal,0,,0,1,CNBRFICEVR,BDDHS1994360001,1993-94,DHS,166.0,270.0,,,1.0
BGD,Chattogram/Sylhet,6739482,Children ever breastfed,96.2,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_EVR,104266010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNBRFICEVR,BDDHS1994360002,1993-94,DHS,784.0,621.0,,,1.0
BGD,Chattogram,6433405,Children ever breastfed,96.2,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_EVR,104266010,I,360003,1360030,Region,..Chattogram,0,,0,1,CNBRFICEVR,BDDHS1994360003,1993-94,DHS,784.0,621.0,,,
BGD,Dhaka before 2015,3858399,Children ever breastfed,95.5,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_EVR,104266010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNBRFICEVR,BDDHS1994360005,1993-94,DHS,774.0,724.0,,,1.0
BGD,Khulna,5265322,Children ever breastfed,98.1,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_EVR,104266010,I,360006,1360060,Region,Khulna,0,,0,1,CNBRFICEVR,BDDHS1994360006,1993-94,DHS,260.0,265.0,,,1.0
BGD,Rajshahi/Rangpur,1389546,Children ever breastfed,96.0,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_EVR,104266010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNBRFICEVR,BDDHS1994360007,1993-94,DHS,514.0,577.0,,,1.0
BGD,Barishal,4952730,Children who started breastfeeding within 1 hour of birth,8.7,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_1HR,104266020,I,360001,1360010,Region,Barishal,0,,0,1,CNBRFIC1HR,BDDHS1994360001,1993-94,DHS,166.0,270.0,,,1.0
BGD,Chattogram/Sylhet,6739480,Children who started breastfeeding within 1 hour of birth,8.4,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_1HR,104266020,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNBRFIC1HR,BDDHS1994360002,1993-94,DHS,784.0,621.0,,,1.0
BGD,Chattogram,6433403,Children who started breastfeeding within 1 hour of birth,8.4,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_1HR,104266020,I,360003,1360030,Region,..Chattogram,0,,0,1,CNBRFIC1HR,BDDHS1994360003,1993-94,DHS,784.0,621.0,,,
BGD,Dhaka before 2015,3858398,Children who started breastfeeding within 1 hour of birth,9.0,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_1HR,104266020,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNBRFIC1HR,BDDHS1994360005,1993-94,DHS,774.0,724.0,,,1.0
BGD,Khulna,5265310,Children who started breastfeeding within 1 hour of birth,9.3,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_1HR,104266020,I,360006,1360060,Region,Khulna,0,,0,1,CNBRFIC1HR,BDDHS1994360006,1993-94,DHS,260.0,265.0,,,1.0
BGD,Rajshahi/Rangpur,1389545,Children who started breastfeeding within 1 hour of birth,7.3,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_1HR,104266020,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNBRFIC1HR,BDDHS1994360007,1993-94,DHS,514.0,577.0,,,1.0
BGD,Chattogram/Sylhet,1379822,Median duration of any breastfeeding,26.4,1,BD,Bangladesh,1994,BD1994DHS,CN_BFDR_C_MDA,104336010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNBFDRCMDA,BDDHS1994360002,1993-94,DHS,,,,,1.0
BGD,Chattogram,1397116,Median duration of any breastfeeding,26.4,1,BD,Bangladesh,1994,BD1994DHS,CN_BFDR_C_MDA,104336010,I,360003,1360030,Region,..Chattogram,0,,0,1,CNBFDRCMDA,BDDHS1994360003,1993-94,DHS,,,,,
BGD,Dhaka before 2015,1397112,Median duration of any breastfeeding,33.4,1,BD,Bangladesh,1994,BD1994DHS,CN_BFDR_C_MDA,104336010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNBFDRCMDA,BDDHS1994360005,1993-94,DHS,,,,,1.0
BGD,Barishal,1389600,Children ever breastfed,97.5,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_EVR,104266010,I,360001,1360010,Region,Barishal,0,,0,1,CNBRFICEVR,BDDHS1997360001,1996-97,DHS,156.0,243.0,,,1.0
BGD,Chattogram/Sylhet,5205527,Children ever breastfed,98.8,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_EVR,104266010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNBRFICEVR,BDDHS1997360002,1996-97,DHS,770.0,732.0,,,
BGD,Chattogram,3798001,Children ever breastfed,99.1,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_EVR,104266010,I,360003,1360030,Region,..Chattogram,0,,0,1,CNBRFICEVR,BDDHS1997360003,1996-97,DHS,605.0,440.0,,,1.0
BGD,Sylhet,1404959,Children ever breastfed,97.8,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_EVR,104266010,I,360004,1360040,Region,..Sylhet,0,,0,1,CNBRFICEVR,BDDHS1997360004,1996-97,DHS,165.0,292.0,,,1.0
BGD,Dhaka before 2015,6507495,Children ever breastfed,98.2,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_EVR,104266010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNBRFICEVR,BDDHS1997360005,1996-97,DHS,685.0,599.0,,,1.0
BGD,Khulna,4803715,Children ever breastfed,96.1,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_EVR,104266010,I,360006,1360060,Region,Khulna,0,,0,1,CNBRFICEVR,BDDHS1997360006,1996-97,DHS,227.0,218.0,,,1.0
BGD,Rajshahi/Rangpur,4523840,Children ever breastfed,96.5,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_EVR,104266010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNBRFICEVR,BDDHS1997360007,1996-97,DHS,501.0,528.0,,,1.0
BGD,Barishal,1389601,Children who started breastfeeding within 1 hour of birth,13.6,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360001,1360010,Region,Barishal,0,,0,1,CNBRFIC1HR,BDDHS1997360001,1996-97,DHS,156.0,243.0,,,1.0
BGD,Chattogram/Sylhet,5205525,Children who started breastfeeding within 1 hour of birth,18.8,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNBRFIC1HR,BDDHS1997360002,1996-97,DHS,770.0,732.0,,,
BGD,Chattogram,3797998,Children who started breastfeeding within 1 hour of birth,15.7,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360003,1360030,Region,..Chattogram,0,,0,1,CNBRFIC1HR,BDDHS1997360003,1996-97,DHS,605.0,440.0,,,1.0
BGD,Sylhet,1404962,Children who started breastfeeding within 1 hour of birth,30.3,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360004,1360040,Region,..Sylhet,0,,0,1,CNBRFIC1HR,BDDHS1997360004,1996-97,DHS,165.0,292.0,,,1.0
BGD,Dhaka before 2015,6507496,Children who started breastfeeding within 1 hour of birth,21.7,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNBRFIC1HR,BDDHS1997360005,1996-97,DHS,685.0,599.0,,,1.0
BGD,Khulna,4803828,Children who started breastfeeding within 1 hour of birth,15.2,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360006,1360060,Region,Khulna,0,,0,1,CNBRFIC1HR,BDDHS1997360006,1996-97,DHS,227.0,218.0,,,1.0
BGD,Rajshahi/Rangpur,4523863,Children who started breastfeeding within 1 hour of birth,19.4,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNBRFIC1HR,BDDHS1997360007,1996-97,DHS,501.0,528.0,,,1.0
BGD,Barishal,1389623,Median duration of any breastfeeding,29.6,1,BD,Bangladesh,1997,BD1997DHS,CN_BFDR_C_MDA,104336010,I,360001,1360010,Region,Barishal,0,,0,1,CNBFDRCMDA,BDDHS1997360001,1996-97,DHS,,,,,1.0
BGD,Chattogram/Sylhet,2694298,Median duration of any breastfeeding,25.1,1,BD,Bangladesh,1997,BD1997DHS,CN_BFDR_C_MDA,104336010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNBFDRCMDA,BDDHS1997360002,1996-97,DHS,,,,,
