Gross Domestic Product (Taka in Millions),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Base Year: 2005-06,,,,,,,,,
,,,,,,,,,
Descriptor,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
Gross Domestic Product by Economic Sector at Current Prices,,,,,,,,,
Agriculture and Forestry,790100.0,899860.0,978070.0,1109903.0,1254686.0,1388791.0,1487578.0,1639682.0,1764997.0
Crops and Horticulture ,576250.0,657300.0,711580.0,814050.0,919028.0,1008993.0,1067941.0,1179029.0,1261209.0
Animal Farmings ,121980.0,142970.0,158300.0,175272.0,201707.0,229987.0,253588.0,276668.0,298845.0
Forest and Related Services ,91870.0,99590.0,108190.0,120581.0,133952.0,149810.0,166050.0,183985.0,204942.0
Fishing ,188900.0,206350.0,227930.0,246007.0,284820.0,318273.0,369946.0,423076.0,475813.0
Mining and Quarrying,78660.0,91100.0,109620.0,126449.0,142084.0,166504.0,194611.0,210799.0,238757.0
Natural Gas and Crude Petroleum,50180.0,53870.0,61940.0,68032.0,68456.0,73660.0,79531.0,81557.0,91877.0
Other Mining and Coal ,28480.0,37230.0,47690.0,58418.0,73628.0,92844.0,115080.0,129242.0,146880.0
Manufacturing ,876050.0,1013710.0,1161970.0,1285730.0,1465027.0,1679275.0,1971272.0,2232207.0,2544831.0
Large and Medium Scale,701310.0,810660.0,919960.0,1016187.0,1164533.0,1343974.0,1584482.0,1803818.0,2059920.0
Small Scale,174740.0,203050.0,242010.0,269543.0,300494.0,335301.0,386790.0,428389.0,484911.0
"Electricity, Gas and Water Supply ",57200.0,64410.0,70120.0,83457.0,115893.0,141894.0,163812.0,184006.0,198682.0
Electricity,45000.0,49500.0,52820.0,60034.0,86460.0,101891.0,121682.0,138335.0,150614.0
Gas ,8420.0,10450.0,12490.0,18088.0,23386.0,32997.0,34475.0,36759.0,37866.0
Water ,3780.0,4450.0,4810.0,5334.0,6048.0,7006.0,7655.0,8912.0,10203.0
Construction ,335130.0,385330.0,441800.0,494739.0,570716.0,683044.0,824321.0,908336.0,1084839.0
Wholesale and Retail Trade ,729710.0,861490.0,960940.0,1066064.0,1213319.0,1373962.0,1545794.0,1725752.0,1925854.0
Hotel and Restaurants,40690.0,48260.0,57900.0,70276.0,82283.0,97551.0,112634.0,130353.0,149279.0
