Quarterly Gross Domestic Product (Taka in Millions),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Base Year: 2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Descriptor,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
Gross Domestic Product by Economic Sector at Current Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,612692,747861,597072,837424,667404,811174,659115,873976,734552,888428,697974,972848,788678,948534,751604,1045615,861226,1048680,811146,1083412,905334,1123352,879363,1198566,990652,1208166,952993,1303502,1072342,1344940,1037572,1486727,1196526,1551153,1175738.8787288303,1690027.3573617816,1333448.1788821665,1739823.0777895509,1318640.9852659814,1874167.5247411062
Agriculture Forestry and Fishing,612692,747861,597072,837424,667404,811174,659115,873976,734552,888428,697974,972848,788678,948534,751604,1045615,861226,1048680,811146,1083412,905334,1123352,879363,1198566,990652,1208166,952993,1303502,1072342,1344940,1037572,1486727,1196526,1551153,1175738.8787288303,1690027.3573617816,1333448.1788821665,1739823.0777895509,1318640.9852659814,1874167.5247411062
Industry,1465188,1514974,1733516,1735723,1646177,1733065,1911256,1971727,1939309,2102171,2177073,2220069,2300051,2390145,2463462,2539659,2631712,2736891,2834180,2228496,2688062,2841888,3090084,3137482,3012737,3421404,3735493,3292840,3364560,3949067,4214841,4007272,4177600,4719636,4590330.934546492,4182439.195522199,4125672.3453909215,4781321.649429731,5170966.725203831,4599191.27180719
Mining and Quarrying,70423,78281,92213,89610,83767,97639,111393,107043,99232,110494,114249,118784,119027,130352,135292,141428,133208,146572,161685,110774,132226,148612,171133,139050,129410,145200,176659,137893,143011,162360,212177,184888,183593,216383,114829.63176263985,219586.70161315403,241640.59306997675,167313.34204938498,133157.7220847503,243145.869524795
Manufacturing ,979505,1002444,1094400,1147522,1072386,1119597,1214045,1260033,1261799,1383580,1417751,1427112,1514225,1562730,1589012,1593407,1668374,1706217,1739612,1416436,1720329,1815705,1938132,2022419,1930987,2194279,2357645,2161458,2213950,2569992,2643386,2606121,2754210,2855209,2937964.2057069773,2677335.337227338,2758810.018418666,3111316.1842619698,3302591,2954562.5571626634
"Electricity, Gas, Steam and Air Conditioning Supply ",64211,59261,66359,76747,81009,73571,73390,86160,93468,82326,82193,90707,107926,89553,91220,116596,132725,110613,112504,113759,132234,109772,106136,126870,138031,120439,120815,153325,165941,134624,133434,162752,176071,146396,134533.95915226248,190993.74187152268,195427.82204360358,164007.26916530257,151049.3371438712,205658.77749783595
Construction ,351049,374989,480545,421843,409015,442258,512428,518490,484810,525771,562881,583467,558873,607510,647938,688228,697406,773489,820379,587528,703273,767799,874683,849143,814309,961487,1080374,840164,841659,1082092,1225844,1053512,1063726,1501648,1403003.1379246125,1094523.414810184,929793.9118586752,1338684.8539530742,1584168.6659752093,1195824.067621896
Services,2443779,2474044,2705586,3006426,2710890,2894607,3073626,3263270,3075669,3244389,3482678,3626407,3481857,3668473,3768197,4085168,3848818,4125424,4197834,4152875,4049708,4245326,4704394,5101930,4435530,4838567,5347054,5638352,5266362,5564136,5823042,6300013,6059426,6292034,6472949.260731978,6954568.664877334,6616641.804496439,7133556.466511392,7391761.139691105,7717496.904737412
Wholesale and Retail Trade; repair of motor vehicles,651689,703250,727894,802267,697346,823203,867508,858262,828569,936143,964694,1007750,947529,1037819,1050482,1148124,1054430,1179660,1189125,1034359,1066228,1140397,1306845,1463047,1209981,1398124,1509745,1553119,1490056,1594595,1594356,1794658,1720400,1834293,1799972.1279871725,1951840.6440166994,1897167.2561656146,2214537.274319654,2107545.0639076233,2212978.4083586303
"Transportation, Accomodation and Food Service, Information and Communication",474347,512292,535010,545843,551935,574040,598130,602458,616635,639905,652988,664205,676101,701127,728923,748497,743727,761795,785874,742347,754786,808799,886105,895512,836789,914906,968917,990840,998103,1051252,1086814,1089463,1122793,1145705,1192811.8662131405,1215456.4995202937,1223333.795000189,1273750.627566674,1317439.6349508646,1354301.0236918924
Financial and Insurance Activities ,139095,155269,173780,182571,168634,172926,183405,197500,188485,196214,208306,224229,214601,228703,238687,250974,235384,255025,295661,246098,247573,275712,301541,327879,307794,319186,327103,341307,345444,358185,365805,378410,381732,397382,406658.81179957464,417807.3032181905,417233.75600791245,461253.62472100556,440565.2374956679,469055.0477197675
"Real Estate Activities Professional, Scientific and Technical Activities",502524,512563,544366,547138,560506,567959,606068,607010,613286,627664,672823,665956,676549,697589,739368,745608,750048,773722,816089,826762,834508,875059,869909,884919,879363,918881,971276,1013078,968905,1014027,1084026,1126449,1155104,1132585,1193624.6213411563,1221468.3241479616,1230365.3887776898,1258703.6240392902,1299530.311606531,1326657.2190516284
"Public Administration and Defense; compulsory, Health and Education",403307,304534,424721,625525,445321,458275,477465,647301,504669,495017,603829,714261,619465,619711,605453,783144,645466,705791,680052,909981,756835,743251,800264,1011039,801936,765171,976468,1207291,943256,987827,1098701,1318096,1094880,1172961,1223317.9736879095,1475649.1977554383,1208971.5581357596,1274704.4443215798,1482347.7591867787,1596283.1257228232
"Arts, entertainment and recreation, and Other Services ",274062,285927,299238,302619,286642,297339,341766,351393,323987,349350,380121,350056,347367,383146,405725,409003,419517,449199,431216,393623,389758,402174,540350,518869,399122,521903,593745,533455,520598,558250,593339,592936,584516,609108,656563.8597030244,672346.6962187494,639570.0504092737,650606.8715431882,744333.1325436407,758222.0801926709
Total GVA at current basic price,4521659,4736880,5036175,5579572,5024471,5438846,5643997,6108973,5749530,6234989,6357726,6819324,6570585,7007152,6983263,7670441,7341756,7910995,7843159,7464783,7643105,8210566,8673840,9437978,8438918,9468137,10035540,10234694,9703264,10858143,11075454,11794012,11433552,12562823,12239019.0740073,12827035.217761315,12075762.328769527,13654701.193730675,13881368.850160917,14190855.701285709
Tax less subsidy,191594,233885,222438,236020,225263,263367,279961,256551,288013,314557,315353,308522,295207,301396,314318,364934,286532,322912,334328,190445,277485,350039,367231,328901,335337,395610,379757,408173,354574,411537,367557,343876,441147,536126,430830.99304259726,350136.06448368065,312119.3500146824,388274.10989820637,315811.56940498407,209647.06775884144
