ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,7161473,Number of households,603,0,BD,Bangladesh,1994,BD1994DHS,HC_ORPH_H_NUM,260861050,D,360001,1360010,Region,Barishal,0,,0,1,HCORPHHNUM,BDDHS1994360001,1993-94,DHS,,991.0,,,1.0
BGD,Chattogram/Sylhet,1088429,Number of households,2370,0,BD,Bangladesh,1994,BD1994DHS,HC_ORPH_H_NUM,260861050,D,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,HCORPHHNUM,BDDHS1994360002,1993-94,DHS,,1864.0,,,1.0
BGD,Chattogram,6731831,Number of households,2370,0,BD,Bangladesh,1994,BD1994DHS,HC_ORPH_H_NUM,260861050,D,360003,1360030,Region,..Chattogram,0,,0,1,HCORPHHNUM,BDDHS1994360003,1993-94,DHS,,1864.0,,,
BGD,Dhaka before 2015,4774489,Number of households,2867,0,BD,Bangladesh,1994,BD1994DHS,HC_ORPH_H_NUM,260861050,D,360005,1360050,Region,Dhaka before 2015,0,,0,1,HCORPHHNUM,BDDHS1994360005,1993-94,DHS,,2690.0,,,1.0
BGD,Khulna,1096915,Number of households,1087,0,BD,Bangladesh,1994,BD1994DHS,HC_ORPH_H_NUM,260861050,D,360006,1360060,Region,Khulna,0,,0,1,HCORPHHNUM,BDDHS1994360006,1993-94,DHS,,1118.0,,,1.0
BGD,Rajshahi/Rangpur,5659016,Number of households,2248,0,BD,Bangladesh,1994,BD1994DHS,HC_ORPH_H_NUM,260861050,D,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,HCORPHHNUM,BDDHS1994360007,1993-94,DHS,,2511.0,,,1.0
BGD,Barishal,3386323,Number of households (unweighted),991,0,BD,Bangladesh,1994,BD1994DHS,HC_ORPH_H_UNW,260861060,U,360001,1360010,Region,Barishal,0,,0,1,HCORPHHUNW,BDDHS1994360001,1993-94,DHS,603.0,,,,1.0
BGD,Chattogram/Sylhet,3026020,Number of households (unweighted),1864,0,BD,Bangladesh,1994,BD1994DHS,HC_ORPH_H_UNW,260861060,U,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,HCORPHHUNW,BDDHS1994360002,1993-94,DHS,2370.0,,,,1.0
BGD,Chattogram,39983,Number of households (unweighted),1864,0,BD,Bangladesh,1994,BD1994DHS,HC_ORPH_H_UNW,260861060,U,360003,1360030,Region,..Chattogram,0,,0,1,HCORPHHUNW,BDDHS1994360003,1993-94,DHS,2370.0,,,,
BGD,Dhaka before 2015,419097,Number of households (unweighted),2690,0,BD,Bangladesh,1994,BD1994DHS,HC_ORPH_H_UNW,260861060,U,360005,1360050,Region,Dhaka before 2015,0,,0,1,HCORPHHUNW,BDDHS1994360005,1993-94,DHS,2867.0,,,,1.0
BGD,Khulna,1096916,Number of households (unweighted),1118,0,BD,Bangladesh,1994,BD1994DHS,HC_ORPH_H_UNW,260861060,U,360006,1360060,Region,Khulna,0,,0,1,HCORPHHUNW,BDDHS1994360006,1993-94,DHS,1087.0,,,,1.0
BGD,Rajshahi/Rangpur,6540481,Number of households (unweighted),2511,0,BD,Bangladesh,1994,BD1994DHS,HC_ORPH_H_UNW,260861060,U,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,HCORPHHUNW,BDDHS1994360007,1993-94,DHS,2248.0,,,,1.0
BGD,Barishal,1105663,Number of households,561,0,BD,Bangladesh,1997,BD1997DHS,HC_ORPH_H_NUM,260861050,D,360001,1360010,Region,Barishal,0,,0,1,HCORPHHNUM,BDDHS1997360001,1996-97,DHS,,882.0,,,1.0
