ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,43615,Women with secondary or higher education,19.7,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_SEH,231203100,I,360001,1360010,Region,Barishal,0,,0,1,EDEDUCWSEH,BDDHS1994360001,1993-94,DHS,600,995,,,1.0
BGD,Chattogram/Sylhet,4872986,Women with secondary or higher education,14.9,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_SEH,231203100,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,EDEDUCWSEH,BDDHS1994360002,1993-94,DHS,2503,1983,,,1.0
BGD,Chattogram,414575,Women with secondary or higher education,14.9,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_SEH,231203100,I,360003,1360030,Region,..Chattogram,0,,0,1,EDEDUCWSEH,BDDHS1994360003,1993-94,DHS,2503,1983,,,
BGD,Dhaka before 2015,6008309,Women with secondary or higher education,16.5,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_SEH,231203100,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,EDEDUCWSEH,BDDHS1994360005,1993-94,DHS,2907,2722,,,1.0
BGD,Khulna,6239016,Women with secondary or higher education,16.3,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_SEH,231203100,I,360006,1360060,Region,Khulna,0,,0,1,EDEDUCWSEH,BDDHS1994360006,1993-94,DHS,1203,1242,,,1.0
BGD,Rajshahi/Rangpur,3509758,Women with secondary or higher education,11.3,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_SEH,231203100,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,EDEDUCWSEH,BDDHS1994360007,1993-94,DHS,2281,2551,,,1.0
BGD,Barishal,4598629,Women with secondary or higher education,22.3,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_SEH,231203100,I,360001,1360010,Region,Barishal,0,,0,1,EDEDUCWSEH,BDDHS1997360001,1996-97,DHS,588,922,,,1.0
BGD,Chattogram/Sylhet,421178,Women with secondary or higher education,20.5,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_SEH,231203100,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,EDEDUCWSEH,BDDHS1997360002,1996-97,DHS,2320,2239,,,
BGD,Chattogram,3385137,Women with secondary or higher education,23.1,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_SEH,231203100,I,360003,1360030,Region,..Chattogram,0,,0,1,EDEDUCWSEH,BDDHS1997360003,1996-97,DHS,1821,1348,,,1.0
BGD,Sylhet,5695998,Women with secondary or higher education,11.1,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_SEH,231203100,I,360004,1360040,Region,..Sylhet,0,,0,1,EDEDUCWSEH,BDDHS1997360004,1996-97,DHS,499,891,,,1.0
BGD,Dhaka before 2015,6697980,Women with secondary or higher education,18.9,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_SEH,231203100,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,EDEDUCWSEH,BDDHS1997360005,1996-97,DHS,2831,2484,,,1.0
BGD,Khulna,4976069,Women with secondary or higher education,19.3,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_SEH,231203100,I,360006,1360060,Region,Khulna,0,,0,1,EDEDUCWSEH,BDDHS1997360006,1996-97,DHS,1089,1066,,,1.0
