0,1,2
"Table 11: Gender Action Plan: Sustainable Rural 
Infrastructure Improvement Project",,
"Sector 
Components","Activities, Indicators,  
and Targets",Cumulative Progress
"Improved 
rural roads","• 	Women’s	participation	
in consultation on 
infrastructure planning 
and implementation","• 	Women	participation	
ensured in consultation 
of infrastructure 
planning (only for 
awarded roads)"
,"• 	Women’s	employment	
(30% of the estimated 
28,500 person-years 
of jobs created) as 
laborers in labor 
contracting societies 
(LCS), earthworks, and 
construction of roads  
and markets","• 	Laborers	employed	
in 122 upazilas in 21 
districts for earth road 
improvement work 
(31.80% women)"
,"• 	1,200	women	in	tree	
plantation and road 
maintenance through 
LCS","• 	155	women	as	caretakers	
for tree plantation 
in 38 roads under 
12 districts"
,"• 	Pay	equal	wage	for	
women and men",
,"• 	Train	1,200	LCS	women	
on routine maintenance, 
tree caretaking, etc.",
,"• 	Train	1,200	LCS	women	
on various income-
generating activities","• 	20%	women	within	
various levels of 
Sustainable Rural 
Infrastructure 
Improvement Project 
(SRIIP) employment"
,"• 	Require	savings	and	
open bank accounts for 
1,200 LCS women","• 	118	LCS	women	opened	
bank account in 
12 districts"
,"• 	Employ	poor	indigenous	
women living in the 
project area","• 	1,344	poor	indigenous	
women employed at 
9 districts of project area"
,"• 	Include	women	in	the	
markets in the road  
safety orientation","• 	Road	safety	awareness	
program outsourced to 
a local firm 6 batches 
of participant lists 
completed for 
participatory training  
on gender, market, and 
road safety"
"Improved 
rural market 
infrastructure","• 	Construct	and	allocate	
about 500 shops in 50 
growth center markets 
for women traders 
(allocate 1–2 shops to 
indigenous women,  
if available in the  
project area)","• 	Shops	allotted	to	
women as shop owners 
in markets include 
indigenous women
• 	Women	vendors	allotted	
space in open markets"
