0,1,2,3,4,5,6,7
"Table 13: Female Participation in Some Fields of Technical Training  
(Excluding Health and Medical Technology)",,,,,,,
Types of Institution,Management,No. of Institution,,No. of Teacher,,No. of Student,
,,Total,Female,Total,Female,Total,Girls
Polytechnic Institute,Public,46,4,"1,481",172,"88,302","10,723"
,Private,172,n/a,"2,971",488,"48,660","4,051"
"Technical School  
and College",Public,64,n/a,"1,132",119,"36,112","4,860"
,Private,103,n/a,"1,681",340,"28,124","9,350"
"Technical Training 
Centre",Public,38,,"1,120",180,"20,294","6,781"
,Private,43,,172,32,"5,666","1,899"
Total,,466,4,"8,557","1,331","227,158","37,664"
,,,0.86%,,15.55%,,16.58%
"Total (Technical 
Education)",Public,245,,"4,862",656,"173,424","28,279"
,Private,"3,082",,"21,460","4,486","434,752","137,195"
,Total,"3,327",,"26,322","5,142","608,176","165,474"
,,,,,19.53%,,27.21%
Source: Ministry of Education. http://www.moedu.gov.bd/index.php?option=com_content&task=view&id=300&Itemid=301,,,,,,,
