0,1,2,3,4,5,6,7,8,9
Table 20: Number of Teachers and Students by Type of Universities and Sex,,,,,,,,,
Year,"Type of 
Universities",Teachers,,,,Students,,,
,,Total,Women,Men,"% of 
Women",Total,Girls,Boys,% of Girls
2004,Public,"6,462",975,"5,487",15.08,"112,327","27,953","84,374",24.80
,Private,"4,815",798,"4,017",16.57,"62,856","14,329","48,527",22.80
2005,Public,"6,921","1,085","5,836",15.67,"116,397","29,475","86,922",25.30
,Private,"5,638",798,"4,840",14.15,"88,669","20,621","68,048",23.20
2009,Public,"9,163","1,656","6,507",18.07,"262,941","81,988","180,953",31.18
,Private,"5,710","1,701","4,009",29.79,"200,939","49,125","151,814",24.45
2011,Public,"9,634","1,784","7,850",18.52,"182,317","53,050","129,267",29.10
,Private,"6,204","1,889","4,315",30.45,"257,089","66,253","190,836",25.77
2012,Public,"9,962","1,931","8,031",19.38,"316,331","108,377","207,954",34.26
,Private,"10,683","2,784","7,899",26.06,"280,822","70,977","209,845",25.27
2013,Public,"11,252","1,308","9,944",11.26,"439,549","160,215","279,334",36.45
,Private,"11,882","1,707","10,175",14.40,"372,653","104,669","267,984",28.08
2014,Public,"11,505","2,377","9,128",20.66,"454,530","168,499","286,031",37.07
,Private,"12,522","3,684","8,838",29.42,"399,182","106,629","292,553",26.71
2015,Public,"12,414","2,721","9,693",21.92,"493,110","181,450","311,660",36.80
,Private,"13,905","3,983","9,922",28.64,"379,781","105,275","274,506",27.72
"Source: Bangladesh Bureau of Educational Information and Statistics. 2015. Bangladesh Education Statistics. Government of Bangladesh. 
Dhaka.",,,,,,,,,
