0,1
Action Areas,Responsibility
Implementing Progressive Legislation,
"A.   Strengthen implementation of education policies related to 
gender and skills.","Ministry of Education (MOE), Ministry of Women 
and Children Affairs (MOWCA)"
"B. 
Embed gender equity in all formal technical and vocational 
education and training (TVET) institutions and key 
instruments including the regulatory system and measures 
for TVET compliance. An integrated TVET policy framework 
is needed to promote girls’ and women’s access to more and 
better quality jobs.","MOE, MOWCA"
Situating Skills Development within Continuing Education,
"C.  Create a synergic relationship between skills development, 
vocational education, and markets by seeking ways and means 
to extend the delivery of education within the framework of 
continuing education.","MOE, nongovernment organizations (NGOs),  
private sector"
"D.  Create skills readiness by introducing skills readiness 
interventions even at primary levels. For instance, children 
could be introduced to basic tools related to vocational 
education through innovative and interesting means 
appropriate to children’s psychology, emphasizing dignity of 
labor and breaking gender stereotypes.","National Curriculum and Textbook Board (NCTB), 
MOE, International Labour Organization (ILO), 
United Nations Children’s Fund (UNICEF)"
Making TVET Gender Responsive,
"E.  Consider the needs of girls and women in terms of 
accommodation, sanitation, transport, timing, and location 
to ensure a friendly environment for them for vocational 
education and skills development.","Technical and Vocational Education and Training 
(TVET) and skills providers in public sector, private 
sector, and NGOs"
"F.  Explore strategies for on-the-job upskilling in collaboration 
with employers.","Ministry of Labour and Employment, MOE, Ministry 
of Industries, employers’ associations and labor 
unions and associations"
"G.  Leverage the capacity of TVET to challenge gendered social 
norms that impact the socioeconomic status of women and 
girls through, e.g., advertisements, course offerings, and  
job placements.","TVET and skills providers in public sector, private 
sector, and NGOs"
"H.  TVET programs and courses for women should not only 
include life skills and work skills, but also entrepreneurship 
and small business skills.","TVET and skills providers in public sector, private 
sector, and NGOs"
"I.  Promote female role models and mentors especially those 
working in differing occupations and industries and establish 
guidance and mentoring support systems for girls and working 
in differing occupations and industries, and guidance and 
mentoring support systems for girls and women during  
pre-training and employment.","TVET and skills providers in public sector, private 
sector, and NGOs"
Strengthening the National Skills Development Council,
"J.  To address gender equality holistically, the following are 
needed: (i) a multidimensional strategy to address market and 
skills-related issues like market linkages, apprenticeship, and 
stipends; (ii) integration of technical skills with life skills; and 
(iii) ensuring working conditions. NSDC needs to progressively 
widen its scope by incorporating membership of stakeholders. 
It can support the above areas by including members of civil 
society, as well as by setting up a strong component of research 
and development wing.","National Skills Development Council (NSDC), NGOs"
