0,1,2,3,4
"Table 7: Urban, Rural, and Slum Values for Selected Indicators of the 2009 Multiple Indicator  
Cluster Survey",,,,
Indicator,Urban,Rural,Slum,"Slum worse than rural  
(%)"
"Under-five mortality rate (per 1,000 live births)",53,66,95,44
Skilled attendant at birth,45%,19%,15%,–21
Population using an improved sanitation facility,54%,54%,9%,–83
Net attendance ratio in pre-school education,26%,22%,13%,–41
Net attendance ratio in primary education,84%,81%,65%,–20
Pupils starting Grade 1 who reach Grade 5,80%,80%,48%,–40
Drop out in primary education,1%,1%,8%,700
Net attendance ratio in secondary education,53%,48%,18%,–63
Youth literacy (women aged 15–24 years),77%,70%,51%,–27
Adult literacy (women aged 15–49 years),66%,48%,35%,–27
Gender parity index in secondary education,1.08,1.18,1.26,7
Birth registration,53%,54%,28%,–48
"Source: Westhof, Dirk. 2010. Understanding Urban Inequalities in Bangladesh: A Prerequisite for Achieving Vision 2012. Dhaka: United 
Nations Children’s Fund. p. 13.",,,,
