0,1,2,3,4,5,6,7,8
Finished secondary,1.00,-1.02,2.18,5.93,7.53,11.57,17.05,20.29
Finished tertiary,1.00,-1.21,2.58,6.98,8.83,13.05,19.40,23.52
Labor - Urban,1.00,-0.48,1.02,2.74,3.41,5.16,7.54,9.09
Not finished primary,1.00,-0.06,0.12,0.29,0.32,0.49,0.75,0.85
Finished primary,1.00,-0.06,0.12,0.29,0.32,0.49,0.75,0.85
Finished secondary,1.00,-0.78,1.68,4.58,5.74,9.99,14.38,15.93
Finished tertiary,1.00,-1.27,2.71,7.33,9.23,13.28,20.03,24.72
Crop land,1.00,0.48,-1.00,-2.56,-2.57,-3.77,-6.47,-7.95
Capital - Total,1.00,0.02,-0.05,-0.13,-0.24,2.59,2.60,-0.34
"Crops, forestry, fisheries",1.00,0.48,-0.98,-2.51,-2.48,-3.42,-6.07,-7.66
Livestock,1.00,0.73,-1.51,-3.92,-4.73,-3.39,-6.64,-11.80
Mining,1.00,0.13,-0.27,-0.76,-1.29,0.75,0.41,-2.45
Other non-agriculture,1.00,0.00,0.00,-0.01,-0.10,2.81,2.92,0.03
