ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,2821968,Antenatal care provider: Doctor,17.8,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360001,1360010,Region,Barishal,14000,Three years preceding the survey,0,0,RHANCPWDOC,BDDHS1994360001,1993-94,DHS,228,371,,,1
BGD,Barishal,1317268,Antenatal care provider: Doctor,19,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360001,1360010,Region,Barishal,14002,Two years preceding the survey,0,1,RHANCPWDOC,BDDHS1994360001,1993-94,DHS,166,270,,,1
BGD,Chattogram/Sylhet,5937388,Antenatal care provider: Doctor,17.6,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360002,1360020,Region,Chattogram/Sylhet,14000,Three years preceding the survey,0,0,RHANCPWDOC,BDDHS1994360002,1993-94,DHS,1100,868,,,1
BGD,Chattogram/Sylhet,4843006,Antenatal care provider: Doctor,18.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360002,1360020,Region,Chattogram/Sylhet,14002,Two years preceding the survey,0,1,RHANCPWDOC,BDDHS1994360002,1993-94,DHS,784,621,,,1
BGD,Chattogram,7015017,Antenatal care provider: Doctor,17.6,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360003,1360030,Region,..Chattogram,14000,Three years preceding the survey,0,0,RHANCPWDOC,BDDHS1994360003,1993-94,DHS,1100,868,,,
BGD,Chattogram,1302953,Antenatal care provider: Doctor,18.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360003,1360030,Region,..Chattogram,14002,Two years preceding the survey,0,1,RHANCPWDOC,BDDHS1994360003,1993-94,DHS,784,621,,,
BGD,Dhaka before 2015,5106279,Antenatal care provider: Doctor,25.5,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360005,1360050,Region,Dhaka before 2015,14000,Three years preceding the survey,0,0,RHANCPWDOC,BDDHS1994360005,1993-94,DHS,1107,1034,,,1
BGD,Dhaka before 2015,2815571,Antenatal care provider: Doctor,26.1,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360005,1360050,Region,Dhaka before 2015,14002,Two years preceding the survey,0,1,RHANCPWDOC,BDDHS1994360005,1993-94,DHS,774,724,,,1
BGD,Khulna,7793410,Antenatal care provider: Doctor,17.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360006,1360060,Region,Khulna,14000,Three years preceding the survey,0,0,RHANCPWDOC,BDDHS1994360006,1993-94,DHS,397,404,,,1
BGD,Khulna,5928990,Antenatal care provider: Doctor,19.9,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360006,1360060,Region,Khulna,14002,Two years preceding the survey,0,1,RHANCPWDOC,BDDHS1994360006,1993-94,DHS,260,265,,,1
BGD,Rajshahi/Rangpur,6202363,Antenatal care provider: Doctor,13.8,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360007,1360070,Region,Rajshahi/Rangpur,14000,Three years preceding the survey,0,0,RHANCPWDOC,BDDHS1994360007,1993-94,DHS,794,892,,,1
BGD,Rajshahi/Rangpur,5346386,Antenatal care provider: Doctor,14.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360007,1360070,Region,Rajshahi/Rangpur,14002,Two years preceding the survey,0,1,RHANCPWDOC,BDDHS1994360007,1993-94,DHS,514,577,,,1
BGD,Barishal,2821972,Antenatal care provider: Nurse/midwife,1,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360001,1360010,Region,Barishal,14000,Three years preceding the survey,0,0,RHANCPWNRS,BDDHS1994360001,1993-94,DHS,228,371,,,1
BGD,Barishal,1317264,Antenatal care provider: Nurse/midwife,1.3,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360001,1360010,Region,Barishal,14002,Two years preceding the survey,0,1,RHANCPWNRS,BDDHS1994360001,1993-94,DHS,166,270,,,1
BGD,Chattogram/Sylhet,5937392,Antenatal care provider: Nurse/midwife,0.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360002,1360020,Region,Chattogram/Sylhet,14000,Three years preceding the survey,0,0,RHANCPWNRS,BDDHS1994360002,1993-94,DHS,1100,868,,,1
BGD,Chattogram/Sylhet,4843002,Antenatal care provider: Nurse/midwife,0.6,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360002,1360020,Region,Chattogram/Sylhet,14002,Two years preceding the survey,0,1,RHANCPWNRS,BDDHS1994360002,1993-94,DHS,784,621,,,1
BGD,Chattogram,7015016,Antenatal care provider: Nurse/midwife,0.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360003,1360030,Region,..Chattogram,14000,Three years preceding the survey,0,0,RHANCPWNRS,BDDHS1994360003,1993-94,DHS,1100,868,,,
BGD,Chattogram,1302950,Antenatal care provider: Nurse/midwife,0.6,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360003,1360030,Region,..Chattogram,14002,Two years preceding the survey,0,1,RHANCPWNRS,BDDHS1994360003,1993-94,DHS,784,621,,,
BGD,Dhaka before 2015,5106278,Antenatal care provider: Nurse/midwife,0.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360005,1360050,Region,Dhaka before 2015,14000,Three years preceding the survey,0,0,RHANCPWNRS,BDDHS1994360005,1993-94,DHS,1107,1034,,,1
BGD,Dhaka before 2015,2815602,Antenatal care provider: Nurse/midwife,0.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360005,1360050,Region,Dhaka before 2015,14002,Two years preceding the survey,0,1,RHANCPWNRS,BDDHS1994360005,1993-94,DHS,774,724,,,1
BGD,Khulna,7793413,Antenatal care provider: Nurse/midwife,2.4,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360006,1360060,Region,Khulna,14000,Three years preceding the survey,0,0,RHANCPWNRS,BDDHS1994360006,1993-94,DHS,397,404,,,1
BGD,Khulna,5928992,Antenatal care provider: Nurse/midwife,2.9,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360006,1360060,Region,Khulna,14002,Two years preceding the survey,0,1,RHANCPWNRS,BDDHS1994360006,1993-94,DHS,260,265,,,1
BGD,Rajshahi/Rangpur,6202366,Antenatal care provider: Nurse/midwife,0.4,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360007,1360070,Region,Rajshahi/Rangpur,14000,Three years preceding the survey,0,0,RHANCPWNRS,BDDHS1994360007,1993-94,DHS,794,892,,,1
BGD,Rajshahi/Rangpur,5346387,Antenatal care provider: Nurse/midwife,0.3,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360007,1360070,Region,Rajshahi/Rangpur,14002,Two years preceding the survey,0,1,RHANCPWNRS,BDDHS1994360007,1993-94,DHS,514,577,,,1
BGD,Barishal,2821974,Antenatal care provider: Other health worker,6.9,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360001,1360010,Region,Barishal,14000,Three years preceding the survey,0,0,RHANCPWOHW,BDDHS1994360001,1993-94,DHS,228,371,,,1
BGD,Barishal,1317266,Antenatal care provider: Other health worker,7.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360001,1360010,Region,Barishal,14002,Two years preceding the survey,0,1,RHANCPWOHW,BDDHS1994360001,1993-94,DHS,166,270,,,1
BGD,Chattogram/Sylhet,5937395,Antenatal care provider: Other health worker,6.3,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360002,1360020,Region,Chattogram/Sylhet,14000,Three years preceding the survey,0,0,RHANCPWOHW,BDDHS1994360002,1993-94,DHS,1100,868,,,1
BGD,Chattogram/Sylhet,4843004,Antenatal care provider: Other health worker,6.5,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360002,1360020,Region,Chattogram/Sylhet,14002,Two years preceding the survey,0,1,RHANCPWOHW,BDDHS1994360002,1993-94,DHS,784,621,,,1
BGD,Chattogram,7015020,Antenatal care provider: Other health worker,6.3,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360003,1360030,Region,..Chattogram,14000,Three years preceding the survey,0,0,RHANCPWOHW,BDDHS1994360003,1993-94,DHS,1100,868,,,
BGD,Chattogram,1302951,Antenatal care provider: Other health worker,6.5,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360003,1360030,Region,..Chattogram,14002,Two years preceding the survey,0,1,RHANCPWOHW,BDDHS1994360003,1993-94,DHS,784,621,,,
BGD,Dhaka before 2015,5106280,Antenatal care provider: Other health worker,7.5,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360005,1360050,Region,Dhaka before 2015,14000,Three years preceding the survey,0,0,RHANCPWOHW,BDDHS1994360005,1993-94,DHS,1107,1034,,,1
BGD,Dhaka before 2015,2815569,Antenatal care provider: Other health worker,8.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360005,1360050,Region,Dhaka before 2015,14002,Two years preceding the survey,0,1,RHANCPWOHW,BDDHS1994360005,1993-94,DHS,774,724,,,1
BGD,Khulna,7793415,Antenatal care provider: Other health worker,6.1,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360006,1360060,Region,Khulna,14000,Three years preceding the survey,0,0,RHANCPWOHW,BDDHS1994360006,1993-94,DHS,397,404,,,1
BGD,Khulna,5928988,Antenatal care provider: Other health worker,7.4,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360006,1360060,Region,Khulna,14002,Two years preceding the survey,0,1,RHANCPWOHW,BDDHS1994360006,1993-94,DHS,260,265,,,1
