ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,5951568,Children who had a birth certificate,24.4,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_CRT,220906010,I,360001,1360010,Region,Barishal,0,,0,1,CPBREGCCRT,BDDHS2011360001,2011,DHS,476,941,,,1
BGD,Chattogram/Sylhet,5853548,Children who had a birth certificate,26.3,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_CRT,220906010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CPBREGCCRT,BDDHS2011360002,2011,DHS,2602,3038,,,
BGD,Chattogram,3685776,Children who had a birth certificate,24.5,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_CRT,220906010,I,360003,1360030,Region,..Chattogram,0,,0,1,CPBREGCCRT,BDDHS2011360003,2011,DHS,1956,1699,,,1
BGD,Sylhet,6882019,Children who had a birth certificate,31.7,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_CRT,220906010,I,360004,1360040,Region,..Sylhet,0,,0,1,CPBREGCCRT,BDDHS2011360004,2011,DHS,646,1339,,,1
BGD,Dhaka before 2015,2638347,Children who had a birth certificate,19.2,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_CRT,220906010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CPBREGCCRT,BDDHS2011360005,2011,DHS,2646,1420,,,1
BGD,Khulna,4717225,Children who had a birth certificate,25.7,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_CRT,220906010,I,360006,1360060,Region,Khulna,0,,0,1,CPBREGCCRT,BDDHS2011360006,2011,DHS,761,934,,,1
BGD,Rajshahi/Rangpur,5875947,Children who had a birth certificate,20,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_CRT,220906010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CPBREGCCRT,BDDHS2011360007,2011,DHS,2002,2115,,,
BGD,Rangpur,1107741,Children who had a birth certificate,22.8,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_CRT,220906010,I,360008,1360080,Region,..Rangpur,0,,0,1,CPBREGCCRT,BDDHS2011360008,2011,DHS,924,1103,,,1
BGD,Rajshahi,5692619,Children who had a birth certificate,17.5,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_CRT,220906010,I,360009,1360090,Region,..Rajshahi,0,,0,1,CPBREGCCRT,BDDHS2011360009,2011,DHS,1077,1012,,,1
BGD,Barishal,5951570,Children who did not have a birth certificate but were registered,9.2,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_NCT,220906020,I,360001,1360010,Region,Barishal,0,,0,1,CPBREGCNCT,BDDHS2011360001,2011,DHS,476,941,,,1
BGD,Chattogram/Sylhet,5853571,Children who did not have a birth certificate but were registered,8,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_NCT,220906020,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CPBREGCNCT,BDDHS2011360002,2011,DHS,2602,3038,,,
BGD,Chattogram,3685778,Children who did not have a birth certificate but were registered,6.7,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_NCT,220906020,I,360003,1360030,Region,..Chattogram,0,,0,1,CPBREGCNCT,BDDHS2011360003,2011,DHS,1956,1699,,,1
BGD,Sylhet,6882018,Children who did not have a birth certificate but were registered,11.7,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_NCT,220906020,I,360004,1360040,Region,..Sylhet,0,,0,1,CPBREGCNCT,BDDHS2011360004,2011,DHS,646,1339,,,1
BGD,Dhaka before 2015,2638346,Children who did not have a birth certificate but were registered,7.6,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_NCT,220906020,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CPBREGCNCT,BDDHS2011360005,2011,DHS,2646,1420,,,1
BGD,Khulna,4717224,Children who did not have a birth certificate but were registered,6.2,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_NCT,220906020,I,360006,1360060,Region,Khulna,0,,0,1,CPBREGCNCT,BDDHS2011360006,2011,DHS,761,934,,,1
BGD,Rajshahi/Rangpur,5875946,Children who did not have a birth certificate but were registered,9.3,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_NCT,220906020,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CPBREGCNCT,BDDHS2011360007,2011,DHS,2002,2115,,,
BGD,Rangpur,1107735,Children who did not have a birth certificate but were registered,10.2,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_NCT,220906020,I,360008,1360080,Region,..Rangpur,0,,0,1,CPBREGCNCT,BDDHS2011360008,2011,DHS,924,1103,,,1
BGD,Rajshahi,5692616,Children who did not have a birth certificate but were registered,8.5,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_NCT,220906020,I,360009,1360090,Region,..Rajshahi,0,,0,1,CPBREGCNCT,BDDHS2011360009,2011,DHS,1077,1012,,,1
BGD,Barishal,5951569,Children registered,33.6,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_REG,220906030,I,360001,1360010,Region,Barishal,0,,0,1,CPBREGCREG,BDDHS2011360001,2011,DHS,476,941,,,1
BGD,Chattogram/Sylhet,5853549,Children registered,34.3,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_REG,220906030,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CPBREGCREG,BDDHS2011360002,2011,DHS,2602,3038,,,
BGD,Chattogram,3685777,Children registered,31.2,1,BD,Bangladesh,2011,BD2011DHS,CP_BREG_C_REG,220906030,I,360003,1360030,Region,..Chattogram,0,,0,1,CPBREGCREG,BDDHS2011360003,2011,DHS,1956,1699,,,1
