ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,7515286,Neonatal mortality rate,63,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360001,1993-94,DHS,,,50,77,1
BGD,Chattogram/Sylhet,7610611,Neonatal mortality rate,65,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360002,1993-94,DHS,,,56,75,1
BGD,Chattogram,872791,Neonatal mortality rate,65,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360003,1993-94,DHS,,,56,75,
BGD,Dhaka before 2015,7766996,Neonatal mortality rate,62,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360005,1993-94,DHS,,,54,71,1
BGD,Khulna,7560853,Neonatal mortality rate,59,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360006,1993-94,DHS,,,47,71,1
BGD,Rajshahi/Rangpur,7650127,Neonatal mortality rate,65,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360007,1993-94,DHS,,,55,75,1
BGD,Barishal,7852394,Postneonatal mortality rate,39,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1994360001,1993-94,DHS,,,28,50,1
BGD,Chattogram/Sylhet,1722190,Postneonatal mortality rate,38,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1994360002,1993-94,DHS,,,31,45,1
BGD,Chattogram,1734744,Postneonatal mortality rate,38,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1994360003,1993-94,DHS,,,31,45,
BGD,Dhaka before 2015,1734589,Postneonatal mortality rate,43,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1994360005,1993-94,DHS,,,35,51,1
BGD,Khulna,7964780,Postneonatal mortality rate,31,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1994360006,1993-94,DHS,,,22,40,1
BGD,Rajshahi/Rangpur,1728466,Postneonatal mortality rate,30,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1994360007,1993-94,DHS,,,24,37,1
BGD,Barishal,7817013,Infant mortality rate,102,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1994360001,1993-94,DHS,,,84,120,1
BGD,Chattogram/Sylhet,7942693,Infant mortality rate,103,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1994360002,1993-94,DHS,,,90,116,1
BGD,Chattogram,1734599,Infant mortality rate,103,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1994360003,1993-94,DHS,,,90,116,
BGD,Dhaka before 2015,1734557,Infant mortality rate,105,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1994360005,1993-94,DHS,,,94,116,1
BGD,Khulna,7756784,Infant mortality rate,90,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1994360006,1993-94,DHS,,,76,105,1
BGD,Rajshahi/Rangpur,1728566,Infant mortality rate,95,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1994360007,1993-94,DHS,,,81,109,1
BGD,Barishal,7638632,Child mortality rate,50,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1994360001,1993-94,DHS,,,41,58,1
BGD,Chattogram/Sylhet,7724178,Child mortality rate,71,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1994360002,1993-94,DHS,,,60,83,1
BGD,Chattogram,7591380,Child mortality rate,71,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1994360003,1993-94,DHS,,,60,83,
BGD,Dhaka before 2015,7531242,Child mortality rate,58,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1994360005,1993-94,DHS,,,48,67,1
BGD,Khulna,7645067,Child mortality rate,25,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1994360006,1993-94,DHS,,,16,34,1
BGD,Rajshahi/Rangpur,7978408,Child mortality rate,44,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1994360007,1993-94,DHS,,,36,52,1
BGD,Barishal,7471097,Under-five mortality rate,147,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCU5M,BDDHS1994360001,1993-94,DHS,,,126,167,1
BGD,Chattogram/Sylhet,7807483,Under-five mortality rate,167,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCU5M,BDDHS1994360002,1993-94,DHS,,,149,186,1
BGD,Chattogram,7926541,Under-five mortality rate,167,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCU5M,BDDHS1994360003,1993-94,DHS,,,149,186,
BGD,Dhaka before 2015,7924325,Under-five mortality rate,157,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCU5M,BDDHS1994360005,1993-94,DHS,,,142,172,1
BGD,Khulna,1734649,Under-five mortality rate,113,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCU5M,BDDHS1994360006,1993-94,DHS,,,96,130,1
BGD,Rajshahi/Rangpur,7741958,Under-five mortality rate,135,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCU5M,BDDHS1994360007,1993-94,DHS,,,117,153,1
BGD,Barishal,1739729,Stillbirths,12,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NSB,63236010,I,360001,1360010,Region,Barishal,0,,0,1,CMPNMRCNSB,BDDHS1994360001,1993-94,DHS,,,,,1
BGD,Chattogram/Sylhet,1722218,Stillbirths,65,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NSB,63236010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CMPNMRCNSB,BDDHS1994360002,1993-94,DHS,,,,,1
BGD,Chattogram,1734629,Stillbirths,65,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NSB,63236010,I,360003,1360030,Region,..Chattogram,0,,0,1,CMPNMRCNSB,BDDHS1994360003,1993-94,DHS,,,,,
BGD,Dhaka before 2015,1734664,Stillbirths,59,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NSB,63236010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CMPNMRCNSB,BDDHS1994360005,1993-94,DHS,,,,,1
BGD,Khulna,1734635,Stillbirths,23,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NSB,63236010,I,360006,1360060,Region,Khulna,0,,0,1,CMPNMRCNSB,BDDHS1994360006,1993-94,DHS,,,,,1
BGD,Rajshahi/Rangpur,6399622,Stillbirths,47,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NSB,63236010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CMPNMRCNSB,BDDHS1994360007,1993-94,DHS,,,,,1
BGD,Barishal,1739732,Early neonatal deaths,13,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NEN,63236020,I,360001,1360010,Region,Barishal,0,,0,1,CMPNMRCNEN,BDDHS1994360001,1993-94,DHS,,,,,1
BGD,Chattogram/Sylhet,1722219,Early neonatal deaths,74,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NEN,63236020,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CMPNMRCNEN,BDDHS1994360002,1993-94,DHS,,,,,1
BGD,Chattogram,1734630,Early neonatal deaths,74,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NEN,63236020,I,360003,1360030,Region,..Chattogram,0,,0,1,CMPNMRCNEN,BDDHS1994360003,1993-94,DHS,,,,,
BGD,Dhaka before 2015,1734665,Early neonatal deaths,66,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NEN,63236020,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CMPNMRCNEN,BDDHS1994360005,1993-94,DHS,,,,,1
BGD,Khulna,1734636,Early neonatal deaths,21,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NEN,63236020,I,360006,1360060,Region,Khulna,0,,0,1,CMPNMRCNEN,BDDHS1994360006,1993-94,DHS,,,,,1
BGD,Rajshahi/Rangpur,6399623,Early neonatal deaths,58,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NEN,63236020,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CMPNMRCNEN,BDDHS1994360007,1993-94,DHS,,,,,1
BGD,Barishal,4582726,Perinatal mortality rate (5 years),54,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_PMR,63236030,I,360001,1360010,Region,Barishal,0,,0,1,CMPNMRCPMR,BDDHS1994360001,1993-94,DHS,473,776,,,1
BGD,Chattogram/Sylhet,7249242,Perinatal mortality rate (5 years),62,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_PMR,63236030,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CMPNMRCPMR,BDDHS1994360002,1993-94,DHS,2245,1769,,,1
BGD,Chattogram,276448,Perinatal mortality rate (5 years),62,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_PMR,63236030,I,360003,1360030,Region,..Chattogram,0,,0,1,CMPNMRCPMR,BDDHS1994360003,1993-94,DHS,2245,1769,,,
BGD,Dhaka before 2015,4938451,Perinatal mortality rate (5 years),56,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_PMR,63236030,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CMPNMRCPMR,BDDHS1994360005,1993-94,DHS,2225,2078,,,1
BGD,Khulna,3139534,Perinatal mortality rate (5 years),58,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_PMR,63236030,I,360006,1360060,Region,Khulna,0,,0,1,CMPNMRCPMR,BDDHS1994360006,1993-94,DHS,776,790,,,1
BGD,Rajshahi/Rangpur,6773681,Perinatal mortality rate (5 years),65,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_PMR,63236030,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CMPNMRCPMR,BDDHS1994360007,1993-94,DHS,1620,1820,,,1
BGD,Barishal,4629405,Number of pregnancies of 7+ months duration,473,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NUM,63236040,D,360001,1360010,Region,Barishal,0,,0,1,CMPNMRCNUM,BDDHS1994360001,1993-94,DHS,,776,,,1
BGD,Chattogram/Sylhet,7247155,Number of pregnancies of 7+ months duration,2245,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NUM,63236040,D,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CMPNMRCNUM,BDDHS1994360002,1993-94,DHS,,1769,,,1
BGD,Chattogram,1734648,Number of pregnancies of 7+ months duration,2245,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NUM,63236040,D,360003,1360030,Region,..Chattogram,0,,0,1,CMPNMRCNUM,BDDHS1994360003,1993-94,DHS,,1769,,,
BGD,Dhaka before 2015,4996644,Number of pregnancies of 7+ months duration,2225,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NUM,63236040,D,360005,1360050,Region,Dhaka before 2015,0,,0,1,CMPNMRCNUM,BDDHS1994360005,1993-94,DHS,,2078,,,1
BGD,Khulna,1734638,Number of pregnancies of 7+ months duration,776,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NUM,63236040,D,360006,1360060,Region,Khulna,0,,0,1,CMPNMRCNUM,BDDHS1994360006,1993-94,DHS,,790,,,1
BGD,Rajshahi/Rangpur,6831262,Number of pregnancies of 7+ months duration,1620,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_NUM,63236040,D,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CMPNMRCNUM,BDDHS1994360007,1993-94,DHS,,1820,,,1
BGD,Barishal,2988875,Number of pregnancies of 7+ months duration (unweighted),776,0,BD,Bangladesh,1994,BD1994DHS,CM_PNMR_C_UNW,63236050,U,360001,1360010,Region,Barishal,0,,0,1,CMPNMRCUNW,BDDHS1994360001,1993-94,DHS,473,,,,1
