ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,7335334,Number of women,1002,0,BD,Bangladesh,2011,BD2011DHS,HA_ANSS_W_NUM,135333040,D,360001,1360010,Region,Barishal,0,,0,1,HAANSSWNUM,BDDHS2011360001,2011,DHS,,1002,,,1
BGD,Chattogram/Sylhet,1634183,Number of women,4189,0,BD,Bangladesh,2011,BD2011DHS,HA_ANSS_W_NUM,135333040,D,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,HAANSSWNUM,BDDHS2011360002,2011,DHS,,4189,,,
BGD,Chattogram,5614599,Number of women,3222,0,BD,Bangladesh,2011,BD2011DHS,HA_ANSS_W_NUM,135333040,D,360003,1360030,Region,..Chattogram,0,,0,1,HAANSSWNUM,BDDHS2011360003,2011,DHS,,3222,,,1
BGD,Sylhet,1634197,Number of women,967,0,BD,Bangladesh,2011,BD2011DHS,HA_ANSS_W_NUM,135333040,D,360004,1360040,Region,..Sylhet,0,,0,1,HAANSSWNUM,BDDHS2011360004,2011,DHS,,967,,,1
BGD,Dhaka before 2015,1657499,Number of women,5736,0,BD,Bangladesh,2011,BD2011DHS,HA_ANSS_W_NUM,135333040,D,360005,1360050,Region,Dhaka before 2015,0,,0,1,HAANSSWNUM,BDDHS2011360005,2011,DHS,,5736,,,1
BGD,Khulna,5719373,Number of women,2139,0,BD,Bangladesh,2011,BD2011DHS,HA_ANSS_W_NUM,135333040,D,360006,1360060,Region,Khulna,0,,0,1,HAANSSWNUM,BDDHS2011360006,2011,DHS,,2139,,,1
BGD,Rajshahi/Rangpur,6548783,Number of women,4684,0,BD,Bangladesh,2011,BD2011DHS,HA_ANSS_W_NUM,135333040,D,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,HAANSSWNUM,BDDHS2011360007,2011,DHS,,4684,,,
BGD,Rangpur,4913890,Number of women,2039,0,BD,Bangladesh,2011,BD2011DHS,HA_ANSS_W_NUM,135333040,D,360008,1360080,Region,..Rangpur,0,,0,1,HAANSSWNUM,BDDHS2011360008,2011,DHS,,2039,,,1
BGD,Rajshahi,1642508,Number of women,2646,0,BD,Bangladesh,2011,BD2011DHS,HA_ANSS_W_NUM,135333040,D,360009,1360090,Region,..Rajshahi,0,,0,1,HAANSSWNUM,BDDHS2011360009,2011,DHS,,2646,,,1
BGD,Barishal,840779,Number of women (unweighted),2050,0,BD,Bangladesh,2011,BD2011DHS,HA_ANSS_W_UNW,135333050,U,360001,1360010,Region,Barishal,0,,0,1,HAANSSWUNW,BDDHS2011360001,2011,DHS,1002,,,,1
