Entity,Code,Year,Women,Men
Bangladesh,BGD,1950,37.15,37.622
Bangladesh,BGD,1951,37.786,38.427
Bangladesh,BGD,1952,38.417,39.209
Bangladesh,BGD,1953,38.95,39.876
Bangladesh,BGD,1954,39.808,40.871
Bangladesh,BGD,1955,40.448,41.62
Bangladesh,BGD,1956,40.943,42.2
Bangladesh,BGD,1957,41.865,43.22
Bangladesh,BGD,1958,42.343,43.76
Bangladesh,BGD,1959,42.951,44.417
Bangladesh,BGD,1960,43.178,44.718
Bangladesh,BGD,1961,44.016,45.693
Bangladesh,BGD,1962,44.926,46.539
Bangladesh,BGD,1963,44.767,46.608
Bangladesh,BGD,1964,45.876,47.562
Bangladesh,BGD,1965,44.945,47.077
Bangladesh,BGD,1966,46.715,48.504
Bangladesh,BGD,1967,47.106,48.955
Bangladesh,BGD,1968,47.405,49.323
Bangladesh,BGD,1969,47.654,49.645
Bangladesh,BGD,1970,40.709,44.6
Bangladesh,BGD,1971,32.715,22.803
Bangladesh,BGD,1972,48.58,50.656
Bangladesh,BGD,1973,48.844,50.924
Bangladesh,BGD,1974,48.6,50.517
Bangladesh,BGD,1975,49.581,51.609
Bangladesh,BGD,1976,49.913,51.926
Bangladesh,BGD,1977,50.241,52.228
Bangladesh,BGD,1978,50.594,52.539
Bangladesh,BGD,1979,50.992,52.867
Bangladesh,BGD,1980,51.365,53.134
Bangladesh,BGD,1981,51.782,53.437
Bangladesh,BGD,1982,52.236,53.727
Bangladesh,BGD,1983,52.762,54.058
Bangladesh,BGD,1984,53.263,54.328
Bangladesh,BGD,1985,53.437,54.381
Bangladesh,BGD,1986,54.238,54.898
Bangladesh,BGD,1987,54.608,55.152
Bangladesh,BGD,1988,54.913,55.406
Bangladesh,BGD,1989,55.259,55.743
Bangladesh,BGD,1990,55.574,56.05
Bangladesh,BGD,1991,53.102,54.431
Bangladesh,BGD,1992,56.404,56.77
Bangladesh,BGD,1993,56.959,57.185
Bangladesh,BGD,1994,57.633,57.655
Bangladesh,BGD,1995,58.362,58.146
Bangladesh,BGD,1996,59.194,58.719
Bangladesh,BGD,1997,60.064,59.326
Bangladesh,BGD,1998,60.954,59.963
Bangladesh,BGD,1999,61.893,60.67
Bangladesh,BGD,2000,62.813,61.377
Bangladesh,BGD,2001,63.703,62.077
Bangladesh,BGD,2002,64.548,62.753
Bangladesh,BGD,2003,65.321,63.378
Bangladesh,BGD,2004,66.01,63.94
Bangladesh,BGD,2005,66.668,64.476
Bangladesh,BGD,2006,67.273,64.951
Bangladesh,BGD,2007,67.743,65.305
Bangladesh,BGD,2008,68.451,65.789
Bangladesh,BGD,2009,69.058,66.161
Bangladesh,BGD,2010,69.687,66.521
Bangladesh,BGD,2011,70.323,66.891
Bangladesh,BGD,2012,70.944,67.275
Bangladesh,BGD,2013,71.538,67.684
Bangladesh,BGD,2014,72.095,68.167
Bangladesh,BGD,2015,72.597,68.682
Bangladesh,BGD,2016,73.066,69.233
Bangladesh,BGD,2017,73.51,69.803
Bangladesh,BGD,2018,73.953,70.379
Bangladesh,BGD,2019,74.399,70.933
Bangladesh,BGD,2020,73.428,69.584
Bangladesh,BGD,2021,72.847,69.484
Bangladesh,BGD,2022,76.051,72.566
Bangladesh,BGD,2023,76.373,73.032
