ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,649904,Women with secondary or higher education,37,1,BD,Bangladesh,2007,BD2007DHS,ED_LITR_W_SCH,231233010,I,360001,1360010,Region,Barishal,0,,0,1,EDLITRWSCH,BDDHS2007360001,2007,DHS,662,1438,,,1
BGD,Chattogram/Sylhet,4346262,Women with secondary or higher education,35.8,1,BD,Bangladesh,2007,BD2007DHS,ED_LITR_W_SCH,231233010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,EDLITRWSCH,BDDHS2007360002,2007,DHS,2730,3427,,,
BGD,Chattogram,5867052,Women with secondary or higher education,39.4,1,BD,Bangladesh,2007,BD2007DHS,ED_LITR_W_SCH,231233010,I,360003,1360030,Region,..Chattogram,0,,0,1,EDLITRWSCH,BDDHS2007360003,2007,DHS,2023,1943,,,1
BGD,Sylhet,7872117,Women with secondary or higher education,25.3,1,BD,Bangladesh,2007,BD2007DHS,ED_LITR_W_SCH,231233010,I,360004,1360040,Region,..Sylhet,0,,0,1,EDLITRWSCH,BDDHS2007360004,2007,DHS,707,1484,,,1
BGD,Dhaka before 2015,110966,Women with secondary or higher education,35.5,1,BD,Bangladesh,2007,BD2007DHS,ED_LITR_W_SCH,231233010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,EDLITRWSCH,BDDHS2007360005,2007,DHS,3431,2340,,,1
BGD,Khulna,1851878,Women with secondary or higher education,39.5,1,BD,Bangladesh,2007,BD2007DHS,ED_LITR_W_SCH,231233010,I,360006,1360060,Region,Khulna,0,,0,1,EDLITRWSCH,BDDHS2007360006,2007,DHS,1396,1711,,,1
BGD,Rajshahi/Rangpur,5271050,Women with secondary or higher education,35.9,1,BD,Bangladesh,2007,BD2007DHS,ED_LITR_W_SCH,231233010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,EDLITRWSCH,BDDHS2007360007,2007,DHS,2776,2080,,,1
BGD,Barishal,649905,Women who can read a whole sentence,18.1,1,BD,Bangladesh,2007,BD2007DHS,ED_LITR_W_RDW,231233020,I,360001,1360010,Region,Barishal,0,,0,1,EDLITRWRDW,BDDHS2007360001,2007,DHS,662,1438,,,1
BGD,Chattogram/Sylhet,4346266,Women who can read a whole sentence,12.2,1,BD,Bangladesh,2007,BD2007DHS,ED_LITR_W_RDW,231233020,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,EDLITRWRDW,BDDHS2007360002,2007,DHS,2730,3427,,,
BGD,Chattogram,5867053,Women who can read a whole sentence,10.8,1,BD,Bangladesh,2007,BD2007DHS,ED_LITR_W_RDW,231233020,I,360003,1360030,Region,..Chattogram,0,,0,1,EDLITRWRDW,BDDHS2007360003,2007,DHS,2023,1943,,,1
