Entity,Code,Year,Maternal mortality ratio,World region according to OWID
Bangladesh,BGD,1985,907.4655,Asia
Bangladesh,BGD,1986,902.7148,Asia
Bangladesh,BGD,1987,866.45715,Asia
Bangladesh,BGD,1988,918.8639,Asia
Bangladesh,BGD,1989,948.4412,Asia
Bangladesh,BGD,1990,906.45355,Asia
Bangladesh,BGD,1991,911.2366,Asia
Bangladesh,BGD,1992,808.58545,Asia
Bangladesh,BGD,1993,795.9371,Asia
Bangladesh,BGD,1994,771.378,Asia
Bangladesh,BGD,1995,758.2308,Asia
Bangladesh,BGD,1996,767.6459,Asia
Bangladesh,BGD,1997,625.1093,Asia
Bangladesh,BGD,1998,521.82587,Asia
Bangladesh,BGD,1999,453.9892,Asia
Bangladesh,BGD,2000,441.184,Asia
Bangladesh,BGD,2001,436.92264,Asia
Bangladesh,BGD,2002,413.68115,Asia
Bangladesh,BGD,2003,403.53748,Asia
Bangladesh,BGD,2004,371.6946,Asia
Bangladesh,BGD,2005,375.86404,Asia
Bangladesh,BGD,2006,352.53012,Asia
Bangladesh,BGD,2007,376.97464,Asia
Bangladesh,BGD,2008,367.95358,Asia
Bangladesh,BGD,2009,337.88373,Asia
Bangladesh,BGD,2010,300.81277,Asia
Bangladesh,BGD,2011,301.29218,Asia
Bangladesh,BGD,2012,236.69736,Asia
Bangladesh,BGD,2013,218.67691,Asia
Bangladesh,BGD,2014,219.02826,Asia
Bangladesh,BGD,2015,211.62268,Asia
Bangladesh,BGD,2016,196.14534,Asia
Bangladesh,BGD,2017,183.39702,Asia
Bangladesh,BGD,2018,172.13548,Asia
Bangladesh,BGD,2019,157.16107,Asia
Bangladesh,BGD,2020,123.028244,Asia
India,IND,1985,646.8798,Asia
India,IND,1986,614.2273,Asia
India,IND,1987,568.4874,Asia
India,IND,1988,547.1035,Asia
India,IND,1989,536.0233,Asia
India,IND,1990,498.04086,Asia
India,IND,1991,486.91403,Asia
India,IND,1992,482.33136,Asia
India,IND,1993,481.89944,Asia
India,IND,1994,444.02795,Asia
India,IND,1995,439.93512,Asia
India,IND,1996,439.49313,Asia
India,IND,1997,436.3723,Asia
India,IND,1998,403.52618,Asia
India,IND,1999,398.99048,Asia
India,IND,2000,384.44766,Asia
India,IND,2001,371.2746,Asia
India,IND,2002,329.44482,Asia
India,IND,2003,315.37613,Asia
India,IND,2004,301.25327,Asia
India,IND,2005,285.7306,Asia
India,IND,2006,248.1678,Asia
India,IND,2007,233.98418,Asia
India,IND,2008,220.52026,Asia
India,IND,2009,207.09816,Asia
India,IND,2010,178.68156,Asia
India,IND,2011,169.90392,Asia
India,IND,2012,161.75648,Asia
India,IND,2013,154.24477,Asia
India,IND,2014,134.85806,Asia
India,IND,2015,127.67558,Asia
India,IND,2016,121.169075,Asia
India,IND,2017,118.66109,Asia
India,IND,2018,115.7112,Asia
India,IND,2019,116.38938,Asia
India,IND,2020,102.653915,Asia
Myanmar,MMR,1985,572.4983,Asia
Myanmar,MMR,1986,572.4841,Asia
Myanmar,MMR,1987,559.9574,Asia
Myanmar,MMR,1988,546.883,Asia
Myanmar,MMR,1989,532.2144,Asia
Myanmar,MMR,1990,544.0909,Asia
Myanmar,MMR,1991,527.47784,Asia
Myanmar,MMR,1992,490.22076,Asia
Myanmar,MMR,1993,467.16876,Asia
Myanmar,MMR,1994,457.14047,Asia
Myanmar,MMR,1995,453.5296,Asia
Myanmar,MMR,1996,389.8533,Asia
Myanmar,MMR,1997,383.74826,Asia
Myanmar,MMR,1998,360.02734,Asia
Myanmar,MMR,1999,368.65106,Asia
Myanmar,MMR,2000,371.41534,Asia
Myanmar,MMR,2001,323.11154,Asia
Myanmar,MMR,2002,319.47034,Asia
Myanmar,MMR,2003,315.83017,Asia
Myanmar,MMR,2004,325.7543,Asia
Myanmar,MMR,2005,321.16553,Asia
Myanmar,MMR,2006,331.80118,Asia
Myanmar,MMR,2007,317.9523,Asia
Myanmar,MMR,2008,289.5297,Asia
Myanmar,MMR,2009,280.3373,Asia
Myanmar,MMR,2010,292.7042,Asia
Myanmar,MMR,2011,278.5581,Asia
Myanmar,MMR,2012,284.53702,Asia
Myanmar,MMR,2013,267.71646,Asia
Myanmar,MMR,2014,262.431,Asia
Myanmar,MMR,2015,242.86082,Asia
Myanmar,MMR,2016,241.7926,Asia
Myanmar,MMR,2017,237.84758,Asia
Myanmar,MMR,2018,214.53392,Asia
Myanmar,MMR,2019,212.97035,Asia
Myanmar,MMR,2020,178.67436,Asia
Nepal,NPL,1985,1171.4905,Asia
Nepal,NPL,1986,1145.172,Asia
Nepal,NPL,1987,1088.1382,Asia
Nepal,NPL,1988,1063.7278,Asia
Nepal,NPL,1989,995.1741,Asia
Nepal,NPL,1990,961.23145,Asia
Nepal,NPL,1991,855.7299,Asia
Nepal,NPL,1992,812.86755,Asia
Nepal,NPL,1993,736.39154,Asia
Nepal,NPL,1994,703.46094,Asia
Nepal,NPL,1995,680.8059,Asia
Nepal,NPL,1996,628.12476,Asia
Nepal,NPL,1997,583.32477,Asia
Nepal,NPL,1998,543.05707,Asia
Nepal,NPL,1999,538.4902,Asia
Nepal,NPL,2000,503.98138,Asia
Nepal,NPL,2001,484.11963,Asia
Nepal,NPL,2002,465.74948,Asia
Nepal,NPL,2003,437.71216,Asia
Nepal,NPL,2004,391.70654,Asia
Nepal,NPL,2005,380.3898,Asia
Nepal,NPL,2006,357.87592,Asia
Nepal,NPL,2007,354.5907,Asia
Nepal,NPL,2008,343.52542,Asia
Nepal,NPL,2009,338.38107,Asia
Nepal,NPL,2010,349.205,Asia
Nepal,NPL,2011,294.896,Asia
Nepal,NPL,2012,287.71817,Asia
Nepal,NPL,2013,260.78555,Asia
Nepal,NPL,2014,253.1996,Asia
Nepal,NPL,2015,251.80217,Asia
Nepal,NPL,2016,223.83994,Asia
Nepal,NPL,2017,223.17316,Asia
Nepal,NPL,2018,201.15369,Asia
Nepal,NPL,2019,182.3197,Asia
Nepal,NPL,2020,174.41017,Asia
