ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,1816513,Age specific fertility rate: 10-14,9,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A10,11763005,I,360001,1360010,Region,Barishal,0,,0,1,FEFRTRWA10,BDDHS1994360001,1993-94,DHS,,,,,1
BGD,Chattogram/Sylhet,1803474,Age specific fertility rate: 10-14,3,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A10,11763005,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,FEFRTRWA10,BDDHS1994360002,1993-94,DHS,,,,,1
BGD,Chattogram,1810075,Age specific fertility rate: 10-14,3,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A10,11763005,I,360003,1360030,Region,..Chattogram,0,,0,1,FEFRTRWA10,BDDHS1994360003,1993-94,DHS,,,,,
BGD,Dhaka before 2015,1810055,Age specific fertility rate: 10-14,13,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A10,11763005,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,FEFRTRWA10,BDDHS1994360005,1993-94,DHS,,,,,1
BGD,Khulna,1810116,Age specific fertility rate: 10-14,3,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A10,11763005,I,360006,1360060,Region,Khulna,0,,0,1,FEFRTRWA10,BDDHS1994360006,1993-94,DHS,,,,,1
BGD,Rajshahi/Rangpur,6399868,Age specific fertility rate: 10-14,15,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A10,11763005,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,FEFRTRWA10,BDDHS1994360007,1993-94,DHS,,,,,1
BGD,Barishal,1816514,Age specific fertility rate: 15-19,153,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A15,11763010,I,360001,1360010,Region,Barishal,0,,0,1,FEFRTRWA15,BDDHS1994360001,1993-94,DHS,,,,,1
BGD,Chattogram/Sylhet,1803475,Age specific fertility rate: 15-19,106,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A15,11763010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,FEFRTRWA15,BDDHS1994360002,1993-94,DHS,,,,,1
BGD,Chattogram,1810076,Age specific fertility rate: 15-19,106,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A15,11763010,I,360003,1360030,Region,..Chattogram,0,,0,1,FEFRTRWA15,BDDHS1994360003,1993-94,DHS,,,,,
BGD,Dhaka before 2015,1810056,Age specific fertility rate: 15-19,145,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A15,11763010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,FEFRTRWA15,BDDHS1994360005,1993-94,DHS,,,,,1
BGD,Khulna,1810117,Age specific fertility rate: 15-19,156,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A15,11763010,I,360006,1360060,Region,Khulna,0,,0,1,FEFRTRWA15,BDDHS1994360006,1993-94,DHS,,,,,1
BGD,Rajshahi/Rangpur,6399869,Age specific fertility rate: 15-19,162,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A15,11763010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,FEFRTRWA15,BDDHS1994360007,1993-94,DHS,,,,,1
BGD,Barishal,1565682,Demand for family planning satisfied by modern methods,54.9,1,BD,Bangladesh,1994,BD1994DHS,FP_NADM_W_PDM,32933150,I,360001,1360010,Region,Barishal,0,,0,1,FPNADMWPDM,BDDHS1994360001,1993-94,DHS,389,647,,,1
BGD,Chattogram/Sylhet,4930755,Demand for family planning satisfied by modern methods,39.7,1,BD,Bangladesh,1994,BD1994DHS,FP_NADM_W_PDM,32933150,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,FPNADMWPDM,BDDHS1994360002,1993-94,DHS,1376,1099,,,1
BGD,Chattogram,3256181,Demand for family planning satisfied by modern methods,39.7,1,BD,Bangladesh,1994,BD1994DHS,FP_NADM_W_PDM,32933150,I,360003,1360030,Region,..Chattogram,0,,0,1,FPNADMWPDM,BDDHS1994360003,1993-94,DHS,1376,1099,,,
BGD,Dhaka before 2015,6123057,Demand for family planning satisfied by modern methods,56.4,1,BD,Bangladesh,1994,BD1994DHS,FP_NADM_W_PDM,32933150,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,FPNADMWPDM,BDDHS1994360005,1993-94,DHS,1764,1652,,,1
BGD,Khulna,4056592,Demand for family planning satisfied by modern methods,60.4,1,BD,Bangladesh,1994,BD1994DHS,FP_NADM_W_PDM,32933150,I,360006,1360060,Region,Khulna,0,,0,1,FPNADMWPDM,BDDHS1994360006,1993-94,DHS,810,833,,,1
BGD,Rajshahi/Rangpur,7031735,Demand for family planning satisfied by modern methods,64.4,1,BD,Bangladesh,1994,BD1994DHS,FP_NADM_W_PDM,32933150,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,FPNADMWPDM,BDDHS1994360007,1993-94,DHS,1541,1724,,,1
BGD,Barishal,7515286,Neonatal mortality rate,63,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360001,1993-94,DHS,,,50,77,1
BGD,Chattogram/Sylhet,7610611,Neonatal mortality rate,65,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360002,1993-94,DHS,,,56,75,1
BGD,Chattogram,872791,Neonatal mortality rate,65,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360003,1993-94,DHS,,,56,75,
BGD,Dhaka before 2015,7766996,Neonatal mortality rate,62,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360005,1993-94,DHS,,,54,71,1
BGD,Khulna,7560853,Neonatal mortality rate,59,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360006,1993-94,DHS,,,47,71,1
BGD,Rajshahi/Rangpur,7650127,Neonatal mortality rate,65,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360007,1993-94,DHS,,,55,75,1
