ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,4952730,Children who started breastfeeding within 1 hour of birth,8.7,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_1HR,104266020,I,360001,1360010,Region,Barishal,0,,0,1,CNBRFIC1HR,BDDHS1994360001,1993-94,DHS,166,270,,,1
BGD,Chattogram/Sylhet,6739480,Children who started breastfeeding within 1 hour of birth,8.4,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_1HR,104266020,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNBRFIC1HR,BDDHS1994360002,1993-94,DHS,784,621,,,1
BGD,Chattogram,6433403,Children who started breastfeeding within 1 hour of birth,8.4,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_1HR,104266020,I,360003,1360030,Region,..Chattogram,0,,0,1,CNBRFIC1HR,BDDHS1994360003,1993-94,DHS,784,621,,,
BGD,Dhaka before 2015,3858398,Children who started breastfeeding within 1 hour of birth,9,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_1HR,104266020,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNBRFIC1HR,BDDHS1994360005,1993-94,DHS,774,724,,,1
BGD,Khulna,5265310,Children who started breastfeeding within 1 hour of birth,9.3,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_1HR,104266020,I,360006,1360060,Region,Khulna,0,,0,1,CNBRFIC1HR,BDDHS1994360006,1993-94,DHS,260,265,,,1
BGD,Rajshahi/Rangpur,1389545,Children who started breastfeeding within 1 hour of birth,7.3,1,BD,Bangladesh,1994,BD1994DHS,CN_BRFI_C_1HR,104266020,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNBRFIC1HR,BDDHS1994360007,1993-94,DHS,514,577,,,1
BGD,Barishal,5998970,Children stunted,67,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_HA2,104236020,I,360001,1360010,Region,Barishal,0,,0,1,CNNUTSCHA2,BDDHS1997360001,1996-97,DHS,311,487,,,1
BGD,Chattogram/Sylhet,7114750,Children stunted,61,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_HA2,104236020,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNNUTSCHA2,BDDHS1997360002,1996-97,DHS,1470,1385,,,
BGD,Chattogram,1404956,Children stunted,59.9,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_HA2,104236020,I,360003,1360030,Region,..Chattogram,0,,0,1,CNNUTSCHA2,BDDHS1997360003,1996-97,DHS,1170,852,,,1
BGD,Sylhet,5007404,Children stunted,65.3,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_HA2,104236020,I,360004,1360040,Region,..Sylhet,0,,0,1,CNNUTSCHA2,BDDHS1997360004,1996-97,DHS,300,533,,,1
BGD,Dhaka before 2015,44994,Children stunted,60.8,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_HA2,104236020,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNNUTSCHA2,BDDHS1997360005,1996-97,DHS,1482,1297,,,1
BGD,Khulna,7351880,Children stunted,53.7,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_HA2,104236020,I,360006,1360060,Region,Khulna,0,,0,1,CNNUTSCHA2,BDDHS1997360006,1996-97,DHS,477,464,,,1
BGD,Rajshahi/Rangpur,4159602,Children stunted,58.5,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_HA2,104236020,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNNUTSCHA2,BDDHS1997360007,1996-97,DHS,1008,1059,,,1
BGD,Barishal,3093513,Children wasted,16.8,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WH2,104236050,I,360001,1360010,Region,Barishal,0,,0,1,CNNUTSCWH2,BDDHS1997360001,1996-97,DHS,311,487,,,1
BGD,Chattogram/Sylhet,7214452,Children wasted,24.2,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WH2,104236050,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNNUTSCWH2,BDDHS1997360002,1996-97,DHS,1470,1385,,,
BGD,Chattogram,5460623,Children wasted,24.7,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WH2,104236050,I,360003,1360030,Region,..Chattogram,0,,0,1,CNNUTSCWH2,BDDHS1997360003,1996-97,DHS,1170,852,,,1
BGD,Sylhet,2694253,Children wasted,22.4,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WH2,104236050,I,360004,1360040,Region,..Sylhet,0,,0,1,CNNUTSCWH2,BDDHS1997360004,1996-97,DHS,300,533,,,1
BGD,Dhaka before 2015,2612874,Children wasted,18.3,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WH2,104236050,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNNUTSCWH2,BDDHS1997360005,1996-97,DHS,1482,1297,,,1
BGD,Khulna,3015281,Children wasted,20.9,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WH2,104236050,I,360006,1360060,Region,Khulna,0,,0,1,CNNUTSCWH2,BDDHS1997360006,1996-97,DHS,477,464,,,1
BGD,Rajshahi/Rangpur,6682899,Children wasted,19.8,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WH2,104236050,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNNUTSCWH2,BDDHS1997360007,1996-97,DHS,1008,1059,,,1
BGD,Barishal,3093514,Children overweight,2.7,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WHP,104236060,I,360001,1360010,Region,Barishal,0,,0,1,CNNUTSCWHP,BDDHS1997360001,1996-97,DHS,311,487,,,1
BGD,Chattogram/Sylhet,7214453,Children overweight,1.8,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WHP,104236060,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNNUTSCWHP,BDDHS1997360002,1996-97,DHS,1470,1385,,,
BGD,Chattogram,5460624,Children overweight,1.6,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WHP,104236060,I,360003,1360030,Region,..Chattogram,0,,0,1,CNNUTSCWHP,BDDHS1997360003,1996-97,DHS,1170,852,,,1
BGD,Sylhet,2694254,Children overweight,2.4,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WHP,104236060,I,360004,1360040,Region,..Sylhet,0,,0,1,CNNUTSCWHP,BDDHS1997360004,1996-97,DHS,300,533,,,1
BGD,Dhaka before 2015,2612875,Children overweight,1.5,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WHP,104236060,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNNUTSCWHP,BDDHS1997360005,1996-97,DHS,1482,1297,,,1
BGD,Khulna,3015282,Children overweight,2.6,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WHP,104236060,I,360006,1360060,Region,Khulna,0,,0,1,CNNUTSCWHP,BDDHS1997360006,1996-97,DHS,477,464,,,1
BGD,Rajshahi/Rangpur,6682900,Children overweight,1.5,1,BD,Bangladesh,1997,BD1997DHS,CN_NUTS_C_WHP,104236060,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNNUTSCWHP,BDDHS1997360007,1996-97,DHS,1008,1059,,,1
BGD,Barishal,1389601,Children who started breastfeeding within 1 hour of birth,13.6,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360001,1360010,Region,Barishal,0,,0,1,CNBRFIC1HR,BDDHS1997360001,1996-97,DHS,156,243,,,1
BGD,Chattogram/Sylhet,5205525,Children who started breastfeeding within 1 hour of birth,18.8,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNBRFIC1HR,BDDHS1997360002,1996-97,DHS,770,732,,,
BGD,Chattogram,3797998,Children who started breastfeeding within 1 hour of birth,15.7,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360003,1360030,Region,..Chattogram,0,,0,1,CNBRFIC1HR,BDDHS1997360003,1996-97,DHS,605,440,,,1
BGD,Sylhet,1404962,Children who started breastfeeding within 1 hour of birth,30.3,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360004,1360040,Region,..Sylhet,0,,0,1,CNBRFIC1HR,BDDHS1997360004,1996-97,DHS,165,292,,,1
BGD,Dhaka before 2015,6507496,Children who started breastfeeding within 1 hour of birth,21.7,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNBRFIC1HR,BDDHS1997360005,1996-97,DHS,685,599,,,1
BGD,Khulna,4803828,Children who started breastfeeding within 1 hour of birth,15.2,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360006,1360060,Region,Khulna,0,,0,1,CNBRFIC1HR,BDDHS1997360006,1996-97,DHS,227,218,,,1
BGD,Rajshahi/Rangpur,4523863,Children who started breastfeeding within 1 hour of birth,19.4,1,BD,Bangladesh,1997,BD1997DHS,CN_BRFI_C_1HR,104266020,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNBRFIC1HR,BDDHS1997360007,1996-97,DHS,501,528,,,1
BGD,Barishal,1389628,Women who are thin according to BMI (<18.5),52.6,1,BD,Bangladesh,1997,BD1997DHS,AN_NUTS_W_THN,114563060,I,360001,1360010,Region,Barishal,0,,0,1,ANNUTSWTHN,BDDHS1997360001,1996-97,DHS,263,415,,,1
BGD,Chattogram/Sylhet,5395993,Women who are thin according to BMI (<18.5),53.6,1,BD,Bangladesh,1997,BD1997DHS,AN_NUTS_W_THN,114563060,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,ANNUTSWTHN,BDDHS1997360002,1996-97,DHS,1092,1040,,,
BGD,Chattogram,5678009,Women who are thin according to BMI (<18.5),52,1,BD,Bangladesh,1997,BD1997DHS,AN_NUTS_W_THN,114563060,I,360003,1360030,Region,..Chattogram,0,,0,1,ANNUTSWTHN,BDDHS1997360003,1996-97,DHS,867,636,,,1
