Entity,Code,Year,Under-fifteen mortality rate
Bangladesh,BGD,1965,27.945822
Bangladesh,BGD,1966,27.72566
Bangladesh,BGD,1967,27.609356
Bangladesh,BGD,1968,27.5644
Bangladesh,BGD,1969,27.56649
Bangladesh,BGD,1970,31.682695
Bangladesh,BGD,1971,40.59424
Bangladesh,BGD,1972,27.408327
Bangladesh,BGD,1973,27.183826
Bangladesh,BGD,1974,26.823345
Bangladesh,BGD,1975,26.337921
Bangladesh,BGD,1976,25.76042
Bangladesh,BGD,1977,25.11986
Bangladesh,BGD,1978,24.43443
Bangladesh,BGD,1979,23.74758
Bangladesh,BGD,1980,23.086859
Bangladesh,BGD,1981,22.472229
Bangladesh,BGD,1982,21.887512
Bangladesh,BGD,1983,21.3182
Bangladesh,BGD,1984,20.749517
Bangladesh,BGD,1985,20.156279
Bangladesh,BGD,1986,19.529963
Bangladesh,BGD,1987,18.85829
Bangladesh,BGD,1988,18.159225
Bangladesh,BGD,1989,17.443857
Bangladesh,BGD,1990,16.674767
Bangladesh,BGD,1991,17.172611
Bangladesh,BGD,1992,15.302118
Bangladesh,BGD,1993,14.6282425
Bangladesh,BGD,1994,13.965445
Bangladesh,BGD,1995,13.29821
Bangladesh,BGD,1996,12.610241
Bangladesh,BGD,1997,11.863522
Bangladesh,BGD,1998,11.051503
Bangladesh,BGD,1999,10.253816
Bangladesh,BGD,2000,9.539116
Bangladesh,BGD,2001,8.932277
Bangladesh,BGD,2002,8.426275
Bangladesh,BGD,2003,8.006049
Bangladesh,BGD,2004,7.6535583
Bangladesh,BGD,2005,7.3322115
Bangladesh,BGD,2006,7.0219946
Bangladesh,BGD,2007,6.7049737
Bangladesh,BGD,2008,6.376956
Bangladesh,BGD,2009,6.0508194
Bangladesh,BGD,2010,5.74009
Bangladesh,BGD,2011,5.4522753
Bangladesh,BGD,2012,5.181075
Bangladesh,BGD,2013,4.9244537
Bangladesh,BGD,2014,4.680113
Bangladesh,BGD,2015,4.453013
Bangladesh,BGD,2016,4.245172
Bangladesh,BGD,2017,4.0585527
Bangladesh,BGD,2018,3.892146
Bangladesh,BGD,2019,3.751433
Bangladesh,BGD,2020,3.6453128
Bangladesh,BGD,2021,3.5697532
Bangladesh,BGD,2022,3.5239832
Bangladesh,BGD,2023,3.4982839
India,IND,1968,25.09329
India,IND,1969,24.769693
India,IND,1970,24.435026
India,IND,1971,24.077293
India,IND,1972,23.689241
India,IND,1973,23.268698
India,IND,1974,22.800362
India,IND,1975,22.282667
India,IND,1976,21.72158
India,IND,1977,21.120386
India,IND,1978,20.4991
India,IND,1979,19.865269
India,IND,1980,19.256838
India,IND,1981,18.678993
India,IND,1982,18.133648
India,IND,1983,17.628819
India,IND,1984,17.160484
India,IND,1985,16.706236
India,IND,1986,16.248627
India,IND,1987,15.795135
India,IND,1988,15.341834
India,IND,1989,14.897812
India,IND,1990,14.446746
India,IND,1991,14.039936
India,IND,1992,13.649652
India,IND,1993,13.267695
India,IND,1994,12.892341
India,IND,1995,12.508978
India,IND,1996,12.118288
India,IND,1997,11.721662
India,IND,1998,11.32
India,IND,1999,10.910387
India,IND,2000,10.502534
India,IND,2001,10.095932
India,IND,2002,9.698062
India,IND,2003,9.305535
India,IND,2004,8.921203
India,IND,2005,8.541583
India,IND,2006,8.164451
India,IND,2007,7.78597
India,IND,2008,7.409926
India,IND,2009,7.037684
India,IND,2010,6.668848
India,IND,2011,6.3033547
India,IND,2012,5.95114
India,IND,2013,5.6102176
India,IND,2014,5.2849565
India,IND,2015,4.974015
India,IND,2016,4.679464
India,IND,2017,4.399051
India,IND,2018,4.1365833
India,IND,2019,3.888803
India,IND,2020,3.6592062
India,IND,2021,3.455243
India,IND,2022,3.2789812
India,IND,2023,3.1257598
Myanmar,MMR,1990,14.044757
Myanmar,MMR,1991,13.7387
Myanmar,MMR,1992,13.429169
Myanmar,MMR,1993,13.1004
Myanmar,MMR,1994,12.776354
Myanmar,MMR,1995,12.436601
Myanmar,MMR,1996,12.105698
Myanmar,MMR,1997,11.772963
Myanmar,MMR,1998,11.442059
Myanmar,MMR,1999,11.115772
Myanmar,MMR,2000,10.796106
Myanmar,MMR,2001,10.479204
Myanmar,MMR,2002,10.152766
Myanmar,MMR,2003,9.818942
Myanmar,MMR,2004,9.480615
Myanmar,MMR,2005,9.121007
Myanmar,MMR,2006,8.75682
Myanmar,MMR,2007,8.378254
Myanmar,MMR,2008,14.162825
Myanmar,MMR,2009,7.6131277
Myanmar,MMR,2010,7.2383018
Myanmar,MMR,2011,6.8742504
Myanmar,MMR,2012,6.532461
Myanmar,MMR,2013,6.211012
Myanmar,MMR,2014,5.931441
Myanmar,MMR,2015,5.6753783
Myanmar,MMR,2016,5.452552
Myanmar,MMR,2017,5.249558
Myanmar,MMR,2018,5.050565
Myanmar,MMR,2019,4.8740935
Myanmar,MMR,2020,4.702903
Myanmar,MMR,2021,4.538555
Myanmar,MMR,2022,4.39044
Myanmar,MMR,2023,4.24828
Nepal,NPL,1965,36.14675
Nepal,NPL,1966,35.23788
Nepal,NPL,1967,34.30597
Nepal,NPL,1968,33.435947
Nepal,NPL,1969,32.584805
Nepal,NPL,1970,31.764227
Nepal,NPL,1971,30.990284
Nepal,NPL,1972,30.24066
Nepal,NPL,1973,29.50531
Nepal,NPL,1974,28.78731
Nepal,NPL,1975,28.06467
Nepal,NPL,1976,27.338583
Nepal,NPL,1977,26.60917
