ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,"Age (Youth, adults): 15+",2024,60024.553,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,"Age (Youth, adults): 15-64",2024,54817.657,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,"Age (Youth, adults): 15-24",2024,13716.715,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,"Age (Youth, adults): 25+",2024,46307.839,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Female,"Age (Youth, adults): 15+",2024,61645.255,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Female,"Age (Youth, adults): 15-64",2024,58132.779,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Female,"Age (Youth, adults): 15-24",2024,14496.814,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Female,"Age (Youth, adults): 25+",2024,47148.441,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Other,"Age (Youth, adults): 15+",2024,16.75,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Other,"Age (Youth, adults): 15-64",2024,16.253,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Other,"Age (Youth, adults): 15-24",2024,4.036,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
