ADM4_EN,ADM4_PCODE,ADM4_REF,ADM4ALT1_EN,ADM4ALT2_EN,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Abaipur,BD40448010,,,,Shailkupa,BD404480,Jhenaidah,BD4044,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,21.9722983792455
Abdullahpur,BD30599411,,,,Tongibari,BD305994,Munshiganj,BD3059,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,3.58025829642704
Abdullapur,BD10092513,,,,Char Fasson,BD100925,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,12.0520985638281
Abdullapur,BD20153311,,,,Fatikchhari,BD201533,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,1.95831234864291
Abdulpur,BD40507916,,,,Kushtia Sadar,BD405079,Kushtia,BD4050,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,25.2356683533468
Abdulpur,BD55273013,,,,Chirirbandar,BD552730,Dinajpur,BD5527,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,35.8382741804367
Abu Bakarpur,BD10092511,,,,Char Fasson,BD100925,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,19.4546620597253
Achargaon,BD45617213,,,,Nandail,BD456172,Mymensingh,BD4561,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,29.6708329827088
Achim Patuli,BD45612011,,,,Fulbaria,BD456120,Mymensingh,BD4561,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,34.3314827642074
Achintapur,BD45612315,,,,Gauripur,BD456123,Mymensingh,BD4561,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,30.335326115554
Achmita,BD30484513,,,,Katiadi,BD304845,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,20.9665068773603
Adabaria,BD10783810,,,,Bauphal,BD107838,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,25.9419243440124
Adabaria,BD40503911,,,,Daulatpur,BD405039,Kushtia,BD4050,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,29.3567555917515
Adair,BD60367116,,,,Madhabpur,BD603671,Habiganj,BD6036,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,14.0685782607145
Adam Dighi,BD50100613,,,,Adamdighi,BD501006,Bogra,BD5010,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,27.3911258141015
Adampur,BD30480211,,,,Austagram,BD304802,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,39.2861204656378
Adampur,BD60585617,,,,Kamalganj,BD605856,Maulvibazar,BD6058,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,106.346443571782
Adarbhita,BD45395811,,,,Madarganj,BD453958,Jamalpur,BD4539,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,29.9608921498039
Adda,BD20190911,,,,Barura,BD201909,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,17.460891683803
Adhaipur,BD50640610,,,,Badalgachhi,BD506406,Naogaon,BD5064,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,28.770088876419
Adhakha Nazrul Nagar,BD10092514,,,,Char Fasson,BD100925,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,39.0168345046033
Adhara,BD30595620,,,,Munshiganj Sadar,BD305956,Munshiganj,BD3059,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,33.7964403788281
Adhunagar,BD20154713,,,,Lohagara,BD201547,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,26.1576196759267
Adiabad,BD30686412,,,,Roypura,BD306864,Narsingdi,BD3068,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,11.0659573620782
Adra,BD20190912,,,,Barura,BD201909,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,16.2932766783906
Adra,BD20198711,,,,Nangalkot,BD201987,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,29.1176602763248
Adra,BD45396117,,,,Melandaha,BD453961,Jamalpur,BD4539,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,18.3690834490709
Adrabunia,BD10424331,,,,Kanthalia,BD104243,Jhalokati,BD1042,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,23.1030011763228
Adrarak Chara,BD20845813,,,,Langadu,BD208458,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,73.3518111593145
Aftabnagar,BD60908910,,,,Sunamganj Sadar,BD609089,Sunamganj,BD6090,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,24.5490296926903
Aganagar,BD20190918,,,,Barura,BD201909,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,15.7306954997538
Aganagar,BD30263811,,,,Keraniganj,BD302638,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,1.57115227108902
Aganagar,BD30481121,,,,Bhairab,BD304811,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,23.6581862013433
Agardari,BD40878213,,,,Satkhira Sadar,BD408782,Satkhira,BD4087,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,33.1677489589629
Agarpur,BD10060313,,,,Babuganj,BD100603,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,31.3250053981739
Agia,BD45728313,,,,Purbadhala,BD457283,Netrakona,BD4572,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,26.9336887642942
Agla,BD30266211,,,,Nawabganj,BD302662,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,14.7574252682411
