Country ISO3,Admin 1 PCode,Admin 1 Name,MPI,Headcount Ratio,Intensity of Deprivation,Vulnerable to Poverty,In Severe Poverty,Survey,Start Date,End Date
BGD,,,0.1452,30.5169,47.5798,26.9342,10.995,DHS,2014-01-01 00:00:00+00:00,2014-12-31 23:59:59+00:00
BGD,,,0.073,16.4453,44.384,24.1699,4.0289,MICS,2019-01-01 00:00:00+00:00,2019-12-31 23:59:59+00:00
BGD,,,0.0502,11.5148,43.6101,20.9697,2.6154,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
BGD,BD10,Barishal,0.1625,34.631,46.936,29.5528,11.2286,DHS,2014-01-01 00:00:00+00:00,2014-12-31 23:59:59+00:00
BGD,BD10,Barishal,0.0903,20.3736,44.3148,30.6542,5.2247,MICS,2019-01-01 00:00:00+00:00,2019-12-31 23:59:59+00:00
BGD,BD10,Barishal,0.0396,9.7449,40.6204,27.288,0.9847,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
BGD,BD20,Chattogram,0.1427,29.3942,48.5345,25.9732,12.4121,DHS,2014-01-01 00:00:00+00:00,2014-12-31 23:59:59+00:00
BGD,BD20,Chattogram,0.0869,18.9802,45.7967,23.1957,6.0161,MICS,2019-01-01 00:00:00+00:00,2019-12-31 23:59:59+00:00
BGD,BD20,Chattogram,0.0687,15.201,45.1721,21.2748,4.3794,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
BGD,BD30,Dhaka,0.1356,28.4905,47.5993,26.198,9.9671,DHS,2014-01-01 00:00:00+00:00,2014-12-31 23:59:59+00:00
BGD,BD30,Dhaka,0.0711,16.0552,44.2748,23.779,3.7074,MICS,2019-01-01 00:00:00+00:00,2019-12-31 23:59:59+00:00
BGD,BD30,Dhaka,0.0463,10.5501,43.8646,19.0763,2.3253,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
BGD,BD40,Khulna,0.0993,22.3963,44.3535,28.0506,5.5689,DHS,2014-01-01 00:00:00+00:00,2014-12-31 23:59:59+00:00
BGD,BD40,Khulna,0.0353,8.4681,41.67,21.3008,1.1628,MICS,2019-01-01 00:00:00+00:00,2019-12-31 23:59:59+00:00
BGD,BD40,Khulna,0.0298,6.9537,42.8381,18.3743,1.4202,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
BGD,BD50,Rajshahi,0.1347,29.1586,46.1957,26.8558,9.2935,DHS,2014-01-01 00:00:00+00:00,2014-12-31 23:59:59+00:00
BGD,BD50,Rajshahi,0.059,13.8106,42.7439,25.0941,2.3891,MICS,2019-01-01 00:00:00+00:00,2019-12-31 23:59:59+00:00
BGD,BD50,Rajshahi,0.0306,7.4738,40.9686,19.2046,0.9316,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
BGD,BD55,Rangpur,0.1398,31.2018,44.7958,31.0513,7.6559,DHS,2014-01-01 00:00:00+00:00,2014-12-31 23:59:59+00:00
BGD,BD55,Rangpur,0.0671,15.6934,42.7773,25.8322,2.5441,MICS,2019-01-01 00:00:00+00:00,2019-12-31 23:59:59+00:00
BGD,BD55,Rangpur,0.0491,11.6208,42.2274,25.1129,2.0285,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
BGD,BD60,Sylhet,0.2513,48.4747,51.8482,23.3418,24.8643,DHS,2014-01-01 00:00:00+00:00,2014-12-31 23:59:59+00:00
BGD,BD60,Sylhet,0.123,26.5318,46.3549,23.6705,8.8536,MICS,2019-01-01 00:00:00+00:00,2019-12-31 23:59:59+00:00
BGD,BD60,Sylhet,0.0988,22.1814,44.5429,23.8849,6.6287,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
