Consumer Price Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129
Base Year: 2005-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Descriptor,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-6,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
"Prices, Consumer Price Index, All items, Average, Index",173.198049477039,176.407635452483,179.440850098581,181.26,181.77,182.42,184.33,184.79,185.01,185.13,182.91,184.04,186.79,189.44,192.24,194.01,194.76,195.82,198.15,198.54,198.84,198.93,196.6,196.86,199.94,202.53,205.39,206.81,206.86,207.78,210.12,210.74,211.31,211.51,208.77,209.17,212.65,215.03,218.21,219.62,219.38,220.45,222.87,222.58,223.25,223.37,220.15,220.74,224.13,226.57,230.27,231.85,231.18,231.53,234.34,234.4,235.29,235.58,232.83,233.86,236.61,239.92,244.36,245.86,244.85,245.03,248.13,247.81,248.65,248.85,245.8,246.82,249.65,253.07,257.6,259.13,258,258.13,261.58,261.36,262.45,262.73,259.63,260.44,263.69,266.96,271.9,273.3,273.6,272.97,276.16,275.63,276.83,278.39,273.53,276.12,278.27,282.11,288.12,290.91,288.71,287.41,290.03,290.3,291.96,293.88,287.92,291.7,293.19,297.73,304.22,307.49,305.97,304.81,307.02,308.21,310.12,312.38,309.28,313.76,315.13,326.06,331.88,334.89,333.07,331.35,333.34,335.29,339.07
"Food, and non-alcoholic beverages, Average, Actual",183.971127148945,187.892117633247,191.679502491247,193.07,193.7,194.37,196.36,196.78,196.82,196.87,192.75,194.58,198.95,203.09,206.88,209.25,210.24,211.87,213.65,214.17,214.45,214.5,210.27,210.15,214.74,218.66,222.66,224.23,223.81,224.29,226.61,227.25,228.12,228.39,223.36,223.43,227.78,231.91,235.85,237.44,236.61,236.57,236.42,235.81,236.99,237.15,231.86,232.87,237.69,241.89,247.88,250.64,249.41,249.29,251.86,251.93,253.32,253.6,248.94,250.35,254.2,259.6,267.38,269.73,267.1,267.06,271.05,270.25,271.27,271.42,265.27,265.33,269.91,275.09,281.86,283.44,281.2,281.2,285.5,284.96,286.78,286.46,279.83,279.65,284.54,289.6,296.81,298.99,299.26,297.69,300.11,299.13,300.74,303.39,294.08,297.95,300.75,307.2,316.11,320.94,316.41,313.59,315.81,315.35,317.32,320.28,308.41,314.19,316.02,323.04,332.58,337.7,333.58,330.71,333.51,334.95,337.43,340.25,334.02,340.48,341.91,355.16,362.77,366.39,360.75,356.86,359.4,362.17,368.09
"NonFood, Average, Actual",159.386284065511,161.683804567283,163.750125409666,166.12,166.47,167.11,168.92,169.42,169.88,170.07,170.29,170.53,171.18,171.94,173.48,174.46,174.92,175.26,178.26,178.51,178.82,178.97,179.07,179.82,180.95,181.85,183.25,184.47,185.14,186.62,188.98,189.58,189.77,189.86,190.07,190.88,193.26,193.39,195.59,196.77,197.29,199.78,205.5,205.61,205.64,205.7,205.13,205.19,206.75,206.93,207.69,207.75,207.81,208.76,211.88,211.92,212.18,212.48,212.18,212.72,214.05,214.68,214.84,215.26,216.33,216.79,218.73,219.04,219.64,219.9,220.83,223.09,223.66,224.84,226.54,227.96,228.2,228.6,230.91,231.1,231.25,232.31,233.72,235.82,236.95,237.93,239.96,240.38,240.7,241.28,245.46,245.49,246.17,246.34,247.17,248.13,249.46,249.95,252.24,252.4,253.19,253.85,256.97,258.18,259.44,260.02,261.65,262.87,263.93,265.28,267.85,268.75,270.58,271.61,273.05,273.93,275.11,276.64,277.57,279.5,280.8,288.76,292.29,294.51,297.58,298.65,299.93,300.82,301.87
"Clothing and footwear, Average, Actual",167.459568566155,173.51292316767,175.751567197151,178.97,179.24,180.44,181.82,182.65,183.36,183.62,184.35,184.73,187.56,188.17,190.18,191.85,192.85,193.56,198.38,198.79,198.87,199.33,197.68,199.96,204.44,204.55,206.37,206.93,207.47,208.95,211.06,212.15,212.25,212.31,212.37,214.5,223.43,223.21,231.68,231.53,231.99,235.93,237.18,237.23,237.25,237.41,237.44,237.96,241.4,241.59,242.85,242.88,242.94,243.49,243.72,243.73,243.87,245.09,244.93,246.27,246.77,247.67,247.78,248.03,249.62,249.92,259.67,259.98,260.22,260.33,261.92,270.93,270.94,272.39,273.56,275.01,275.5,275.9,277.56,277.68,277.74,281.42,287.06,287.02,287.36,287.98,288.8,288.89,288.95,289.48,290.95,291,291.44,291.49,291.72,291.98,292.2,292.29,292.42,292.57,292.73,293.08,301.15,302.12,303.73,304.23,305.17,306,307.11,310.34,313.63,314.48,316.73,320.38,321.57,323.49,325.31,328.18,329.4,331.09,332.97,334.36,337.21,338.17,340.91,342.96,343.9,344.49,345.29
"Rent, water, fuel and power, Average, Actual",151.424337880987,151.652360914266,153.413025998871,154.7,154.91,155.08,157.07,157.39,157.72,157.93,157.95,158.13,158.29,159.04,159.52,160.52,160.94,161.1,166.53,166.62,166.88,167.01,167.12,168.08,168.68,170.03,170.43,170.73,170.94,171.48,172.95,173.12,173.18,173.23,173.25,173.53,173.74,174.06,175.28,175.45,175.84,177.8,190.58,190.59,190.6,190.61,189.19,189.26,190.22,190.26,190.62,190.65,190.68,190.87,196.92,196.93,197.51,197.55,197.61,198.27,199.5,199.1,199.16,199.21,199.41,199.98,200.65,200.69,200.75,200.86,201.61,202.06,202.11,202.59,203.56,204.49,204.77,205.26,209.66,209.72,209.77,209.84,210.16,211.79,214.54,214.85,215.08,215.96,216.26,216.33,224.99,225.06,225.93,226.04,226.3,227.07,227.57,227.6,227.99,228.09,228.62,228.84,229.98,229.35,229.5,229.44,225.9,226.63,227.12,228.06,230.62,231.64,232.46,232.71,233.53,233.65,234.17,234.65,235.01,235.48,235.87,247.15,248.08,248.79,249.07,249.09,250.94,252.28,253.4
"Furniture household and maintenance, Average, Actual",184.833566020199,187.536123347882,190.779811515149,194.43,195.18,196.65,196.98,198.21,199.32,199.69,199.99,200.38,200.8,201.93,204.93,205.24,205.67,206.32,207.4,208.03,208.36,207.34,208.73,208.88,208.43,209.27,210.46,211.88,212.29,214.04,215.49,216.77,217.79,218.02,219.1,219.78,221.85,222.31,223.02,223.94,225.03,229.04,230.67,230.81,230.86,230.97,230.92,231.02,232.95,233.62,234.01,234.23,234.31,236.54,237.24,237.29,237.41,237.81,237.09,237.67,241.75,244,244.12,247.01,249.66,250.06,250.87,251.08,253.21,254.08,254.88,255.39,255.79,257.76,262.51,265.5,265.68,265.97,266.24,266.35,266.57,267.59,267.89,275.14,275.53,276.33,280.53,280.64,281.39,283.57,285.35,284.83,285.51,285.79,285.8,286.78,288.73,291.54,293.11,293.35,295.29,295.74,297.45,299.53,302.63,305,306.46,308.95,310.07,311.9,316.69,316.85,317.92,318.7,320.51,322.05,323.51,325.93,328.4,331.02,331.6,336.03,341.28,344.34,349.61,353.11,354.21,355.04,355.94
"Medical care and health expenses, Average, Actual",156.103183916557,158.099442059323,159.325394231043,159.58,159.65,159.9,160.2,160.49,160.55,160.61,160.66,160.72,160.93,161.27,162.11,163.15,163.55,163.94,165.24,165.41,165.5,165.69,165.92,165.96,166.19,166.26,167.8,171.51,175.57,177.15,189.51,191.52,191.62,191.69,191.88,192.38,193.61,193.78,194.13,194.36,194.4,197.29,205.18,205.46,205.48,205.5,205.52,205.64,205.91,206.08,206.32,206.38,206.42,206.83,206.9,207,207.03,207.13,207.14,207.24,207.58,207.67,207.84,207.92,208.32,208.83,209.09,209.58,210.47,210.78,211.45,211.8,211.96,213.34,214.29,214.82,214.91,215.17,216.04,216.08,216.18,216.39,216.51,218.01,218.09,222.04,226.8,226.96,227.23,227.56,232.8,232.88,233.28,233.7,239.36,240.16,240.64,240.81,246.45,246.54,246.77,247.29,249.01,250.79,251.13,251.5,251.53,251.9,252.47,252.66,252.89,252.99,253.09,253.16,253.44,253.57,253.91,254.59,255.05,255.62,256.22,280.11,293.16,294.93,302.73,303.2,303.57,303.9,304.94
"Transport and Communications, Average, Actual",151.819274139644,154.497209749349,155.846518553589,158.39,158.57,159.35,161.6,161.86,162.16,162.34,162.67,162.95,163.24,163.93,166.02,166.28,166.77,167.15,167.78,168.11,168.52,169.19,169.62,169.82,171.26,173.31,177.58,179.58,180.36,183.9,185.11,185.54,185.75,185.88,186.1,186.97,190.8,191.19,193.62,200.08,201.28,205.19,206.22,206.31,206.34,206.44,205.8,205.88,207.41,207.56,209.32,209.42,209.51,211.61,212.14,212.19,212.27,212.51,212.58,212.8,215.24,216.38,216.44,216.59,217.68,217.89,218.22,219.29,219.94,220.47,221.55,225.87,226.6,229.48,232.09,234.21,234.47,235.17,235.83,236.23,236.9,238.13,240.86,242.76,243.26,244.13,247.26,247.48,247.72,248.24,248.96,249.14,249.97,250.22,252.04,253.34,257.25,257.59,263.02,263.41,264.74,266.32,269.58,272.6,274.68,276.02,294.86,297.31,300.58,301.81,303.73,306.31,313.36,314.27,315.7,317.11,317.88,319.82,320.76,324.72,325.44,333.15,337.74,341.86,347.6,348.59,348.96,349.49,350.41
