ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,6543363,Social security health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_SOS,151403010,I,360001,1360010,Region,Barishal,0,,0,1,AHHINSWSOS,BDDHS2017360001,2017-18,DHS,1125.0,2154.0,,,1.0
BGD,Chattogram/Sylhet,4253994,Social security health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_SOS,151403010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,AHHINSWSOS,BDDHS2017360002,2017-18,DHS,4814.0,5134.0,,,
BGD,Chattogram,7200093,Social security health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_SOS,151403010,I,360003,1360030,Region,..Chattogram,0,,0,1,AHHINSWSOS,BDDHS2017360003,2017-18,DHS,3622.0,2905.0,,,1.0
BGD,Sylhet,5271099,Social security health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_SOS,151403010,I,360004,1360040,Region,..Sylhet,0,,0,1,AHHINSWSOS,BDDHS2017360004,2017-18,DHS,1192.0,2229.0,,,1.0
BGD,Dhaka before 2015,1874012,Social security health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_SOS,151403010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,AHHINSWSOS,BDDHS2017360005,2017-18,DHS,6669.0,5141.0,,,
BGD,Dhaka,1874025,Social security health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_SOS,151403010,I,360010,1360052,Region,..Dhaka,0,,0,1,AHHINSWSOS,BDDHS2017360010,2017-18,DHS,5123.0,2974.0,,,1.0
BGD,Mymensingh,62994,Social security health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_SOS,151403010,I,360011,1360055,Region,..Mymensingh,0,,0,1,AHHINSWSOS,BDDHS2017360011,2017-18,DHS,1546.0,2167.0,,,1.0
BGD,Khulna,2570826,Social security health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_SOS,151403010,I,360006,1360060,Region,Khulna,0,,0,1,AHHINSWSOS,BDDHS2017360006,2017-18,DHS,2336.0,2630.0,,,1.0
BGD,Rajshahi/Rangpur,4362330,Social security health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_SOS,151403010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,AHHINSWSOS,BDDHS2017360007,2017-18,DHS,5182.0,5068.0,,,
BGD,Rangpur,6579712,Social security health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_SOS,151403010,I,360008,1360080,Region,..Rangpur,0,,0,1,AHHINSWSOS,BDDHS2017360008,2017-18,DHS,2380.0,2492.0,,,1.0
BGD,Rajshahi,4103060,Social security health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_SOS,151403010,I,360009,1360090,Region,..Rajshahi,0,,0,1,AHHINSWSOS,BDDHS2017360009,2017-18,DHS,2802.0,2576.0,,,1.0
BGD,Barishal,6543366,Other employer-base health insurance [Women],0.1,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_EBI,151403020,I,360001,1360010,Region,Barishal,0,,0,1,AHHINSWEBI,BDDHS2017360001,2017-18,DHS,1125.0,2154.0,,,1.0
BGD,Chattogram/Sylhet,4253999,Other employer-base health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_EBI,151403020,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,AHHINSWEBI,BDDHS2017360002,2017-18,DHS,4814.0,5134.0,,,
BGD,Chattogram,7200097,Other employer-base health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_EBI,151403020,I,360003,1360030,Region,..Chattogram,0,,0,1,AHHINSWEBI,BDDHS2017360003,2017-18,DHS,3622.0,2905.0,,,1.0
BGD,Sylhet,5271100,Other employer-base health insurance [Women],0.0,1,BD,Bangladesh,2017,BD2017DHS,AH_HINS_W_EBI,151403020,I,360004,1360040,Region,..Sylhet,0,,0,1,AHHINSWEBI,BDDHS2017360004,2017-18,DHS,1192.0,2229.0,,,1.0
