ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,5168443,BCG vaccination received,91.2,1,BD,Bangladesh,1994,BD1994DHS,CH_VACC_C_BCG,93906010,I,360001,1360010,Region,Barishal,0,,0,1,CHVACCCBCG,BDDHS1994360001,1993-94,DHS,80.0,131.0,,,1.0
BGD,Chattogram/Sylhet,3129285,BCG vaccination received,78.7,1,BD,Bangladesh,1994,BD1994DHS,CH_VACC_C_BCG,93906010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CHVACCCBCG,BDDHS1994360002,1993-94,DHS,385.0,303.0,,,1.0
BGD,Chattogram,6550399,BCG vaccination received,78.7,1,BD,Bangladesh,1994,BD1994DHS,CH_VACC_C_BCG,93906010,I,360003,1360030,Region,..Chattogram,0,,0,1,CHVACCCBCG,BDDHS1994360003,1993-94,DHS,385.0,303.0,,,
BGD,Dhaka before 2015,7280502,BCG vaccination received,84.5,1,BD,Bangladesh,1994,BD1994DHS,CH_VACC_C_BCG,93906010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CHVACCCBCG,BDDHS1994360005,1993-94,DHS,348.0,323.0,,,1.0
BGD,Khulna,5356682,BCG vaccination received,91.8,1,BD,Bangladesh,1994,BD1994DHS,CH_VACC_C_BCG,93906010,I,360006,1360060,Region,Khulna,0,,0,1,CHVACCCBCG,BDDHS1994360006,1993-94,DHS,128.0,130.0,,,1.0
BGD,Rajshahi/Rangpur,3734042,BCG vaccination received,92.3,1,BD,Bangladesh,1994,BD1994DHS,CH_VACC_C_BCG,93906010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CHVACCCBCG,BDDHS1994360007,1993-94,DHS,230.0,258.0,,,1.0
BGD,Barishal,5168439,DPT 1 vaccination received,89.6,1,BD,Bangladesh,1994,BD1994DHS,CH_VACC_C_DP1,93906020,I,360001,1360010,Region,Barishal,0,,0,1,CHVACCCDP1,BDDHS1994360001,1993-94,DHS,80.0,131.0,,,1.0
BGD,Chattogram/Sylhet,3129357,DPT 1 vaccination received,77.7,1,BD,Bangladesh,1994,BD1994DHS,CH_VACC_C_DP1,93906020,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CHVACCCDP1,BDDHS1994360002,1993-94,DHS,385.0,303.0,,,1.0
BGD,Chattogram,6550398,DPT 1 vaccination received,77.7,1,BD,Bangladesh,1994,BD1994DHS,CH_VACC_C_DP1,93906020,I,360003,1360030,Region,..Chattogram,0,,0,1,CHVACCCDP1,BDDHS1994360003,1993-94,DHS,385.0,303.0,,,
BGD,Dhaka before 2015,7280498,DPT 1 vaccination received,82.0,1,BD,Bangladesh,1994,BD1994DHS,CH_VACC_C_DP1,93906020,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CHVACCCDP1,BDDHS1994360005,1993-94,DHS,348.0,323.0,,,1.0
