Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Bangladesh,BGD,2023,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,667.524425038907
Bangladesh,BGD,2022,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,665.640670932042
Bangladesh,BGD,2021,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,673.512882586893
Bangladesh,BGD,2020,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,554.92391492305
Bangladesh,BGD,2019,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,544.211481929794
Bangladesh,BGD,2018,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,572.967592592593
Bangladesh,BGD,2017,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,460.552036906717
Bangladesh,BGD,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,392.375929871128
Bangladesh,BGD,2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,476.949740034662
Bangladesh,BGD,2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,469.365656919907
Bangladesh,BGD,2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,384.24735621339
Bangladesh,BGD,2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,407.839934667211
Bangladesh,BGD,2011,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,415.417160264004
Bangladesh,BGD,2010,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,306.317985452129
Bangladesh,BGD,2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,238.081662354463
Bangladesh,BGD,2008,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,207.780972155673
Bangladesh,BGD,2007,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,156.549104708778
Bangladesh,BGD,2006,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,172.070811424231
Bangladesh,BGD,2005,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,164.730200448999
Bangladesh,BGD,2004,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,140.642912079016
Bangladesh,BGD,2003,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,130.44109617226
Bangladesh,BGD,2002,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,129.205441298396
Bangladesh,BGD,2001,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,123.738647227533
Bangladesh,BGD,2000,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,114.771881628821
Bangladesh,BGD,1999,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,123.974219317357
Bangladesh,BGD,1998,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,111.348934550989
Bangladesh,BGD,1997,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,122.266987803063
Bangladesh,BGD,1996,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,121.21452417001
Bangladesh,BGD,1995,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,114.722936907185
Bangladesh,BGD,1994,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,109.306785275307
Bangladesh,BGD,1993,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,90.4898752105344
Bangladesh,BGD,1992,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,103.469809970071
Bangladesh,BGD,1991,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,125.612806403202
Bangladesh,BGD,1990,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,131.457174638487
Bangladesh,BGD,1989,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,121.800042168764
Bangladesh,BGD,1988,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,106.117339317514
Bangladesh,BGD,1987,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,109.166572573598
Bangladesh,BGD,1986,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,137.269901771322
Bangladesh,BGD,1985,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,125.004219350752
Bangladesh,BGD,1984,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,158.129199556396
Bangladesh,BGD,1983,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,146.155087462616
Bangladesh,BGD,1982,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,172.325434569017
