Gross Domestic Product (Taka in Millions),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Base Year: 2015-16,,,,,,,,,,
,,,,,,,,,,
Descriptor,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
Gross Domestic Product by Economic Sector at Current Prices,,,,,,,,,,
Agriculture,2795050.0,3011670.0,3293802.0,3534431.0,3804464.0,4106614.0,4455313.0,4941583.0,5585363.517161208,6300378.200294846
Agriculture Forestry and Fishing,2795050.0,3011670.0,3293802.0,3534431.0,3804464.0,4106614.0,4455313.0,4941583.0,5585363.517161208,6300378.200294846
Crops and Horticulture ,1382799.0,1486692.0,1623332.0,1733782.0,1861159.0,1996305.0,2153653.0,2395145.0,2748015.168189711,3134761.3553674207
Animal Farmings ,466548.0,495159.0,531856.0,562897.0,597153.0,632931.0,673986.0,736652.0,818977.2709800671,892482.0990626086
Forest and Related Services ,371884.0,398637.0,435632.0,466390.0,503992.0,559163.0,637476.0,713338.0,795878.5851686947,884110.346245352
Fishing ,573819.0,631181.0,702982.0,771362.0,842160.0,918215.0,990198.0,1096447.0,1222492.4928227358,1389024.3996194648
Industry,6449401.0,7263062.0,8441058.0,9696197.0,10434511.0,11761197.0,13472094.0,15535740.0,17057635.540104035,18766285.285571944
Mining and Quarrying,330526.0,399842.0,442760.0,526098.0,552239.0,591021.0,589162.0,702436.0,738017.307556053,768816.6009960312
Natural Gas and Crude Petroleum,114780.0,118071.0,119693.0,120543.0,116211.0,117429.0,114937.0,120517.0,123278.87414977221,118826.24981602104
Other Mining and Coal ,215747.0,281771.0,323066.0,405555.0,436028.0,473592.0,474225.0,581918.0,614738.4334062808,649990.3511800101
Manufacturing ,4223870.0,4666061.0,5490242.0,6259374.0,6530638.0,7496585.0,8644369.0,10033447.0,10952289.914122738,12376490.398140917
Large Industry ,2211523.0,2378261.0,2756760.0,3118577.0,3180334.0,3573569.0,4228957.0,4866428.0,5203339.878451058,5916460.680909369
"Small, Medium, and Micro Industry",1291077.0,1467245.0,1738580.0,1980659.0,2086958.0,2489993.0,2735868.0,3193230.0,3526211.361730064,3936945.324678418
Cottage Industry,721270.0,820555.0,994902.0,1160137.0,1263346.0,1433023.0,1679544.0,1973790.0,2222738.6739416164,2523084.3925531306
"Electricity, Gas, Steam and Air Conditioning Supply ",245546.0,292335.0,326252.0,381438.0,445225.0,449016.0,504135.0,552954.0,596458.1017679841,663987.8948301822
Electricity,183103.0,220141.0,246036.0,302389.0,369260.0,370961.0,420624.0,465789.0,505400.26235277415,572302.0386788393
Gas ,62442.0,72194.0,80216.0,79049.0,75965.0,78055.0,83511.0,87165.0,91057.83941520994,91685.85615134287
"Water supply, sewerage, waste management",21032.0,22634.0,24876.0,26736.0,27607.0,29676.0,38094.0,43796.0,47080.77200610939,49472.019348953654
Construction ,1628426.0,1882191.0,2156929.0,2502550.0,2878801.0,3194899.0,3696334.0,4203106.0,4723789.444651152,4907518.372255862
Services,10629825.0,11943198.0,13431175.0,15007804.0,16331503.0,18110380.0,20270879.0,22953551.0,47080.77200610939,28752488.08425311
Wholesale and Retail Trade; repair of motor vehicles,2885100.0,3246320.0,3737155.0,4183954.0,4457574.0,4976516.0,5670969.0,6473665.0,4723789.444651152,8200077.349248473
Transportation and Storage ,1580296.0,1787217.0,1978063.0,2197115.0,2322517.0,2562154.0,2852715.0,3240817.0,3595534.5462495075,3982529.9114683447
Land Transport,1369416.0,1553130.0,1726349.0,1927057.0,2038982.0,2268813.0,2534294.0,2900616.0,3216431.0911775227,3571285.703459081
Water transport,129414.0,143280.0,150878.0,158645.0,165707.0,174748.0,184187.0,190815.0,208291.05410117647,221128.52025356618
Air Transport,16667.0,18994.0,20954.0,22496.0,23037.0,22791.0,24219.0,27580.0,30368.37514215926,34593.818502664275
Warehousing and Support activities,55386.0,61650.0,68766.0,76673.0,81564.0,81412.0,94451.0,104138.0,121095.69581657737,134002.69294668184
Postal and courrier activities,9412.0,10164.0,11117.0,12244.0,13227.0,14390.0,15566.0,17668.0,19348.330012071605,21519.17630635197
Accomodation and Food Services Activities,238860.0,266702.0,301060.0,335495.0,360151.0,398567.0,444515.0,511559.0,597182.8039388548,689471.5365290665
Information and Communication,248337.0,272644.0,294609.0,322040.0,351075.0,384480.0,414222.0,473256.0,501878.1725410966,542049.7543457435
Financial and Insurance Activities ,650716.0,722466.0,817235.0,932966.0,1032169.0,1152706.0,1295390.0,1447845.0,1607686.8723091069,1795606.4419392028
Monetary Intermediation (Banks),549956.0,610182.0,693262.0,794168.0,880439.0,984571.0,1108780.0,1239330.0,1374574.2819481974,1535370.395641279
Insurance,63428.0,68255.0,74391.0,82016.0,88514.0,96426.0,105562.0,116301.0,128992.62678861052,143000.863396286
Other Financial Auxillaries,37332.0,44028.0,49582.0,56781.0,63216.0,71709.0,81048.0,92214.0,104119.96357229899,117235.18290163776
Real Estate Activities ,1925094.0,2141511.0,2359902.0,2607154.0,2880011.0,3130287.0,3401816.0,3734140.0,4089790.8761111517,4450400.619627913
"Professional, Scientific and Technical Activities",39060.0,42817.0,47140.0,51788.0,56562.0,62732.0,69420.0,84227.0,99074.15049920179,119520.53746181168
Administrative and Support Service Activities,142438.0,157215.0,172688.0,200172.0,230048.0,271376.0,311362.0,375040.0,446339.84997291793,545967.8755357146
Public Administration and Defense; compulsory,667295.0,784630.0,902487.0,990056.0,1069648.0,1169964.0,1273660.0,1472806.0,1614628.2182456297,1728522.3530893843
Education ,544789.0,608580.0,681642.0,769606.0,856425.0,956422.0,1095138.0,1259740.0,1472574.0784777345,1696564.9586909553
Human Health and Social Work Activities,546003.0,635152.0,733648.0,868110.0,1015218.0,1185003.0,1382069.0,1615334.0,1861907.1594937586,2170223.1786949234
"Arts, entertainment and recreation ",30071.0,33650.0,37716.0,42440.0,47610.0,53407.0,60737.0,69124.0,79639.00158990214,91931.1360824046
Other Service Activities,1131766.0,1244293.0,1367830.0,1506909.0,1652496.0,1806765.0,1998864.0,2195998.0,2452204.179255795,2739622.43153917
Total GVA at current basic price,19874276.0,22217930.0,25166034.0,28238432.0,30570477.0,33978191.0,38198286.0,43430874.0,48364971.24748812,53819151.5701199
Tax less subsidy,883937.0,1025143.0,1226445.0,1275855.0,1134217.0,1323656.0,1518878.0,1477544.0,1661565.346,1331110.2999999998
GDP at current market prices,20758212.0,23243073.0,26392479.0,29514288.0,31704694.0,35301848.0,39717164.0,44908417.0,50026536.59348812,55150261.8701199
Gross Domestic Product at Constant Prices,,,,,,,,,,
Agriculture,2795050.0,2884380.0,2986618.0,3083999.0,3189501.0,3290754.0,3391252.0,3505586.0,3621407.2396309525,3709016.9572221907
"Agriculture, Forestry, and Fishing",2795050.0,2884380.0,2986618.0,3083999.0,3189501.0,3290754.0,3391252.0,3505586.0,3621407.2396309525,3709016.9572221907
Crops and Horticulture ,1382799.0,1413445.0,1452281.0,1482299.0,1519388.0,1554174.0,1594695.0,1644974.0,1710812.1940862634,1742209.7338454046
Animal Farmings ,466548.0,479482.0,493403.0,508246.0,524455.0,539891.0,556606.0,574255.0,591902.7352510508,610114.1909860004
Forest and Related Services ,371884.0,390487.0,410329.0,431359.0,454402.0,477043.0,501287.0,526999.0,553310.6722602333,580498.2739959243
