ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,7515286,Neonatal mortality rate,63,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360001,1993-94,DHS,,,50,77,1.0
BGD,Chattogram/Sylhet,7610611,Neonatal mortality rate,65,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360002,1993-94,DHS,,,56,75,1.0
BGD,Chattogram,872791,Neonatal mortality rate,65,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360003,1993-94,DHS,,,56,75,
BGD,Dhaka before 2015,7766996,Neonatal mortality rate,62,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360005,1993-94,DHS,,,54,71,1.0
BGD,Khulna,7560853,Neonatal mortality rate,59,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360006,1993-94,DHS,,,47,71,1.0
BGD,Rajshahi/Rangpur,7650127,Neonatal mortality rate,65,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_NNR,63206010,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1994360007,1993-94,DHS,,,55,75,1.0
BGD,Barishal,7852394,Postneonatal mortality rate,39,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1994360001,1993-94,DHS,,,28,50,1.0
BGD,Chattogram/Sylhet,1722190,Postneonatal mortality rate,38,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1994360002,1993-94,DHS,,,31,45,1.0
BGD,Chattogram,1734744,Postneonatal mortality rate,38,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1994360003,1993-94,DHS,,,31,45,
BGD,Dhaka before 2015,1734589,Postneonatal mortality rate,43,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1994360005,1993-94,DHS,,,35,51,1.0
BGD,Khulna,7964780,Postneonatal mortality rate,31,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1994360006,1993-94,DHS,,,22,40,1.0
BGD,Rajshahi/Rangpur,1728466,Postneonatal mortality rate,30,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_PNR,63206020,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1994360007,1993-94,DHS,,,24,37,1.0
BGD,Barishal,7817013,Infant mortality rate,102,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1994360001,1993-94,DHS,,,84,120,1.0
BGD,Chattogram/Sylhet,7942693,Infant mortality rate,103,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1994360002,1993-94,DHS,,,90,116,1.0
BGD,Chattogram,1734599,Infant mortality rate,103,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1994360003,1993-94,DHS,,,90,116,
BGD,Dhaka before 2015,1734557,Infant mortality rate,105,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1994360005,1993-94,DHS,,,94,116,1.0
BGD,Khulna,7756784,Infant mortality rate,90,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1994360006,1993-94,DHS,,,76,105,1.0
BGD,Rajshahi/Rangpur,1728566,Infant mortality rate,95,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1994360007,1993-94,DHS,,,81,109,1.0
BGD,Barishal,7638632,Child mortality rate,50,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1994360001,1993-94,DHS,,,41,58,1.0
BGD,Chattogram/Sylhet,7724178,Child mortality rate,71,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1994360002,1993-94,DHS,,,60,83,1.0
BGD,Chattogram,7591380,Child mortality rate,71,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1994360003,1993-94,DHS,,,60,83,
BGD,Dhaka before 2015,7531242,Child mortality rate,58,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1994360005,1993-94,DHS,,,48,67,1.0
BGD,Khulna,7645067,Child mortality rate,25,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1994360006,1993-94,DHS,,,16,34,1.0
BGD,Rajshahi/Rangpur,7978408,Child mortality rate,44,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_CMR,63206040,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1994360007,1993-94,DHS,,,36,52,1.0
BGD,Barishal,7471097,Under-five mortality rate,147,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCU5M,BDDHS1994360001,1993-94,DHS,,,126,167,1.0
BGD,Chattogram/Sylhet,7807483,Under-five mortality rate,167,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCU5M,BDDHS1994360002,1993-94,DHS,,,149,186,1.0
BGD,Chattogram,7926541,Under-five mortality rate,167,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCU5M,BDDHS1994360003,1993-94,DHS,,,149,186,
BGD,Dhaka before 2015,7924325,Under-five mortality rate,157,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCU5M,BDDHS1994360005,1993-94,DHS,,,142,172,1.0
BGD,Khulna,1734649,Under-five mortality rate,113,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCU5M,BDDHS1994360006,1993-94,DHS,,,96,130,1.0
BGD,Rajshahi/Rangpur,7741958,Under-five mortality rate,135,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCU5M,BDDHS1994360007,1993-94,DHS,,,117,153,1.0
BGD,Barishal,6200513,Neonatal mortality rate,53,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_NNR,63206010,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1997360001,1996-97,DHS,,,40,66,1.0
BGD,Chattogram/Sylhet,7638633,Neonatal mortality rate,51,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_NNR,63206010,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1997360002,1996-97,DHS,,,42,61,
BGD,Chattogram,7698231,Neonatal mortality rate,42,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_NNR,63206010,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1997360003,1996-97,DHS,,,32,52,1.0
BGD,Sylhet,7470039,Neonatal mortality rate,85,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_NNR,63206010,I,360004,1360040,Region,..Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1997360004,1996-97,DHS,,,66,105,1.0
BGD,Dhaka before 2015,7452889,Neonatal mortality rate,52,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_NNR,63206010,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1997360005,1996-97,DHS,,,43,61,1.0
BGD,Khulna,7784574,Neonatal mortality rate,52,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_NNR,63206010,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1997360006,1996-97,DHS,,,39,65,1.0
BGD,Rajshahi/Rangpur,7639731,Neonatal mortality rate,64,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_NNR,63206010,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCNNR,BDDHS1997360007,1996-97,DHS,,,55,73,1.0
BGD,Barishal,7976004,Postneonatal mortality rate,33,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_PNR,63206020,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1997360001,1996-97,DHS,,,21,45,1.0
BGD,Chattogram/Sylhet,7799188,Postneonatal mortality rate,39,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_PNR,63206020,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1997360002,1996-97,DHS,,,31,47,
BGD,Chattogram,1739814,Postneonatal mortality rate,35,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_PNR,63206020,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1997360003,1996-97,DHS,,,25,44,1.0
BGD,Sylhet,7470888,Postneonatal mortality rate,53,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_PNR,63206020,I,360004,1360040,Region,..Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1997360004,1996-97,DHS,,,41,65,1.0
BGD,Dhaka before 2015,7513118,Postneonatal mortality rate,39,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_PNR,63206020,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1997360005,1996-97,DHS,,,32,46,1.0
BGD,Khulna,7710847,Postneonatal mortality rate,23,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_PNR,63206020,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1997360006,1996-97,DHS,,,15,32,1.0
BGD,Rajshahi/Rangpur,7657500,Postneonatal mortality rate,30,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_PNR,63206020,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCPNR,BDDHS1997360007,1996-97,DHS,,,22,39,1.0
BGD,Barishal,7583550,Infant mortality rate,86,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_IMR,63206030,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1997360001,1996-97,DHS,,,72,101,1.0
BGD,Chattogram/Sylhet,7745485,Infant mortality rate,90,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_IMR,63206030,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1997360002,1996-97,DHS,,,78,102,
BGD,Chattogram,7523807,Infant mortality rate,77,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_IMR,63206030,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1997360003,1996-97,DHS,,,65,89,1.0
BGD,Sylhet,878206,Infant mortality rate,138,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_IMR,63206030,I,360004,1360040,Region,..Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1997360004,1996-97,DHS,,,114,162,1.0
BGD,Dhaka before 2015,7611104,Infant mortality rate,91,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_IMR,63206030,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1997360005,1996-97,DHS,,,80,102,1.0
BGD,Khulna,7850291,Infant mortality rate,75,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_IMR,63206030,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1997360006,1996-97,DHS,,,61,90,1.0
BGD,Rajshahi/Rangpur,7864688,Infant mortality rate,94,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_IMR,63206030,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCIMR,BDDHS1997360007,1996-97,DHS,,,82,107,1.0
BGD,Barishal,7650892,Child mortality rate,36,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_CMR,63206040,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1997360001,1996-97,DHS,,,28,45,1.0
BGD,Chattogram/Sylhet,7888020,Child mortality rate,57,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_CMR,63206040,I,360002,1360020,Region,Chattogram/Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1997360002,1996-97,DHS,,,47,67,
BGD,Chattogram,7886153,Child mortality rate,59,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_CMR,63206040,I,360003,1360030,Region,..Chattogram,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1997360003,1996-97,DHS,,,47,71,1.0
BGD,Sylhet,7556507,Child mortality rate,48,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_CMR,63206040,I,360004,1360040,Region,..Sylhet,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1997360004,1996-97,DHS,,,35,60,1.0
BGD,Dhaka before 2015,7743705,Child mortality rate,44,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_CMR,63206040,I,360005,1360050,Region,Dhaka before 2015,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1997360005,1996-97,DHS,,,35,52,1.0
BGD,Khulna,7464817,Child mortality rate,13,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_CMR,63206040,I,360006,1360060,Region,Khulna,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1997360006,1996-97,DHS,,,7,19,1.0
BGD,Rajshahi/Rangpur,7897921,Child mortality rate,35,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_CMR,63206040,I,360007,1360070,Region,Rajshahi/Rangpur,14003,Ten years preceding the survey,0,1,CMECMRCCMR,BDDHS1997360007,1996-97,DHS,,,26,44,1.0
BGD,Barishal,7742229,Under-five mortality rate,120,0,BD,Bangladesh,1997,BD1997DHS,CM_ECMR_C_U5M,63206050,I,360001,1360010,Region,Barishal,14003,Ten years preceding the survey,0,1,CMECMRCU5M,BDDHS1997360001,1996-97,DHS,,,105,134,1.0
