ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,43618,Women with no education,34.3,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_NED,231203010,I,360001,1360010,Region,Barishal,0,,0,1,EDEDUCWNED,BDDHS1994360001,1993-94,DHS,600,995,,,1.0
BGD,Chattogram/Sylhet,4872982,Women with no education,61.6,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_NED,231203010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,EDEDUCWNED,BDDHS1994360002,1993-94,DHS,2503,1983,,,1.0
BGD,Chattogram,414577,Women with no education,61.6,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_NED,231203010,I,360003,1360030,Region,..Chattogram,0,,0,1,EDEDUCWNED,BDDHS1994360003,1993-94,DHS,2503,1983,,,
BGD,Dhaka before 2015,6008304,Women with no education,60.1,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_NED,231203010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,EDEDUCWNED,BDDHS1994360005,1993-94,DHS,2907,2722,,,1.0
BGD,Khulna,6239017,Women with no education,51.4,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_NED,231203010,I,360006,1360060,Region,Khulna,0,,0,1,EDEDUCWNED,BDDHS1994360006,1993-94,DHS,1203,1242,,,1.0
BGD,Rajshahi/Rangpur,3509751,Women with no education,62.1,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_NED,231203010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,EDEDUCWNED,BDDHS1994360007,1993-94,DHS,2281,2551,,,1.0
BGD,Barishal,43617,Women with primary education,46.0,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_PRI,231203090,I,360001,1360010,Region,Barishal,0,,0,1,EDEDUCWPRI,BDDHS1994360001,1993-94,DHS,600,995,,,1.0
BGD,Chattogram/Sylhet,4872985,Women with primary education,23.5,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_PRI,231203090,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,EDEDUCWPRI,BDDHS1994360002,1993-94,DHS,2503,1983,,,1.0
BGD,Chattogram,414574,Women with primary education,23.5,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_PRI,231203090,I,360003,1360030,Region,..Chattogram,0,,0,1,EDEDUCWPRI,BDDHS1994360003,1993-94,DHS,2503,1983,,,
BGD,Dhaka before 2015,6008308,Women with primary education,23.4,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_PRI,231203090,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,EDEDUCWPRI,BDDHS1994360005,1993-94,DHS,2907,2722,,,1.0
BGD,Khulna,6239015,Women with primary education,32.3,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_PRI,231203090,I,360006,1360060,Region,Khulna,0,,0,1,EDEDUCWPRI,BDDHS1994360006,1993-94,DHS,1203,1242,,,1.0
BGD,Rajshahi/Rangpur,3509757,Women with primary education,26.6,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_PRI,231203090,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,EDEDUCWPRI,BDDHS1994360007,1993-94,DHS,2281,2551,,,1.0
BGD,Barishal,43615,Women with secondary or higher education,19.7,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_SEH,231203100,I,360001,1360010,Region,Barishal,0,,0,1,EDEDUCWSEH,BDDHS1994360001,1993-94,DHS,600,995,,,1.0
BGD,Chattogram/Sylhet,4872986,Women with secondary or higher education,14.9,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_SEH,231203100,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,EDEDUCWSEH,BDDHS1994360002,1993-94,DHS,2503,1983,,,1.0
BGD,Chattogram,414575,Women with secondary or higher education,14.9,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_SEH,231203100,I,360003,1360030,Region,..Chattogram,0,,0,1,EDEDUCWSEH,BDDHS1994360003,1993-94,DHS,2503,1983,,,
BGD,Dhaka before 2015,6008309,Women with secondary or higher education,16.5,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_SEH,231203100,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,EDEDUCWSEH,BDDHS1994360005,1993-94,DHS,2907,2722,,,1.0
BGD,Khulna,6239016,Women with secondary or higher education,16.3,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_SEH,231203100,I,360006,1360060,Region,Khulna,0,,0,1,EDEDUCWSEH,BDDHS1994360006,1993-94,DHS,1203,1242,,,1.0
BGD,Rajshahi/Rangpur,3509758,Women with secondary or higher education,11.3,1,BD,Bangladesh,1994,BD1994DHS,ED_EDUC_W_SEH,231203100,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,EDEDUCWSEH,BDDHS1994360007,1993-94,DHS,2281,2551,,,1.0
BGD,Barishal,4598624,Women with no education,30.4,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_NED,231203010,I,360001,1360010,Region,Barishal,0,,0,1,EDEDUCWNED,BDDHS1997360001,1996-97,DHS,588,922,,,1.0
BGD,Chattogram/Sylhet,421170,Women with no education,54.5,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_NED,231203010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,EDEDUCWNED,BDDHS1997360002,1996-97,DHS,2320,2239,,,
BGD,Chattogram,3385114,Women with no education,51.0,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_NED,231203010,I,360003,1360030,Region,..Chattogram,0,,0,1,EDEDUCWNED,BDDHS1997360003,1996-97,DHS,1821,1348,,,1.0
BGD,Sylhet,5695999,Women with no education,67.1,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_NED,231203010,I,360004,1360040,Region,..Sylhet,0,,0,1,EDEDUCWNED,BDDHS1997360004,1996-97,DHS,499,891,,,1.0
BGD,Dhaka before 2015,6697976,Women with no education,57.6,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_NED,231203010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,EDEDUCWNED,BDDHS1997360005,1996-97,DHS,2831,2484,,,1.0
BGD,Khulna,4976070,Women with no education,48.6,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_NED,231203010,I,360006,1360060,Region,Khulna,0,,0,1,EDEDUCWNED,BDDHS1997360006,1996-97,DHS,1089,1066,,,1.0
BGD,Rajshahi/Rangpur,113182,Women with no education,61.3,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_NED,231203010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,EDEDUCWNED,BDDHS1997360007,1996-97,DHS,2155,2270,,,1.0
BGD,Barishal,4598628,Women with primary education,47.4,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_PRI,231203090,I,360001,1360010,Region,Barishal,0,,0,1,EDEDUCWPRI,BDDHS1997360001,1996-97,DHS,588,922,,,1.0
BGD,Chattogram/Sylhet,421174,Women with primary education,25.0,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_PRI,231203090,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,EDEDUCWPRI,BDDHS1997360002,1996-97,DHS,2320,2239,,,
BGD,Chattogram,3385136,Women with primary education,25.9,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_PRI,231203090,I,360003,1360030,Region,..Chattogram,0,,0,1,EDEDUCWPRI,BDDHS1997360003,1996-97,DHS,1821,1348,,,1.0
BGD,Sylhet,5695997,Women with primary education,21.8,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_PRI,231203090,I,360004,1360040,Region,..Sylhet,0,,0,1,EDEDUCWPRI,BDDHS1997360004,1996-97,DHS,499,891,,,1.0
BGD,Dhaka before 2015,6697974,Women with primary education,23.5,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_PRI,231203090,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,EDEDUCWPRI,BDDHS1997360005,1996-97,DHS,2831,2484,,,1.0
BGD,Khulna,4976068,Women with primary education,32.1,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_PRI,231203090,I,360006,1360060,Region,Khulna,0,,0,1,EDEDUCWPRI,BDDHS1997360006,1996-97,DHS,1089,1066,,,1.0
BGD,Rajshahi/Rangpur,113192,Women with primary education,25.5,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_PRI,231203090,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,EDEDUCWPRI,BDDHS1997360007,1996-97,DHS,2155,2270,,,1.0
BGD,Barishal,4598629,Women with secondary or higher education,22.3,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_SEH,231203100,I,360001,1360010,Region,Barishal,0,,0,1,EDEDUCWSEH,BDDHS1997360001,1996-97,DHS,588,922,,,1.0
BGD,Chattogram/Sylhet,421178,Women with secondary or higher education,20.5,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_SEH,231203100,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,EDEDUCWSEH,BDDHS1997360002,1996-97,DHS,2320,2239,,,
BGD,Chattogram,3385137,Women with secondary or higher education,23.1,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_SEH,231203100,I,360003,1360030,Region,..Chattogram,0,,0,1,EDEDUCWSEH,BDDHS1997360003,1996-97,DHS,1821,1348,,,1.0
BGD,Sylhet,5695998,Women with secondary or higher education,11.1,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_SEH,231203100,I,360004,1360040,Region,..Sylhet,0,,0,1,EDEDUCWSEH,BDDHS1997360004,1996-97,DHS,499,891,,,1.0
BGD,Dhaka before 2015,6697980,Women with secondary or higher education,18.9,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_SEH,231203100,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,EDEDUCWSEH,BDDHS1997360005,1996-97,DHS,2831,2484,,,1.0
BGD,Khulna,4976069,Women with secondary or higher education,19.3,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_SEH,231203100,I,360006,1360060,Region,Khulna,0,,0,1,EDEDUCWSEH,BDDHS1997360006,1996-97,DHS,1089,1066,,,1.0
BGD,Rajshahi/Rangpur,113193,Women with secondary or higher education,13.2,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_W_SEH,231203100,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,EDEDUCWSEH,BDDHS1997360007,1996-97,DHS,2155,2270,,,1.0
BGD,Barishal,1008875,Men with no education,31.1,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_M_NED,231204140,I,360001,1360010,Region,Barishal,0,,0,1,EDEDUCMNED,BDDHS1997360001,1996-97,DHS,167,265,,,1.0
BGD,Chattogram/Sylhet,5178669,Men with no education,38.0,1,BD,Bangladesh,1997,BD1997DHS,ED_EDUC_M_NED,231204140,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,EDEDUCMNED,BDDHS1997360002,1996-97,DHS,626,582,,,
