ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,6053627,Men who smoke cigarettes,24.5,1,BD,Bangladesh,2004,BD2004DHS,AH_TOBC_M_CIG,151434010,I,360001,1360010,Region,Barishal,0,,0,1,AHTOBCMCIG,BDDHS2004360001,2004,DHS,208.0,417.0,,,1.0
BGD,Chattogram/Sylhet,127665,Men who smoke cigarettes,33.3,1,BD,Bangladesh,2004,BD2004DHS,AH_TOBC_M_CIG,151434010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,AHTOBCMCIG,BDDHS2004360002,2004,DHS,993.0,1082.0,,,
BGD,Chattogram,1401203,Men who smoke cigarettes,32.8,1,BD,Bangladesh,2004,BD2004DHS,AH_TOBC_M_CIG,151434010,I,360003,1360030,Region,..Chattogram,0,,0,1,AHTOBCMCIG,BDDHS2004360003,2004,DHS,701.0,678.0,,,1.0
BGD,Sylhet,3217416,Men who smoke cigarettes,34.4,1,BD,Bangladesh,2004,BD2004DHS,AH_TOBC_M_CIG,151434010,I,360004,1360040,Region,..Sylhet,0,,0,1,AHTOBCMCIG,BDDHS2004360004,2004,DHS,292.0,404.0,,,1.0
BGD,Dhaka before 2015,4324375,Men who smoke cigarettes,29.6,1,BD,Bangladesh,2004,BD2004DHS,AH_TOBC_M_CIG,151434010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,AHTOBCMCIG,BDDHS2004360005,2004,DHS,1258.0,950.0,,,1.0
BGD,Khulna,6535766,Men who smoke cigarettes,24.8,1,BD,Bangladesh,2004,BD2004DHS,AH_TOBC_M_CIG,151434010,I,360006,1360060,Region,Khulna,0,,0,1,AHTOBCMCIG,BDDHS2004360006,2004,DHS,552.0,676.0,,,1.0
BGD,Rajshahi/Rangpur,5797832,Men who smoke cigarettes,24.5,1,BD,Bangladesh,2004,BD2004DHS,AH_TOBC_M_CIG,151434010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,AHTOBCMCIG,BDDHS2004360007,2004,DHS,1043.0,944.0,,,1.0
BGD,Barishal,6053637,Men who smoke pipe,0.2,1,BD,Bangladesh,2004,BD2004DHS,AH_TOBC_M_PIP,151434020,I,360001,1360010,Region,Barishal,0,,0,1,AHTOBCMPIP,BDDHS2004360001,2004,DHS,208.0,417.0,,,1.0
BGD,Chattogram/Sylhet,127666,Men who smoke pipe,0.0,1,BD,Bangladesh,2004,BD2004DHS,AH_TOBC_M_PIP,151434020,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,AHTOBCMPIP,BDDHS2004360002,2004,DHS,993.0,1082.0,,,
BGD,Chattogram,1401204,Men who smoke pipe,0.0,1,BD,Bangladesh,2004,BD2004DHS,AH_TOBC_M_PIP,151434020,I,360003,1360030,Region,..Chattogram,0,,0,1,AHTOBCMPIP,BDDHS2004360003,2004,DHS,701.0,678.0,,,1.0
