ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,7102606,Households with an improved sanitation facility,32.1,1,BD,Bangladesh,1994,BD1994DHS,WS_TLET_H_IMP,250261010,I,360001,1360010,Region,Barishal,0,,0,1,WSTLETHIMP,BDDHS1994360001,1993-94,DHS,603.0,991.0,,,1.0
BGD,Chattogram/Sylhet,5798398,Households with an improved sanitation facility,26.3,1,BD,Bangladesh,1994,BD1994DHS,WS_TLET_H_IMP,250261010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,WSTLETHIMP,BDDHS1994360002,1993-94,DHS,2370.0,1864.0,,,1.0
BGD,Chattogram,1096700,Households with an improved sanitation facility,26.3,1,BD,Bangladesh,1994,BD1994DHS,WS_TLET_H_IMP,250261010,I,360003,1360030,Region,..Chattogram,0,,0,1,WSTLETHIMP,BDDHS1994360003,1993-94,DHS,2370.0,1864.0,,,
BGD,Dhaka before 2015,1096676,Households with an improved sanitation facility,27.9,1,BD,Bangladesh,1994,BD1994DHS,WS_TLET_H_IMP,250261010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,WSTLETHIMP,BDDHS1994360005,1993-94,DHS,2867.0,2690.0,,,1.0
BGD,Khulna,389933,Households with an improved sanitation facility,25.5,1,BD,Bangladesh,1994,BD1994DHS,WS_TLET_H_IMP,250261010,I,360006,1360060,Region,Khulna,0,,0,1,WSTLETHIMP,BDDHS1994360006,1993-94,DHS,1087.0,1118.0,,,1.0
BGD,Rajshahi/Rangpur,3708192,Households with an improved sanitation facility,17.7,1,BD,Bangladesh,1994,BD1994DHS,WS_TLET_H_IMP,250261010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,WSTLETHIMP,BDDHS1994360007,1993-94,DHS,2248.0,2511.0,,,1.0
BGD,Barishal,7102607,Households with a flush or pour flush toilet to a septic tank,6.8,1,BD,Bangladesh,1994,BD1994DHS,WS_TLET_H_FSP,250261030,I,360001,1360010,Region,Barishal,0,,0,1,WSTLETHFSP,BDDHS1994360001,1993-94,DHS,603.0,991.0,,,1.0
BGD,Chattogram/Sylhet,5798399,Households with a flush or pour flush toilet to a septic tank,6.3,1,BD,Bangladesh,1994,BD1994DHS,WS_TLET_H_FSP,250261030,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,WSTLETHFSP,BDDHS1994360002,1993-94,DHS,2370.0,1864.0,,,1.0
BGD,Chattogram,1096724,Households with a flush or pour flush toilet to a septic tank,6.3,1,BD,Bangladesh,1994,BD1994DHS,WS_TLET_H_FSP,250261030,I,360003,1360030,Region,..Chattogram,0,,0,1,WSTLETHFSP,BDDHS1994360003,1993-94,DHS,2370.0,1864.0,,,
BGD,Dhaka before 2015,1096677,Households with a flush or pour flush toilet to a septic tank,15.0,1,BD,Bangladesh,1994,BD1994DHS,WS_TLET_H_FSP,250261030,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,WSTLETHFSP,BDDHS1994360005,1993-94,DHS,2867.0,2690.0,,,1.0
BGD,Khulna,389934,Households with a flush or pour flush toilet to a septic tank,11.4,1,BD,Bangladesh,1994,BD1994DHS,WS_TLET_H_FSP,250261030,I,360006,1360060,Region,Khulna,0,,0,1,WSTLETHFSP,BDDHS1994360006,1993-94,DHS,1087.0,1118.0,,,1.0
