0,1,2,3,4
Table 1: Bangladesh Progress on Millennium Development Goals 3 and 5 Targets,,,,
"Goals, Targets, and Indicators","Base Year 
1990–1991","Status  
in 2000","Current Status  
(Source)","Target  
by 2015"
Goal 3: Promote Gender Equality and Empower Women,,,,
"Target 3.A: Eliminate gender disparity in primary and secondary education, preferably by 2005, and in all levels of 
education no later than 2015",,,,
"3.1a:  Ratio of girls to boys in Primary education (Gender 
Parity Index = Girls/Boys",0.83,0.96,"1.04 (APSC, 2015, DPE)
1.07 (MICS 2012–2013)
1.10 (BDHS 2011)",1.0
"3.1b:  Ratio of girls to boys in secondary education 
(Gender Parity Index = Girls/Boys)",0.52,1.06,"1.14 (BANBEIS 2015)
1.30 (MICS 2012–2013)",1.0
"3.1c:  Ratio of girls to boys in tertiary education (Gender 
Parity Index = Girls/Boys)",0.37,0.33,"0.65 (BANBEIS, 2015)
0.78 (UGC 2013)",1.0
"3.2:  Share of women in wage employment in the 
nonagricultural sector, %",19.10,22.00,31.6 (LFS 2013),50
"3.3:  Proportion of seats held by women in national 
parliament, %",12.70,13.03,20.29 (BPS 2015),33
Goal 5. Improve Maternal Health,,,,
"Target 5.A: Reduce by three quarters, between 1990 and 2015, the maternal mortality ratio",,,,
"5.1:  Maternal mortality ratio (per 100,000 live births)",472,318,"170 (MMEIG 2013)
181 (SVRS 2015)
194 (BMMS 2010)",143
"5.2:  Proportion of births attended by skilled health 
personnel (%)",5.0,15.6,"42.1 (BDHS 2014)
43.5 (MICS 2012–2013)",50
"Target 5.B: Achieve, by 2015, universal access to reproductive health",,,,
"5.3:  Contraceptive prevalence rate, %","39.9
(CPS 1991)",53,"62.4 (BDHS 2014)
61.8 (MICS 2012–2013)
62.1 (SVRS 2015)",72
"5.4:  Adolescent birth rate, (per 1,000 women)","79
(1990 SVRS)",39,"83 (MICS 2012–2013)
113 (BDHS 2014)
75 (SVRS 2015)",–
"5.5:  Antenatal care coverage (at least one visit and  
at least four visits) (%)",,,,
"5.5a:  Antenatal care coverage (at least one visit), %","27.5
(1993–1994)","50.6
(2004)","78.6 (BDHS 2014)
58.7 (MICS 2012–2013)",100
"5.5b:  Antenatal care coverage (at least four visits), %","5.5
(1993–1994)","16.7
(2004)","31.2 (BDHS 2014)
24.7 (MICS 2012–2013)",50
"5.6:  Unmet need for family planning, %","21.6
(1993–1994)",18.2,"13.9 (MICS 2012–2013)
12.0 (BDHS 2014)",7.6
"APSC = Annual Primary School Survey, BANBEIS = Bangladesh Bureau of Educational Information and Statistics, BDHS = Bangladesh 
Demographic and Health Survey, BPS = Bangladesh Parliament Secretariat, DPE = Department of Primary Education, LFS = Labour Force 
Survey, MDG= Millennium Development Goals, MICS=Multiple Indicator Cluster Survey, MMEIG = Maternal Mortality Estimation 
Inter-Agency Group.
Source: S. Allam, ed. 2016. Millennium Development Goals: End-period Stocktaking and Final Evaluation Report (2000–2015). Dhaka: 
General Economics Division (GED), Bangladesh Planning Commission, Government of Bangladesh.",,,,
