0,1,2,3
"Table 2: Distribution of Employed Women by Education 
Level, 2005, 2010, and 2013",,,
Item,2005,2010,2013
Total women employed (‘000),"11,277.00","16,202.00","16,846.00"
Education (%),,,
No schooling,52.00,41.30,21.40
Primary,23.10,22.90,34.70
Secondary (includes SSC),19.80,31.10,29.30
Higher secondary (includes HSC),2.10,2.60,10.40
Tertiary,2.90,2.00,3.90
Technical or vocational,0.10,0.07,–
Others,0.05,0.03,0.40
Total,,100.00,100.00
"HSC = higher secondary certificate, SSC = secondary school certificate.
Sources: Government of Bangladesh. Labour Force Surveys (2005–2006,  
2010, 2013).",,,
