0,1,2
Table 14: Important Policies and Documents for the Energy Sector and Gender Considerations,,
Sl. No.,Main Policy or Documents in the Energy Sector,Directly Addresses Women’s Energy Needs
A.,National Energy Policy 2004,"Yes. The importance of provision for cooking energy  
is highlighted."
B.,Power Pricing Framework 2004,No
C.,"Private Sector Power Generation Policy  
(revision 2004)",No
D.,"Policy Guidelines on Power Purchase from Captive 
Power Plant 2007",No
E.,Remote Area Power Supply Systems Fund 2007,"Yes. It promotes investment to facilitate electricity 
supply to households in remote areas."
F.,Renewable Energy Policy 2008,"Yes. The policy supports development of cooking  
fuels or technologies like biogas, improved cookstoves, 
solar electrification systems for households and 
community use, and other renewable energy 
technologies, which are to directly benefit women  
in their day-to-day activities."
G.,"Bangladesh Private Sector Infrastructure Guidelines 
(revision November 2008)",No
H.,Small Power Plant Policy,No
I.,"Policy Guidelines for Enhancement of Private 
Participation in the Power Sector, 2008",No
J.,Power System Master Plan 2010,No
K.,"Action Plan for Energy Efficiency and Conservation, 
2013","Yes. All the sections take into consideration the impact 
of improved energy efficiency at the household level 
and the need for taking actions for raising awareness."
L.,Solar Guide Book 2013,"Yes. Women will benefit from the solar electrification, 
irrigation, and other technologies."
M.,"Country Action Plan for Clean Cookstoves, 2013","Yes. It attaches priority to reduced household air 
pollution, improved maternal and child health, 
women’s economic empowerment through 
participation in cookstove-related entrepreneurship."
N.,"500 MW Solar Program, 2013","Yes. Solar electrification in unelectrified areas will 
enhance the quality of life of the population and 
reduce drudgery for women."
O.,"National Policy for the Advancement of Women by the 
Ministry of Women and Children Affairs",No
Source: Author.,,
