0,1
Action Areas,Responsibility
"Project Planning, Design, and Policy Making",
"A.   Review Energy Sector policies and programs to ensure that 
they address gender issues and that future policies or revisions 
of existing ones can be made more gender inclusive.","Government of Bangladesh (GOB), Civil Society 
Organizations (CSOs), private sector, and 
development partners"
"Use an area based planning methodology to address the energy 
B. 
needs of different locations and genders so that the energy 
needs of rural and urban areas for subsistence and productive 
requirements (e.g. agriculture, industries, and transport) are 
met on a sustainable basis.","Planning Commission in coordination with Local 
Government Engineering Department (LGED), 
relevant government departments or ministries and 
local government bodies"
"C.  Enable women users to play an active role in the planning and 
management of energy resources. Mechanisms and structures 
to ensure the accountability of service providers to the users 
should be established (if missing) and strengthened (where 
they exist). E.g., BREB and/or PBS.","Ministry of Power, Energy and Mineral Resources  
(MPEMR), Bangladesh Power Development Board 
(BPDB), Bangladesh Rural Electrification Board 
(BREB), LGED, Energy providers, public sector and 
private sector"
"D.  Integrate technical assistance in large scale program loans from 
ADB to pilot innovative activities that would target women 
and their needs, and support more qualitative actions such as 
addressing women’s energy needs.",ADB
"E.  Identify small pilots and initiatives that have the potential to 
be scaled up (e.g. RDA’s biogas initiative, promotion of women 
entrepreneurs to form groups for marketing/direct sale of solar 
and energy efficient products).","Planning Commission, MPEMR, development 
partners"
"F.  Share results and lessons learned from “Enabling Poor Women’s 
Benefits from Enhanced Access to Energy in Hatiya Island 
Technical Assistance” (2015) with researchers and project 
developers for possible replication and up scaling.","ADB, MPEMR"
Increasing Access to Energy,
"G.  Increase women’s access to energy (power and fuel) to reduce 
their drudgery. Energy efficient technologies should be made 
available at affordable prices using consumer credits or other 
modalities to ensure profitable income generating activities for 
both men and women. Training on technology use should be 
provided to reduce women’s workload and drudgery.","MPEMR, Sustainable and Renewable Energy 
Development Authority (SREDA), BREB, 
Infrastructure Development Company Limited, 
development partners
Private training institutions with the help of 
appliance marketing companies"
Adaptation and Use of Technology,
"H.  Support organization and mobilization of women as consumers 
exercising agency through participation (including awareness 
raising activities on consumer’s rights and proper energy use).",All stakeholders
"I.  Continuously monitor and evaluate new technologies and 
projects and introduce means of obtaining user feedback, 
adapted to women and men’s means of communication, in order 
to ensure modifications and adaptation to reflect the needs of 
the users, especially women, so that technical problems are 
sorted out and necessary modifications made.","National level project planners in the concerned 
ministries 
Project design teams of development partners like 
ADB, World Bank (WB)"
Increasing Employment for Women,
"J.  Undertake a detailed study to find out areas in which more 
women can be employed in the energy sector in the light of 
sectoral expansion plans. This should give an idea about many 
relevant aspects, including,
a. 
Activities in new, non-traditional areas that provide 
good employment opportunities
b.  Women’s barriers to pursuing careers in new fields and 
to accessing technology related to energy supply and use
c.  Whether inclusion of boys and men can be useful  
in breaking stereotypes as has been shown in  
other countries.","SREDA, BREB, LGED, Planning Commission, 
Small and Medium Enterprise (SME) Foundation, 
Ministry of Industries, Bangladesh Small and 
Cottage Industries Corporation (BSCIC), Ministry of 
Education
ADB, WB, and other development partners can 
commission studies though research organizations"
