0,1,2,3,4,5,6
"Table 3: Labor Force Participation Rates according to Selected Individual Characteristics,  
1999, 2005, and 2010",,,,,,
,1999,,2005,,2010,
,Male,Female,Male,Female,Male,Female
Labor force participation rate,0.84,0.24,0.86,0.30,0.83,0.36
Age,,,,,,
15–24,0.62,0.26,0.67,0.22,0.62,0.36
25–34,0.94,0.28,0.96,0.35,0.93,0.44
35–44,0.98,0.26,0.98,0.36,0.97,0.46
45 and above,0.84,0.18,0.86,0.27,0.83,0.18
Marital status,,,,,,
Unmarried,0.63,0.29,0.67,0.19,0.61,0.28
Married,0.93,0.24,0.94,0.31,0.91,0.38
Separated/widowed/divorced,0.43,0.27,0.55,0.32,0.47,0.21
Highest class passed,,,,,,
No education,0.90,0.26,0.93,0.33,0.90,0.32
Class i–v,0.91,0.24,0.93,0.30,0.90,0.38
Class vi–viii,0.79,0.21,0.88,0.26,0.86,0.42
Class ix–x,0.79,0.21,0.76,0.21,0.69,0.37
SSC/equivalent,0.68,0.23,0.68,0.22,0.67,0.34
HSC/equivalent,0.68,0.23,0.67,0.26,0.50,0.25
Bachelor/equivalent,0.77,0.33,0.82,0.43,1.00,1.00
Master equivalent,,,0.88,0.51,0.81,0.48
Medical/engineering degree,,,0.84,0.61,0.76,0.47
Technical/vocational education,,,0.77,0.37,1.00,1.00
Others,,,0.63,0.42,0.69,0.45
Literacy,,,,,,
Literate,0.80,0.23,0.81,0.26,0.79,0.37
Nonliterate,0.91,0.26,0.92,0.33,0.90,0.33
"HSC = higher secondary certificate, SSC = secondary school certificate. 
Source: S. Mahmud and S.H. Bidisha. 2016. Female Labor Market Participation in Bangladesh: Structural Changes and Determinants of 
Labor Supply. In S. Raihan, ed. Structural Change and Dynamics of Labor Markets in Bangladesh: Studies on Labor and Employment. Dhaka: 
SANEM Publications.",,,,,,
