0,1,2,3,4,5,6,7,8,9
Table 22: Number of Teachers and Students in the Medical Colleges by Sex,,,,,,,,,
Year,"Type of 
Medical 
College",Teachers,,,,Students,,,
,,Total,Women,Men,"% of 
Women",Total,Girls,Boys,% of Girls
2004,Public,"1,215",240,975,19.75,"11,602","4,675","6,927",40.29
,Private,740,123,617,16.62,"4,992","2,195","2,797",43.97
2005,Public,"1,218",240,970,19.70,"11,731","4,692","7,039",40.00
,Private,"1,037",123,914,11.86,"6,954","2,384","4,570",34.28
2010,Public,"1,312",244,968,18.60,"11,736","4,704","7,032",40.08
,Private,"1,202",123,"1,079",10.23,"7,660","2,623","5,037",34.24
2011,Public,"1,332",246,"1,086",18.47,"14,035","5,646","8,389",40.23
,Private,"1,406",186,"1,220",13.23,"12,845","5,642","7,203",41.99
2012,Public,"1,362",254,"1,108",18.65,"14,060","5,654","8,406",40.21
,Private,"1,432",190,"1,242",13.27,"15,666","6,884","8,782",49.94
2013,Public,"3,342",622,"2,720",18.61,"Data not 
available","Data not 
available","Data not 
available","Data not 
available"
,Private,"1,562",190,"1,372",12.16,"Data not 
available","Data not 
available","Data not 
available","Data not 
available"
2014,Public,"3,342",622,"2,720",18.61,"Data not 
available","Data not 
available","Data not 
available","Data not 
available"
,Private,"1,562",190,"1,372",12.16,"Data not 
available","Data not 
available","Data not 
available","Data not 
available"
2015,Public,"3,345",624,"2,721",18.65,"Data not 
available","Data not 
available","Data not 
available","Data not 
available"
,Private,"1,574",194,"1,380",12.33,"Data not 
available","Data not 
available","Data not 
available","Data not 
available"
"Source: Government of Bangladesh, Bangladesh Bureau of Educational Information and Statistics. 2015. Bangladesh Education Statistics. 
Dhaka.",,,,,,,,,
