0,1,2,3,4,5,6,7,8
Economy-wide wage,Initial,Change from base (%),,,,,,
,base,GB17-18,GB18-19,GB19-20,GB20-21,GB21-22,GB22-23,GB23-24
Labor - National,1.00,48.67,42.41,9.15,8.96,6.47,1.79,-2.70
Not finished primary,1.00,6.35,11.00,3.38,3.60,3.33,1.11,-2.53
Finished primary,1.00,6.35,11.00,3.38,3.60,3.33,1.11,-2.53
Finished secondary,1.00,253.41,136.15,20.82,19.78,12.81,3.20,-3.30
Finished tertiary,1.00,314.86,166.40,24.87,23.45,14.52,3.31,-2.64
Labor - Rural,1.00,37.79,33.81,7.32,7.22,5.34,1.52,-2.46
Not finished primary,1.00,6.35,11.00,3.38,3.60,3.33,1.11,-2.53
Finished primary,1.00,6.35,11.00,3.38,3.60,3.33,1.11,-2.53
Finished secondary,1.00,272.54,144.27,21.09,19.87,12.36,3.03,-2.45
Finished tertiary,1.00,308.74,156.33,21.72,20.38,12.23,2.63,-1.90
Labor - Urban,1.00,64.63,55.03,11.85,11.51,8.14,2.19,-3.05
Not finished primary,1.00,6.35,11.00,3.38,3.60,3.33,1.11,-2.53
Finished primary,1.00,6.35,11.00,3.38,3.60,3.33,1.11,-2.53
Finished secondary,1.00,237.71,129.48,20.60,19.71,13.19,3.34,-4.00
Finished tertiary,1.00,318.81,172.95,26.93,25.44,16.01,3.75,-3.12
Crop land,1.00,-53.23,-55.76,-24.62,-26.80,-28.78,-13.52,75.34
Capital - Total,1.00,6.94,10.30,3.40,3.78,3.97,1.62,-6.57
"Crops, forestry, fisheries",1.00,-37.70,-38.22,-17.90,-19.98,-23.51,-9.78,118.91
Livestock,1.00,-70.70,-73.70,-43.92,-44.45,-36.24,17.19,-6.55
Mining,1.00,-22.68,46.66,22.84,23.18,19.64,6.18,-15.62
Other non-agriculture,1.00,9.79,11.75,4.22,4.62,4.72,1.15,-6.83
