country_code,location,data_id,indicator_name,value,precision,DHS_CountryCode,CountryName,survey_year,survey_id,indicator_id,indicator_order,indicator_type,characteristic_id,characteristic_order,characteristic_category,characteristic_label,by_variable_id,by_variable_label,is_total,is_preferred,sdr_id,region_id,survey_year_label,survey_type,denominator_weighted,denominator_unweighted,ci_low,ci_high,level_rank,observation_domain,gender,admin_pcode
BGD,Barishal,2821968,Antenatal care provider: Doctor,17.8,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360001,1360010,Region,Barishal,14000,Three years preceding the survey,N,N,RHANCPWDOC,BDDHS1994360001,1993-94,DHS,228.0,371.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Barishal,1317268,Antenatal care provider: Doctor,19.0,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360001,1360010,Region,Barishal,14002,Two years preceding the survey,N,Y,RHANCPWDOC,BDDHS1994360001,1993-94,DHS,166.0,270.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram/Sylhet,5937388,Antenatal care provider: Doctor,17.6,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360002,1360020,Region,Chattogram/Sylhet,14000,Three years preceding the survey,N,N,RHANCPWDOC,BDDHS1994360002,1993-94,DHS,1100.0,868.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram/Sylhet,4843006,Antenatal care provider: Doctor,18.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360002,1360020,Region,Chattogram/Sylhet,14002,Two years preceding the survey,N,Y,RHANCPWDOC,BDDHS1994360002,1993-94,DHS,784.0,621.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram,7015017,Antenatal care provider: Doctor,17.6,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360003,1360030,Region,..Chattogram,14000,Three years preceding the survey,N,N,RHANCPWDOC,BDDHS1994360003,1993-94,DHS,1100.0,868.0,,,,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram,1302953,Antenatal care provider: Doctor,18.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360003,1360030,Region,..Chattogram,14002,Two years preceding the survey,N,Y,RHANCPWDOC,BDDHS1994360003,1993-94,DHS,784.0,621.0,,,,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Dhaka before 2015,5106279,Antenatal care provider: Doctor,25.5,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360005,1360050,Region,Dhaka before 2015,14000,Three years preceding the survey,N,N,RHANCPWDOC,BDDHS1994360005,1993-94,DHS,1107.0,1034.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Dhaka before 2015,2815571,Antenatal care provider: Doctor,26.1,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360005,1360050,Region,Dhaka before 2015,14002,Two years preceding the survey,N,Y,RHANCPWDOC,BDDHS1994360005,1993-94,DHS,774.0,724.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Khulna,7793410,Antenatal care provider: Doctor,17.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360006,1360060,Region,Khulna,14000,Three years preceding the survey,N,N,RHANCPWDOC,BDDHS1994360006,1993-94,DHS,397.0,404.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Khulna,5928990,Antenatal care provider: Doctor,19.9,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360006,1360060,Region,Khulna,14002,Two years preceding the survey,N,Y,RHANCPWDOC,BDDHS1994360006,1993-94,DHS,260.0,265.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Rajshahi/Rangpur,6202363,Antenatal care provider: Doctor,13.8,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360007,1360070,Region,Rajshahi/Rangpur,14000,Three years preceding the survey,N,N,RHANCPWDOC,BDDHS1994360007,1993-94,DHS,794.0,892.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Rajshahi/Rangpur,5346386,Antenatal care provider: Doctor,14.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_DOC,83363010,I,360007,1360070,Region,Rajshahi/Rangpur,14002,Two years preceding the survey,N,Y,RHANCPWDOC,BDDHS1994360007,1993-94,DHS,514.0,577.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Barishal,2821972,Antenatal care provider: Nurse/midwife,1.0,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360001,1360010,Region,Barishal,14000,Three years preceding the survey,N,N,RHANCPWNRS,BDDHS1994360001,1993-94,DHS,228.0,371.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Barishal,1317264,Antenatal care provider: Nurse/midwife,1.3,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360001,1360010,Region,Barishal,14002,Two years preceding the survey,N,Y,RHANCPWNRS,BDDHS1994360001,1993-94,DHS,166.0,270.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram/Sylhet,5937392,Antenatal care provider: Nurse/midwife,0.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360002,1360020,Region,Chattogram/Sylhet,14000,Three years preceding the survey,N,N,RHANCPWNRS,BDDHS1994360002,1993-94,DHS,1100.0,868.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram/Sylhet,4843002,Antenatal care provider: Nurse/midwife,0.6,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360002,1360020,Region,Chattogram/Sylhet,14002,Two years preceding the survey,N,Y,RHANCPWNRS,BDDHS1994360002,1993-94,DHS,784.0,621.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram,7015016,Antenatal care provider: Nurse/midwife,0.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360003,1360030,Region,..Chattogram,14000,Three years preceding the survey,N,N,RHANCPWNRS,BDDHS1994360003,1993-94,DHS,1100.0,868.0,,,,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram,1302950,Antenatal care provider: Nurse/midwife,0.6,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360003,1360030,Region,..Chattogram,14002,Two years preceding the survey,N,Y,RHANCPWNRS,BDDHS1994360003,1993-94,DHS,784.0,621.0,,,,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Dhaka before 2015,5106278,Antenatal care provider: Nurse/midwife,0.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360005,1360050,Region,Dhaka before 2015,14000,Three years preceding the survey,N,N,RHANCPWNRS,BDDHS1994360005,1993-94,DHS,1107.0,1034.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Dhaka before 2015,2815602,Antenatal care provider: Nurse/midwife,0.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360005,1360050,Region,Dhaka before 2015,14002,Two years preceding the survey,N,Y,RHANCPWNRS,BDDHS1994360005,1993-94,DHS,774.0,724.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Khulna,7793413,Antenatal care provider: Nurse/midwife,2.4,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360006,1360060,Region,Khulna,14000,Three years preceding the survey,N,N,RHANCPWNRS,BDDHS1994360006,1993-94,DHS,397.0,404.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Khulna,5928992,Antenatal care provider: Nurse/midwife,2.9,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360006,1360060,Region,Khulna,14002,Two years preceding the survey,N,Y,RHANCPWNRS,BDDHS1994360006,1993-94,DHS,260.0,265.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Rajshahi/Rangpur,6202366,Antenatal care provider: Nurse/midwife,0.4,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360007,1360070,Region,Rajshahi/Rangpur,14000,Three years preceding the survey,N,N,RHANCPWNRS,BDDHS1994360007,1993-94,DHS,794.0,892.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Rajshahi/Rangpur,5346387,Antenatal care provider: Nurse/midwife,0.3,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NRS,83363020,I,360007,1360070,Region,Rajshahi/Rangpur,14002,Two years preceding the survey,N,Y,RHANCPWNRS,BDDHS1994360007,1993-94,DHS,514.0,577.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
