year,month,rate_type,exchange_rate_value,end_of_period_rate,period_average_rate
2005,1,"National Currency per US Dollar, End of period",61.4925,1,0
2005,1,"National Currency per US Dollar, Period average",61.6536,0,1
2005,1,"US Dollars per National Currency,Period average",0.016219653,0,1
2005,2,"National Currency per US Dollar, End of period",63.2399,1,0
2005,2,"National Currency per US Dollar, Period average",63.1172,0,1
2005,2,"US Dollars per National Currency,Period average",0.015843542,0,1
2005,3,"National Currency per US Dollar, End of period",63.522,1,0
2005,3,"National Currency per US Dollar, Period average",63.5512,0,1
2005,3,"US Dollars per National Currency,Period average",0.015735344,0,1
2005,4,"National Currency per US Dollar, End of period",63.5687,1,0
2005,4,"National Currency per US Dollar, Period average",63.5195,0,1
2005,4,"US Dollars per National Currency,Period average",0.015743197,0,1
2005,5,"National Currency per US Dollar, End of period",63.455,1,0
2005,5,"National Currency per US Dollar, Period average",63.5462,0,1
2005,5,"US Dollars per National Currency,Period average",0.015736582,0,1
2005,6,"National Currency per US Dollar, End of period",63.7458,1,0
2005,6,"National Currency per US Dollar, Period average",63.7458,0,1
2005,6,"US Dollars per National Currency,Period average",0.015687308,0,1
2005,7,"National Currency per US Dollar, End of period",65.0,1,0
2005,7,"National Currency per US Dollar, Period average",64.1828,0,1
2005,7,"US Dollars per National Currency,Period average",0.015580498,0,1
2005,8,"National Currency per US Dollar, End of period",65.6038,1,0
2005,8,"National Currency per US Dollar, Period average",65.3989,0,1
2005,8,"US Dollars per National Currency,Period average",0.015290777,0,1
2005,9,"National Currency per US Dollar, End of period",65.6679,1,0
2005,9,"National Currency per US Dollar, Period average",65.6311,0,1
2005,9,"US Dollars per National Currency,Period average",0.015236679,0,1
2005,10,"National Currency per US Dollar, End of period",65.75,1,0
2005,10,"National Currency per US Dollar, Period average",65.724,0,1
2005,10,"US Dollars per National Currency,Period average",0.015215142,0,1
2005,11,"National Currency per US Dollar, End of period",65.8527,1,0
2005,11,"National Currency per US Dollar, Period average",65.795,0,1
