source_file,indicator,year,value
ban-key-indicators-2023_BAN.csv,nan,39,19.8
ban-key-indicators-2023_BAN.csv,nan,443,22.9
ban-key-indicators-2023_BAN.csv,nan,474,22.8
ban-key-indicators-2023_BAN.csv,nan,541,25.7
ban-key-indicators-2023_BAN.csv,nan,5807,26.19
ban-key-indicators-2023_BAN.csv,nan,5953,25.398
ban-key-indicators-2023_BAN.csv,nan,608,24.693
ban-key-indicators-2023_BAN.csv,nan,7078,32.2
ban-key-indicators-2023_BAN.csv,nan,39,0.2
ban-key-indicators-2023_BAN.csv,nan,443,0.1
ban-key-indicators-2023_BAN.csv,nan,474,0.1
ban-key-indicators-2023_BAN.csv,nan,541,0.1
ban-key-indicators-2023_BAN.csv,nan,5807,0.231
ban-key-indicators-2023_BAN.csv,nan,5953,0.092
ban-key-indicators-2023_BAN.csv,nan,608,0.097
ban-key-indicators-2023_BAN.csv,nan,7078,12.05
ban-key-indicators-2023_BAN.csv,nan,39,3.7
ban-key-indicators-2023_BAN.csv,nan,443,4.3
ban-key-indicators-2023_BAN.csv,nan,474,5.2
ban-key-indicators-2023_BAN.csv,nan,541,6.7
ban-key-indicators-2023_BAN.csv,nan,5807,9.5
ban-key-indicators-2023_BAN.csv,nan,5953,8.595
ban-key-indicators-2023_BAN.csv,nan,608,8.772
ban-key-indicators-2023_BAN.csv,nan,39,0.1
ban-key-indicators-2023_BAN.csv,nan,443,0.1
ban-key-indicators-2023_BAN.csv,nan,474,0.1
ban-key-indicators-2023_BAN.csv,nan,541,0.1
ban-key-indicators-2023_BAN.csv,nan,5807,0.199
ban-key-indicators-2023_BAN.csv,nan,5953,0.167
ban-key-indicators-2023_BAN.csv,nan,608,0.122
ban-key-indicators-2023_BAN.csv,nan,39,1.1
ban-key-indicators-2023_BAN.csv,nan,443,1.5
ban-key-indicators-2023_BAN.csv,nan,474,1.5
ban-key-indicators-2023_BAN.csv,nan,541,2.6
ban-key-indicators-2023_BAN.csv,nan,5807,2.144
ban-key-indicators-2023_BAN.csv,nan,5953,3.326
ban-key-indicators-2023_BAN.csv,nan,608,3.432
ban-key-indicators-2023_BAN.csv,nan,39,6.1
ban-key-indicators-2023_BAN.csv,nan,443,6.7
ban-key-indicators-2023_BAN.csv,nan,474,7.8
ban-key-indicators-2023_BAN.csv,nan,541,8.4
ban-key-indicators-2023_BAN.csv,nan,5807,7.522
ban-key-indicators-2023_BAN.csv,nan,5953,7.95
ban-key-indicators-2023_BAN.csv,nan,608,8.656
ban-key-indicators-2023_BAN.csv,nan,7078,26.65
ban-key-indicators-2023_BAN.csv,nan,39,2.5
ban-key-indicators-2023_BAN.csv,nan,443,3
ban-key-indicators-2023_BAN.csv,nan,474,4
ban-key-indicators-2023_BAN.csv,nan,541,4
ban-key-indicators-2023_BAN.csv,nan,5807,3.745
ban-key-indicators-2023_BAN.csv,nan,5953,4.598
ban-key-indicators-2023_BAN.csv,nan,608,5.237
ban-key-indicators-2023_BAN.csv,nan,39,…
ban-key-indicators-2023_BAN.csv,nan,443,…
ban-key-indicators-2023_BAN.csv,nan,474,…
ban-key-indicators-2023_BAN.csv,nan,541,…
ban-key-indicators-2023_BAN.csv,nan,5807,0.871
ban-key-indicators-2023_BAN.csv,nan,5953,1.003
ban-key-indicators-2023_BAN.csv,nan,608,1.158
ban-key-indicators-2023_BAN.csv,nan,39,…
ban-key-indicators-2023_BAN.csv,nan,443,…
ban-key-indicators-2023_BAN.csv,nan,474,…
ban-key-indicators-2023_BAN.csv,nan,541,…
ban-key-indicators-2023_BAN.csv,nan,5807,0.144
ban-key-indicators-2023_BAN.csv,nan,5953,0.179
ban-key-indicators-2023_BAN.csv,nan,608,0.168
ban-key-indicators-2023_BAN.csv,nan,39,0.4
ban-key-indicators-2023_BAN.csv,nan,443,0.3
ban-key-indicators-2023_BAN.csv,nan,474,0.8
ban-key-indicators-2023_BAN.csv,nan,541,1
ban-key-indicators-2023_BAN.csv,nan,5807,0.448
ban-key-indicators-2023_BAN.csv,nan,5953,0.425
ban-key-indicators-2023_BAN.csv,nan,608,0.418
ban-key-indicators-2023_BAN.csv,nan,39,…
ban-key-indicators-2023_BAN.csv,nan,443,…
ban-key-indicators-2023_BAN.csv,nan,474,…
ban-key-indicators-2023_BAN.csv,nan,541,…
ban-key-indicators-2023_BAN.csv,nan,5807,0.74
ban-key-indicators-2023_BAN.csv,nan,5953,0.101
ban-key-indicators-2023_BAN.csv,nan,608,0.113
ban-key-indicators-2023_BAN.csv,nan,39,5.1
ban-key-indicators-2023_BAN.csv,nan,443,5.2
ban-key-indicators-2023_BAN.csv,nan,474,5.2
ban-key-indicators-2023_BAN.csv,nan,541,5.7
ban-key-indicators-2023_BAN.csv,nan,5807,6.339
ban-key-indicators-2023_BAN.csv,nan,5953,7.697
ban-key-indicators-2023_BAN.csv,nan,608,7.899
ban-key-indicators-2023_BAN.csv,nan,39,…
ban-key-indicators-2023_BAN.csv,nan,443,…
ban-key-indicators-2023_BAN.csv,nan,474,…
ban-key-indicators-2023_BAN.csv,nan,541,…
ban-key-indicators-2023_BAN.csv,nan,5807,…
ban-key-indicators-2023_BAN.csv,nan,5953,…
ban-key-indicators-2023_BAN.csv,nan,608,…
ban-key-indicators-2023_BAN.csv,nan,7078,…
ban-key-indicators-2023_BAN.csv,nan,39,1.8
ban-key-indicators-2023_BAN.csv,nan,443,2
ban-key-indicators-2023_BAN.csv,nan,474,2.1
ban-key-indicators-2023_BAN.csv,nan,541,2.6
ban-key-indicators-2023_BAN.csv,nan,5807,2.6
ban-key-indicators-2023_BAN.csv,nan,5953,2.6
ban-key-indicators-2023_BAN.csv,nan,608,2.7
ban-key-indicators-2023_BAN.csv,nan,7078,2.63
ban-key-indicators-2023_BAN.csv,nan,39,4.41176
ban-key-indicators-2023_BAN.csv,nan,443,4.33839
ban-key-indicators-2023_BAN.csv,nan,474,4.23387
ban-key-indicators-2023_BAN.csv,nan,541,4.56942
ban-key-indicators-2023_BAN.csv,nan,5807,4.3
ban-key-indicators-2023_BAN.csv,nan,5953,4.2
ban-key-indicators-2023_BAN.csv,nan,608,4.2
ban-key-indicators-2023_BAN.csv,nan,7078,3.6
ban-key-indicators-2023_BAN.csv,nan,39,…
ban-key-indicators-2023_BAN.csv,nan,443,…
ban-key-indicators-2023_BAN.csv,nan,474,…
ban-key-indicators-2023_BAN.csv,nan,541,…
ban-key-indicators-2023_BAN.csv,nan,5807,…
ban-key-indicators-2023_BAN.csv,nan,5953,…
ban-key-indicators-2023_BAN.csv,nan,608,…
ban-key-indicators-2023_BAN.csv,nan,7078,…
ban-key-indicators-2023_BAN.csv,nan,39,54.9
ban-key-indicators-2023_BAN.csv,nan,443,57.3
ban-key-indicators-2023_BAN.csv,nan,474,58.5
ban-key-indicators-2023_BAN.csv,nan,541,59.3
ban-key-indicators-2023_BAN.csv,nan,5807,57.1
ban-key-indicators-2023_BAN.csv,nan,5953,58.5
ban-key-indicators-2023_BAN.csv,nan,608,58.2
ban-key-indicators-2023_BAN.csv,nan,7078,61
ban-key-indicators-2023_BAN.csv,nan,39,84
ban-key-indicators-2023_BAN.csv,nan,443,87.4
ban-key-indicators-2023_BAN.csv,nan,474,86.8
ban-key-indicators-2023_BAN.csv,nan,541,82.5
ban-key-indicators-2023_BAN.csv,nan,5807,81.7
ban-key-indicators-2023_BAN.csv,nan,5953,81.9
ban-key-indicators-2023_BAN.csv,nan,608,80.5
ban-key-indicators-2023_BAN.csv,nan,7078,79.71
ban-key-indicators-2023_BAN.csv,nan,39,23.9
ban-key-indicators-2023_BAN.csv,nan,443,26.1
ban-key-indicators-2023_BAN.csv,nan,474,29.2
ban-key-indicators-2023_BAN.csv,nan,541,36
ban-key-indicators-2023_BAN.csv,nan,5807,33.5
ban-key-indicators-2023_BAN.csv,nan,5953,35.6
ban-key-indicators-2023_BAN.csv,nan,608,36.3
ban-key-indicators-2023_BAN.csv,nan,7078,42.67
ban-key-indicators-2024 (1)_BAN.csv,nan,39,19.8
ban-key-indicators-2024 (1)_BAN.csv,nan,443,22.9
ban-key-indicators-2024 (1)_BAN.csv,nan,474,22.8
ban-key-indicators-2024 (1)_BAN.csv,nan,541,25.7
ban-key-indicators-2024 (1)_BAN.csv,nan,5807,26.19
ban-key-indicators-2024 (1)_BAN.csv,nan,5953,25.398
ban-key-indicators-2024 (1)_BAN.csv,nan,608,24.693
ban-key-indicators-2024 (1)_BAN.csv,nan,7047,31.97
ban-key-indicators-2024 (1)_BAN.csv,nan,39,0.2
ban-key-indicators-2024 (1)_BAN.csv,nan,443,0.1
ban-key-indicators-2024 (1)_BAN.csv,nan,474,0.1
ban-key-indicators-2024 (1)_BAN.csv,nan,541,0.1
ban-key-indicators-2024 (1)_BAN.csv,nan,5807,0.231
ban-key-indicators-2024 (1)_BAN.csv,nan,5953,0.092
ban-key-indicators-2024 (1)_BAN.csv,nan,608,0.097
ban-key-indicators-2024 (1)_BAN.csv,nan,7047,0.055
ban-key-indicators-2024 (1)_BAN.csv,nan,39,3.7
ban-key-indicators-2024 (1)_BAN.csv,nan,443,4.3
ban-key-indicators-2024 (1)_BAN.csv,nan,474,5.2
ban-key-indicators-2024 (1)_BAN.csv,nan,541,6.7
ban-key-indicators-2024 (1)_BAN.csv,nan,5807,9.5
ban-key-indicators-2024 (1)_BAN.csv,nan,5953,8.595
ban-key-indicators-2024 (1)_BAN.csv,nan,608,8.772
ban-key-indicators-2024 (1)_BAN.csv,nan,7047,7.924
ban-key-indicators-2024 (1)_BAN.csv,nan,39,0.1
ban-key-indicators-2024 (1)_BAN.csv,nan,443,0.1
ban-key-indicators-2024 (1)_BAN.csv,nan,474,0.1
ban-key-indicators-2024 (1)_BAN.csv,nan,541,0.1
ban-key-indicators-2024 (1)_BAN.csv,nan,5807,0.199
ban-key-indicators-2024 (1)_BAN.csv,nan,5953,0.167
ban-key-indicators-2024 (1)_BAN.csv,nan,608,0.122
ban-key-indicators-2024 (1)_BAN.csv,nan,7047,0.147
ban-key-indicators-2024 (1)_BAN.csv,nan,39,1.1
ban-key-indicators-2024 (1)_BAN.csv,nan,443,1.5
ban-key-indicators-2024 (1)_BAN.csv,nan,474,1.5
ban-key-indicators-2024 (1)_BAN.csv,nan,541,2.6
ban-key-indicators-2024 (1)_BAN.csv,nan,5807,2.144
ban-key-indicators-2024 (1)_BAN.csv,nan,5953,3.326
ban-key-indicators-2024 (1)_BAN.csv,nan,608,3.432
ban-key-indicators-2024 (1)_BAN.csv,nan,7047,3.832
ban-key-indicators-2024 (1)_BAN.csv,nan,39,6.1
ban-key-indicators-2024 (1)_BAN.csv,nan,443,6.7
ban-key-indicators-2024 (1)_BAN.csv,nan,474,7.8
ban-key-indicators-2024 (1)_BAN.csv,nan,541,8.4
ban-key-indicators-2024 (1)_BAN.csv,nan,5807,7.522
ban-key-indicators-2024 (1)_BAN.csv,nan,5953,7.95
ban-key-indicators-2024 (1)_BAN.csv,nan,608,8.656
ban-key-indicators-2024 (1)_BAN.csv,nan,7047,9.087
ban-key-indicators-2024 (1)_BAN.csv,nan,39,2.5
ban-key-indicators-2024 (1)_BAN.csv,nan,443,3
ban-key-indicators-2024 (1)_BAN.csv,nan,474,4
ban-key-indicators-2024 (1)_BAN.csv,nan,541,4
ban-key-indicators-2024 (1)_BAN.csv,nan,5807,3.745
ban-key-indicators-2024 (1)_BAN.csv,nan,5953,4.598
ban-key-indicators-2024 (1)_BAN.csv,nan,608,5.237
ban-key-indicators-2024 (1)_BAN.csv,nan,7047,1.606
ban-key-indicators-2024 (1)_BAN.csv,nan,39,…
ban-key-indicators-2024 (1)_BAN.csv,nan,443,…
ban-key-indicators-2024 (1)_BAN.csv,nan,474,…
ban-key-indicators-2024 (1)_BAN.csv,nan,541,…
ban-key-indicators-2024 (1)_BAN.csv,nan,5807,0.871
ban-key-indicators-2024 (1)_BAN.csv,nan,5953,1.003
ban-key-indicators-2024 (1)_BAN.csv,nan,608,1.158
ban-key-indicators-2024 (1)_BAN.csv,nan,7047,5.747
ban-key-indicators-2024 (1)_BAN.csv,nan,39,…
ban-key-indicators-2024 (1)_BAN.csv,nan,443,…
ban-key-indicators-2024 (1)_BAN.csv,nan,474,…
ban-key-indicators-2024 (1)_BAN.csv,nan,541,…
ban-key-indicators-2024 (1)_BAN.csv,nan,5807,0.144
ban-key-indicators-2024 (1)_BAN.csv,nan,5953,0.179
ban-key-indicators-2024 (1)_BAN.csv,nan,608,0.168
ban-key-indicators-2024 (1)_BAN.csv,nan,7047,0.254
ban-key-indicators-2024 (1)_BAN.csv,nan,39,0.4
ban-key-indicators-2024 (1)_BAN.csv,nan,443,0.3
ban-key-indicators-2024 (1)_BAN.csv,nan,474,0.8
ban-key-indicators-2024 (1)_BAN.csv,nan,541,1
ban-key-indicators-2024 (1)_BAN.csv,nan,5807,0.448
ban-key-indicators-2024 (1)_BAN.csv,nan,5953,0.425
ban-key-indicators-2024 (1)_BAN.csv,nan,608,0.418
ban-key-indicators-2024 (1)_BAN.csv,nan,7047,0.551
ban-key-indicators-2024 (1)_BAN.csv,nan,39,…
ban-key-indicators-2024 (1)_BAN.csv,nan,443,…
ban-key-indicators-2024 (1)_BAN.csv,nan,474,…
ban-key-indicators-2024 (1)_BAN.csv,nan,541,…
ban-key-indicators-2024 (1)_BAN.csv,nan,5807,0.74
ban-key-indicators-2024 (1)_BAN.csv,nan,5953,0.101
ban-key-indicators-2024 (1)_BAN.csv,nan,608,0.113
ban-key-indicators-2024 (1)_BAN.csv,nan,7047,0.08
ban-key-indicators-2024 (1)_BAN.csv,nan,39,5.1
ban-key-indicators-2024 (1)_BAN.csv,nan,443,5.2
