sector_name,year,value_millions,sector_code,base_year,price_type
Agriculture and Forestry,2007,790100.0,A,2015,current
Crops and Horticulture ,2007,576250.0,A_CROP,2015,current
Animal Farmings ,2007,121980.0,A_LIVE,2015,current
Forest and Related Services ,2007,91870.0,A_FOR,2015,current
Fishing ,2007,188900.0,A_FISH,2015,current
Mining and Quarrying,2007,78660.0,B,2015,current
Natural Gas and Crude Petroleum,2007,50180.0,B,2015,current
Other Mining and Coal ,2007,28480.0,B,2015,current
Manufacturing ,2007,876050.0,C,2015,current
Large and Medium Scale,2007,701310.0,A,2015,current
Small Scale,2007,174740.0,A,2015,current
"Electricity, Gas and Water Supply ",2007,57200.0,D,2015,current
Electricity,2007,45000.0,D,2015,current
Gas ,2007,8420.0,D,2015,current
Water ,2007,3780.0,A,2015,current
Construction ,2007,335130.0,F,2015,current
Wholesale and Retail Trade ,2007,729710.0,G,2015,current
Hotel and Restaurants,2007,40690.0,A,2015,current
"Transport, Storage and Communication",2007,531320.0,H,2015,current
Land Transport,2007,372950.0,H,2015,current
Water transport,2007,48990.0,H,2015,current
Air Transport,2007,5750.0,H,2015,current
"Support transport services, storage ",2007,27720.0,N,2015,current
Post and Telecommunication,2007,75910.0,A,2015,current
Financial Intermediations,2007,162650.0,K,2015,current
Banks,2007,137310.0,A,2015,current
Insurances,2007,17140.0,A,2015,current
Others ,2007,8190.0,E,2015,current
"Real Estate, Renting and Business Activities ",2007,413370.0,A,2015,current
Public Administration and Defense ,2007,171320.0,A,2015,current
Education ,2007,118530.0,P,2015,current
Health and Social Works,2007,104530.0,Q,2015,current
"Community, Social and Personal Services",2007,635440.0,S,2015,current
Total GVA at current basic price,2007,5233608.0,TOTAL,2015,current
Tax less subsidy,2007,264390.0,A,2015,current
GDP at current market prices,2007,5498000.0,TOTAL,2015,current
Agriculture and Forestry,2007,736456.0135110144,A,2015,current
Crops and Horticulture ,2007,532522.5893283582,A_CROP,2015,current
Animal Farmings ,2007,113907.14813322575,A_LIVE,2015,current
Forest and Related Services ,2007,89416.77408117053,A_FOR,2015,current
Fishing ,2007,190546.34523239653,A_FISH,2015,current
Mining and Quarrying,2007,73707.89509454113,B,2015,current
Natural Gas and Crude Petroleum,2007,49281.36818839415,B,2015,current
Other Mining and Coal ,2007,24558.287036469508,B,2015,current
Manufacturing ,2007,817169.4649342427,C,2015,current
Large and Medium Scale,2007,655471.0503318558,A,2015,current
Small Scale,2007,161808.5992807996,A,2015,current
"Electricity, Gas and Water Supply ",2007,56089.06764100903,D,2015,current
Electricity,2007,44863.49384795835,D,2015,current
Gas ,2007,7325.848653404676,D,2015,current
Water ,2007,3854.877627768495,A,2015,current
Construction ,2007,321956.90133824875,F,2015,current
Wholesale and Retail Trade ,2007,660890.428414373,G,2015,current
Hotel and Restaurants,2007,35373.54360056313,A,2015,current
"Transport, Storage and Communication",2007,506133.5354704361,H,2015,current
Land Transport,2007,352971.81412530533,H,2015,current
Water transport,2007,49375.91693439448,H,2015,current
Air Transport,2007,5326.107274741423,H,2015,current
"Support transport services, storage ",2007,27884.204402443374,N,2015,current
Post and Telecommunication,2007,80853.97557223923,A,2015,current
Financial Intermediations,2007,132522.26735854935,K,2015,current
Banks,2007,106454.78952347428,A,2015,current
Insurances,2007,17517.697606403446,A,2015,current
Others ,2007,8460.83071484682,E,2015,current
"Real Estate, Renting and Business Activities ",2007,386266.9937816827,A,2015,current
Public Administration and Defense ,2007,153503.48770003172,A,2015,current
Education ,2007,111983.2260661484,P,2015,current
Health and Social Works,2007,92689.83407569482,Q,2015,current
"Community, Social and Personal Services",2007,488324.84055792575,S,2015,current
Total GVA at constant basic price,2007,4767265.320278253,TOTAL,2015,current
GDP at constant market prices,2007,5163830.0,TOTAL,2015,current
Private,2007,4062644.0,A,2015,current
General Govt.,2007,294663.0,A,2015,current
Investment (2),2007,1439293.0,E,2015,current
Exports (3),2007,934403.0,E,2015,current
Imports (4),2007,1261628.0,I,2015,current
Gross Domestic Product at m.p.(5),2007,5498000.0,A,2015,current
Statistical Discrepancy (6),2007,28623.0,A,2015,current
Net factor income from abroad (7),2007,352755.0,A,2015,current
Gross National Income at m.p. (8)=(5)+(7),2007,5850752.0,A,2015,current
Net current transfers from abroad (9),2007,39885.0,A,2015,current
Gross Disposible National Income (10)=(8)+(9),2007,5890637.0,A,2015,current
Gross National saving (12)=(10)-(1),2007,1533331.0,A,2015,current
Gross Domestic Product at m.p.(5),2007,5163830.0,A,2015,current
Agriculture and Forestry,2008,899860.0,A,2015,current
Crops and Horticulture ,2008,657300.0,A_CROP,2015,current
Animal Farmings ,2008,142970.0,A_LIVE,2015,current
Forest and Related Services ,2008,99590.0,A_FOR,2015,current
Fishing ,2008,206350.0,A_FISH,2015,current
Mining and Quarrying,2008,91100.0,B,2015,current
Natural Gas and Crude Petroleum,2008,53870.0,B,2015,current
Other Mining and Coal ,2008,37230.0,B,2015,current
Manufacturing ,2008,1013710.0,C,2015,current
Large and Medium Scale,2008,810660.0,A,2015,current
Small Scale,2008,203050.0,A,2015,current
"Electricity, Gas and Water Supply ",2008,64410.0,D,2015,current
Electricity,2008,49500.0,D,2015,current
Gas ,2008,10450.0,D,2015,current
Water ,2008,4450.0,A,2015,current
Construction ,2008,385330.0,F,2015,current
Wholesale and Retail Trade ,2008,861490.0,G,2015,current
Hotel and Restaurants,2008,48260.0,A,2015,current
"Transport, Storage and Communication",2008,596200.0,H,2015,current
Land Transport,2008,418880.0,H,2015,current
Water transport,2008,51110.0,H,2015,current
Air Transport,2008,5950.0,H,2015,current
"Support transport services, storage ",2008,31370.0,N,2015,current
Post and Telecommunication,2008,88890.0,A,2015,current
Financial Intermediations,2008,187020.0,K,2015,current
Banks,2008,154310.0,A,2015,current
Insurances,2008,21080.0,A,2015,current
Others ,2008,11630.0,E,2015,current
"Real Estate, Renting and Business Activities ",2008,451180.0,A,2015,current
Public Administration and Defense ,2008,196640.0,A,2015,current
Education ,2008,143320.0,P,2015,current
Health and Social Works,2008,121640.0,Q,2015,current
"Community, Social and Personal Services",2008,722000.0,S,2015,current
Total GVA at current basic price,2008,5988503.0,TOTAL,2015,current
Tax less subsidy,2008,298320.0,A,2015,current
GDP at current market prices,2008,6286820.0,TOTAL,2015,current
Agriculture and Forestry,2008,758022.383328194,A,2015,current
Crops and Horticulture ,2008,546755.4467910448,A_CROP,2015,current
Animal Farmings ,2008,116687.73934253928,A_LIVE,2015,current
Forest and Related Services ,2008,94309.52105904894,A_FOR,2015,current
Fishing ,2008,198506.69984517095,A_FISH,2015,current
Mining and Quarrying,2008,80299.43180659725,B,2015,current
Natural Gas and Crude Petroleum,2008,53353.62827519691,B,2015,current
Other Mining and Coal ,2008,27017.23763407907,B,2015,current
Manufacturing ,2008,876104.3142804138,C,2015,current
Large and Medium Scale,2008,703052.5846220199,A,2015,current
Small Scale,2008,173291.3267014907,A,2015,current
"Electricity, Gas and Water Supply ",2008,59884.50047509118,D,2015,current
Electricity,2008,47859.87433494446,D,2015,current
Gas ,2008,7891.772856537853,D,2015,current
Water ,2008,4086.803148250751,A,2015,current
Construction ,2008,340235.2161120944,F,2015,current
Wholesale and Retail Trade ,2008,705961.2759565936,G,2015,current
Hotel and Restaurants,2008,38044.81094901472,A,2015,current
"Transport, Storage and Communication",2008,549385.1252133723,H,2015,current
Land Transport,2008,369004.3859826085,H,2015,current
Water transport,2008,50633.28305797794,H,2015,current
Air Transport,2008,5657.30839138706,H,2015,current
"Support transport services, storage ",2008,30239.020703699927,N,2015,current
Post and Telecommunication,2008,98351.65394913687,A,2015,current
Financial Intermediations,2008,144304.373944551,K,2015,current
Banks,2008,115373.30877370528,A,2015,current
Insurances,2008,19275.09489725237,A,2015,current
Others ,2008,9515.838570306363,E,2015,current
"Real Estate, Renting and Business Activities ",2008,400764.62675577233,A,2015,current
Public Administration and Defense ,2008,163037.81840455902,A,2015,current
Education ,2008,120718.19189106033,P,2015,current
Health and Social Works,2008,99200.53111406318,Q,2015,current
"Community, Social and Personal Services",2008,510866.8884390664,S,2015,current
Total GVA at constant basic price,2008,5047330.110499099,TOTAL,2015,current
GDP at constant market prices,2008,5474370.0,TOTAL,2015,current
Private,2008,4754869.0,A,2015,current
General Govt.,2008,325549.0,A,2015,current
Investment (2),2008,1647290.0,E,2015,current
Exports (3),2008,1110181.0,E,2015,current
Imports (4),2008,1569320.0,I,2015,current
Gross Domestic Product at m.p.(5),2008,6286820.0,A,2015,current
Statistical Discrepancy (6),2008,18253.0,A,2015,current
Net factor income from abroad (7),2008,483895.0,A,2015,current
Gross National Income at m.p. (8)=(5)+(7),2008,6770717.0,A,2015,current
Net current transfers from abroad (9),2008,56713.0,A,2015,current
Gross Disposible National Income (10)=(8)+(9),2008,6827430.0,A,2015,current
Gross National saving (12)=(10)-(1),2008,1747012.0,A,2015,current
Gross Domestic Product at m.p.(5),2008,5474370.0,A,2015,current
Agriculture and Forestry,2009,978070.0,A,2015,current
Crops and Horticulture ,2009,711580.0,A_CROP,2015,current
Animal Farmings ,2009,158300.0,A_LIVE,2015,current
Forest and Related Services ,2009,108190.0,A_FOR,2015,current
Fishing ,2009,227930.0,A_FISH,2015,current
Mining and Quarrying,2009,109620.0,B,2015,current
Natural Gas and Crude Petroleum,2009,61940.0,B,2015,current
Other Mining and Coal ,2009,47690.0,B,2015,current
Manufacturing ,2009,1161970.0,C,2015,current
Large and Medium Scale,2009,919960.0,A,2015,current
Small Scale,2009,242010.0,A,2015,current
"Electricity, Gas and Water Supply ",2009,70120.0,D,2015,current
Electricity,2009,52820.0,D,2015,current
Gas ,2009,12490.0,D,2015,current
Water ,2009,4810.0,A,2015,current
Construction ,2009,441800.0,F,2015,current
Wholesale and Retail Trade ,2009,960940.0,G,2015,current
Hotel and Restaurants,2009,57900.0,A,2015,current
"Transport, Storage and Communication",2009,671850.0,H,2015,current
Land Transport,2009,469940.0,H,2015,current
Water transport,2009,55250.0,H,2015,current
Air Transport,2009,6820.0,H,2015,current
